county_name,median_household_income,zip code tabulation area
ZCTA5 01106,137597,01106
ZCTA5 01107,30825,01107
ZCTA5 01108,48465,01108
ZCTA5 01109,42928,01109
ZCTA5 01118,78354,01118
ZCTA5 01119,54326,01119
ZCTA5 01128,77050,01128
ZCTA5 01129,80352,01129
ZCTA5 01144,-666666666,01144
ZCTA5 01151,51410,01151
ZCTA5 01201,67262,01201
ZCTA5 01220,54677,01220
ZCTA5 01222,78077,01222
ZCTA5 01223,79226,01223
ZCTA5 01224,-666666666,01224
ZCTA5 01225,72485,01225
ZCTA5 01226,76198,01226
ZCTA5 01229,-666666666,01229
ZCTA5 01230,73884,01230
ZCTA5 01235,71641,01235
ZCTA5 01236,113958,01236
ZCTA5 01237,86300,01237
ZCTA5 01238,77679,01238
ZCTA5 01240,82578,01240
ZCTA5 01242,-666666666,01242
ZCTA5 01243,79167,01243
ZCTA5 01244,56842,01244
ZCTA5 01245,111354,01245
ZCTA5 01247,53692,01247
ZCTA5 01253,102596,01253
ZCTA5 01254,91667,01254
ZCTA5 01255,73958,01255
ZCTA5 01256,54219,01256
ZCTA5 01257,78940,01257
ZCTA5 01258,117917,01258
ZCTA5 01259,120568,01259
ZCTA5 01260,-666666666,01260
ZCTA5 01262,75804,01262
ZCTA5 01264,78750,01264
ZCTA5 01266,85714,01266
ZCTA5 01267,101823,01267
ZCTA5 01270,100833,01270
ZCTA5 01301,53536,01301
ZCTA5 01330,80560,01330
ZCTA5 01331,66985,01331
ZCTA5 01337,79000,01337
ZCTA5 01338,56250,01338
ZCTA5 01339,69500,01339
ZCTA5 01340,74632,01340
ZCTA5 01341,92500,01341
ZCTA5 01342,99583,01342
ZCTA5 01343,76250,01343
ZCTA5 01344,70560,01344
ZCTA5 01346,105944,01346
ZCTA5 01347,74712,01347
ZCTA5 01349,70240,01349
ZCTA5 01350,-666666666,01350
ZCTA5 01351,96389,01351
ZCTA5 01354,79135,01354
ZCTA5 01355,76739,01355
ZCTA5 01360,94775,01360
ZCTA5 01364,55773,01364
ZCTA5 01366,104205,01366
ZCTA5 01367,78125,01367
ZCTA5 01368,98542,01368
ZCTA5 01370,74680,01370
ZCTA5 01373,96546,01373
ZCTA5 01375,59185,01375
ZCTA5 01376,53671,01376
ZCTA5 01378,89643,01378
ZCTA5 01379,66290,01379
ZCTA5 01380,-666666666,01380
ZCTA5 01420,65599,01420
ZCTA5 01430,111801,01430
ZCTA5 01431,105750,01431
ZCTA5 01432,99375,01432
ZCTA5 01434,106875,01434
ZCTA5 01436,90225,01436
ZCTA5 01438,83953,01438
ZCTA5 01440,57289,01440
ZCTA5 01450,186750,01450
ZCTA5 01451,199191,01451
ZCTA5 01452,114922,01452
ZCTA5 01453,75954,01453
ZCTA5 01460,151488,01460
ZCTA5 01462,106473,01462
ZCTA5 01463,124052,01463
ZCTA5 01464,114118,01464
ZCTA5 01468,106581,01468
ZCTA5 01469,100402,01469
ZCTA5 01473,95674,01473
ZCTA5 01474,117109,01474
ZCTA5 01475,85379,01475
ZCTA5 01501,101992,01501
ZCTA5 01503,123077,01503
ZCTA5 01504,95132,01504
ZCTA5 01505,133292,01505
ZCTA5 01506,71122,01506
ZCTA5 01507,113896,01507
ZCTA5 01510,89888,01510
ZCTA5 01515,77122,01515
ZCTA5 01516,138276,01516
ZCTA5 01518,102500,01518
ZCTA5 01519,144452,01519
ZCTA5 01520,141508,01520
ZCTA5 01521,81250,01521
ZCTA5 01522,116894,01522
ZCTA5 01523,111506,01523
ZCTA5 01524,88933,01524
ZCTA5 01525,-666666666,01525
ZCTA5 01527,109119,01527
ZCTA5 01529,95144,01529
ZCTA5 01531,99318,01531
ZCTA5 01532,160801,01532
ZCTA5 01534,123370,01534
ZCTA5 01535,80380,01535
ZCTA5 01536,103793,01536
ZCTA5 01537,67750,01537
ZCTA5 01540,100757,01540
ZCTA5 01541,163750,01541
ZCTA5 01542,106719,01542
ZCTA5 01543,150685,01543
ZCTA5 01545,127088,01545
ZCTA5 01550,55182,01550
ZCTA5 01560,94464,01560
ZCTA5 01561,-666666666,01561
ZCTA5 01562,76225,01562
ZCTA5 01564,131058,01564
ZCTA5 01566,122844,01566
ZCTA5 01568,147198,01568
ZCTA5 01569,124057,01569
ZCTA5 01570,70644,01570
ZCTA5 01571,87306,01571
ZCTA5 01581,133145,01581
ZCTA5 01583,97736,01583
ZCTA5 01585,69767,01585
ZCTA5 01588,88487,01588
ZCTA5 01590,138750,01590
ZCTA5 01602,86128,01602
ZCTA5 01603,58797,01603
ZCTA5 01604,68823,01604
ZCTA5 01605,51360,01605
ZCTA5 01606,82640,01606
ZCTA5 01607,63718,01607
ZCTA5 01608,41319,01608
ZCTA5 01609,58246,01609
ZCTA5 01610,39570,01610
ZCTA5 01611,113276,01611
ZCTA5 01612,130787,01612
ZCTA5 01701,124532,01701
ZCTA5 01702,76636,01702
ZCTA5 01718,-666666666,01718
ZCTA5 01719,151207,01719
ZCTA5 01720,151339,01720
ZCTA5 01721,124311,01721
ZCTA5 01730,143424,01730
ZCTA5 01731,71250,01731
ZCTA5 01740,191208,01740
ZCTA5 01741,247656,01741
ZCTA5 01742,183657,01742
ZCTA5 01745,162350,01745
ZCTA5 01746,149614,01746
ZCTA5 01747,120750,01747
ZCTA5 01748,191439,01748
ZCTA5 01749,103086,01749
ZCTA5 01752,94199,01752
ZCTA5 01754,112524,01754
ZCTA5 01756,135909,01756
ZCTA5 01757,93100,01757
ZCTA5 01760,133623,01760
ZCTA5 01770,242688,01770
ZCTA5 01772,188000,01772
ZCTA5 01773,185288,01773
ZCTA5 01775,166833,01775
ZCTA5 01776,234427,01776
ZCTA5 01778,207721,01778
ZCTA5 01801,104780,01801
ZCTA5 01803,134189,01803
ZCTA5 01810,162694,01810
ZCTA5 01821,138397,01821
ZCTA5 01824,137778,01824
ZCTA5 01826,102335,01826
ZCTA5 01827,193583,01827
ZCTA5 01830,72195,01830
ZCTA5 01832,78151,01832
ZCTA5 01833,148810,01833
ZCTA5 01834,131952,01834
ZCTA5 01835,102162,01835
ZCTA5 01840,30696,01840
ZCTA5 01841,51574,01841
ZCTA5 01843,72630,01843
ZCTA5 01844,93739,01844
ZCTA5 01845,131852,01845
ZCTA5 01850,66069,01850
ZCTA5 01851,79330,01851
ZCTA5 01852,76272,01852
ZCTA5 01854,66645,01854
ZCTA5 01860,100321,01860
ZCTA5 01862,125159,01862
ZCTA5 01863,128682,01863
ZCTA5 01864,141442,01864
ZCTA5 01867,154505,01867
ZCTA5 01876,120891,01876
ZCTA5 01879,140901,01879
ZCTA5 01880,125707,01880
ZCTA5 01886,174424,01886
ZCTA5 01887,151034,01887
ZCTA5 01890,208531,01890
ZCTA5 01901,20699,01901
ZCTA5 01902,59445,01902
ZCTA5 01904,94809,01904
ZCTA5 01905,74792,01905
ZCTA5 01906,96064,01906
ZCTA5 01907,116161,01907
ZCTA5 01908,105867,01908
ZCTA5 01913,91010,01913
ZCTA5 01915,98474,01915
ZCTA5 01921,203750,01921
ZCTA5 01922,197583,01922
ZCTA5 01923,116636,01923
ZCTA5 01929,133026,01929
ZCTA5 01930,84465,01930
ZCTA5 01937,-666666666,01937
ZCTA5 01938,123266,01938
ZCTA5 01940,157955,01940
ZCTA5 01944,209052,01944
ZCTA5 01945,163561,01945
ZCTA5 01949,168245,01949
ZCTA5 01950,127306,01950
ZCTA5 01951,163077,01951
ZCTA5 01952,97237,01952
ZCTA5 01960,91032,01960
ZCTA5 01965,241003,01965
ZCTA5 01966,95091,01966
ZCTA5 01969,135396,01969
ZCTA5 01970,79267,01970
ZCTA5 01982,139250,01982
ZCTA5 01983,162734,01983
ZCTA5 01984,181982,01984
ZCTA5 01985,181125,01985
ZCTA5 02019,116152,02019
ZCTA5 02021,130134,02021
ZCTA5 02025,178013,02025
ZCTA5 02026,118877,02026
ZCTA5 02030,250001,02030
ZCTA5 02032,170174,02032
ZCTA5 02035,104350,02035
ZCTA5 02038,138062,02038
ZCTA5 02043,170326,02043
