tract_name,median_household_income,state_fips,county_fips,tract_code,year
"Census Tract 17, Erie County, Pennsylvania",41004,42,049,001700,2020
"Census Tract 18, Erie County, Pennsylvania",25394,42,049,001800,2020
"Census Tract 19, Erie County, Pennsylvania",19976,42,049,001900,2020
"Census Tract 20, Erie County, Pennsylvania",50926,42,049,002000,2020
"Census Tract 21, Erie County, Pennsylvania",58125,42,049,002100,2020
"Census Tract 22, Erie County, Pennsylvania",67528,42,049,002200,2020
"Census Tract 23, Erie County, Pennsylvania",36534,42,049,002300,2020
"Census Tract 24, Erie County, Pennsylvania",47532,42,049,002400,2020
"Census Tract 25, Erie County, Pennsylvania",35724,42,049,002500,2020
"Census Tract 26, Erie County, Pennsylvania",46571,42,049,002600,2020
"Census Tract 27, Erie County, Pennsylvania",45720,42,049,002700,2020
"Census Tract 28, Erie County, Pennsylvania",47275,42,049,002800,2020
"Census Tract 29, Erie County, Pennsylvania",77738,42,049,002900,2020
"Census Tract 30, Erie County, Pennsylvania",43789,42,049,003000,2020
"Census Tract 101.01, Erie County, Pennsylvania",70189,42,049,010101,2020
"Census Tract 101.03, Erie County, Pennsylvania",62500,42,049,010103,2020
"Census Tract 101.04, Erie County, Pennsylvania",67813,42,049,010104,2020
"Census Tract 101.07, Erie County, Pennsylvania",41750,42,049,010107,2020
"Census Tract 101.08, Erie County, Pennsylvania",,42,049,010108,2020
"Census Tract 102.01, Erie County, Pennsylvania",60387,42,049,010201,2020
"Census Tract 102.02, Erie County, Pennsylvania",58200,42,049,010202,2020
"Census Tract 103.01, Erie County, Pennsylvania",70735,42,049,010301,2020
"Census Tract 103.03, Erie County, Pennsylvania",89800,42,049,010303,2020
"Census Tract 103.04, Erie County, Pennsylvania",97159,42,049,010304,2020
"Census Tract 104, Erie County, Pennsylvania",65693,42,049,010400,2020
"Census Tract 105, Erie County, Pennsylvania",54489,42,049,010500,2020
"Census Tract 107, Erie County, Pennsylvania",57447,42,049,010700,2020
"Census Tract 108, Erie County, Pennsylvania",61296,42,049,010800,2020
"Census Tract 109.02, Erie County, Pennsylvania",61926,42,049,010902,2020
"Census Tract 109.03, Erie County, Pennsylvania",75882,42,049,010903,2020
"Census Tract 109.04, Erie County, Pennsylvania",131607,42,049,010904,2020
"Census Tract 110.01, Erie County, Pennsylvania",58490,42,049,011001,2020
"Census Tract 110.02, Erie County, Pennsylvania",48550,42,049,011002,2020
"Census Tract 111.01, Erie County, Pennsylvania",73313,42,049,011101,2020
"Census Tract 111.02, Erie County, Pennsylvania",67083,42,049,011102,2020
"Census Tract 112.01, Erie County, Pennsylvania",65446,42,049,011201,2020
"Census Tract 112.02, Erie County, Pennsylvania",62917,42,049,011202,2020
"Census Tract 113, Erie County, Pennsylvania",41910,42,049,011300,2020
"Census Tract 114, Erie County, Pennsylvania",58105,42,049,011400,2020
"Census Tract 115.03, Erie County, Pennsylvania",55391,42,049,011503,2020
"Census Tract 115.08, Erie County, Pennsylvania",66060,42,049,011508,2020
"Census Tract 115.09, Erie County, Pennsylvania",72604,42,049,011509,2020
"Census Tract 115.10, Erie County, Pennsylvania",78750,42,049,011510,2020
"Census Tract 115.11, Erie County, Pennsylvania",,42,049,011511,2020
"Census Tract 116, Erie County, Pennsylvania",54888,42,049,011600,2020
"Census Tract 117.01, Erie County, Pennsylvania",65704,42,049,011701,2020
"Census Tract 117.02, Erie County, Pennsylvania",68900,42,049,011702,2020
"Census Tract 118.01, Erie County, Pennsylvania",62946,42,049,011801,2020
"Census Tract 118.02, Erie County, Pennsylvania",58472,42,049,011802,2020
"Census Tract 119, Erie County, Pennsylvania",34126,42,049,011900,2020
"Census Tract 120.01, Erie County, Pennsylvania",65714,42,049,012001,2020
"Census Tract 120.02, Erie County, Pennsylvania",42281,42,049,012002,2020
"Census Tract 121, Erie County, Pennsylvania",67227,42,049,012100,2020
"Census Tract 122.01, Erie County, Pennsylvania",72037,42,049,012201,2020
"Census Tract 122.02, Erie County, Pennsylvania",33942,42,049,012202,2020
"Census Tract 124, Erie County, Pennsylvania",60625,42,049,012400,2020
"Census Tract 1, Erie County, Pennsylvania",13590,42,049,000100,2021
"Census Tract 2, Erie County, Pennsylvania",63306,42,049,000200,2021
"Census Tract 3, Erie County, Pennsylvania",36452,42,049,000300,2021
"Census Tract 4, Erie County, Pennsylvania",39514,42,049,000400,2021
"Census Tract 5, Erie County, Pennsylvania",31296,42,049,000500,2021
"Census Tract 6, Erie County, Pennsylvania",42824,42,049,000600,2021
"Census Tract 7, Erie County, Pennsylvania",30521,42,049,000700,2021
"Census Tract 8, Erie County, Pennsylvania",21157,42,049,000800,2021
"Census Tract 9.01, Erie County, Pennsylvania",26219,42,049,000901,2021
"Census Tract 9.02, Erie County, Pennsylvania",16641,42,049,000902,2021
"Census Tract 10, Erie County, Pennsylvania",35313,42,049,001000,2021
"Census Tract 11, Erie County, Pennsylvania",47468,42,049,001100,2021
"Census Tract 12, Erie County, Pennsylvania",22295,42,049,001200,2021
"Census Tract 13, Erie County, Pennsylvania",22964,42,049,001300,2021
"Census Tract 14, Erie County, Pennsylvania",17679,42,049,001400,2021
"Census Tract 15, Erie County, Pennsylvania",25313,42,049,001500,2021
"Census Tract 16, Erie County, Pennsylvania",36089,42,049,001600,2021
"Census Tract 17, Erie County, Pennsylvania",47826,42,049,001700,2021
"Census Tract 18, Erie County, Pennsylvania",25330,42,049,001800,2021
"Census Tract 19, Erie County, Pennsylvania",21301,42,049,001900,2021
"Census Tract 20, Erie County, Pennsylvania",46538,42,049,002000,2021
"Census Tract 21, Erie County, Pennsylvania",60656,42,049,002100,2021
"Census Tract 22, Erie County, Pennsylvania",67697,42,049,002200,2021
"Census Tract 23, Erie County, Pennsylvania",37321,42,049,002300,2021
"Census Tract 24, Erie County, Pennsylvania",47756,42,049,002400,2021
"Census Tract 25, Erie County, Pennsylvania",40603,42,049,002500,2021
"Census Tract 26, Erie County, Pennsylvania",37273,42,049,002600,2021
"Census Tract 27, Erie County, Pennsylvania",56688,42,049,002700,2021
"Census Tract 28, Erie County, Pennsylvania",49583,42,049,002800,2021
"Census Tract 29, Erie County, Pennsylvania",78542,42,049,002900,2021
"Census Tract 30, Erie County, Pennsylvania",47258,42,049,003000,2021
"Census Tract 101.01, Erie County, Pennsylvania",72098,42,049,010101,2021
"Census Tract 101.03, Erie County, Pennsylvania",71343,42,049,010103,2021
"Census Tract 101.04, Erie County, Pennsylvania",72303,42,049,010104,2021
"Census Tract 101.07, Erie County, Pennsylvania",48750,42,049,010107,2021
"Census Tract 101.08, Erie County, Pennsylvania",,42,049,010108,2021
"Census Tract 102.01, Erie County, Pennsylvania",65601,42,049,010201,2021
"Census Tract 102.02, Erie County, Pennsylvania",62566,42,049,010202,2021
"Census Tract 103.01, Erie County, Pennsylvania",83594,42,049,010301,2021
"Census Tract 103.03, Erie County, Pennsylvania",88588,42,049,010303,2021
"Census Tract 103.04, Erie County, Pennsylvania",104345,42,049,010304,2021
"Census Tract 104, Erie County, Pennsylvania",76556,42,049,010400,2021
"Census Tract 105, Erie County, Pennsylvania",58327,42,049,010500,2021
"Census Tract 107, Erie County, Pennsylvania",70199,42,049,010700,2021
"Census Tract 108, Erie County, Pennsylvania",65885,42,049,010800,2021
"Census Tract 109.02, Erie County, Pennsylvania",63735,42,049,010902,2021
"Census Tract 109.03, Erie County, Pennsylvania",83899,42,049,010903,2021
"Census Tract 109.04, Erie County, Pennsylvania",141298,42,049,010904,2021
"Census Tract 110.01, Erie County, Pennsylvania",61417,42,049,011001,2021
"Census Tract 110.02, Erie County, Pennsylvania",48164,42,049,011002,2021
"Census Tract 111.01, Erie County, Pennsylvania",66985,42,049,011101,2021
"Census Tract 111.02, Erie County, Pennsylvania",75900,42,049,011102,2021
"Census Tract 112.01, Erie County, Pennsylvania",69107,42,049,011201,2021
"Census Tract 112.02, Erie County, Pennsylvania",66502,42,049,011202,2021
"Census Tract 113, Erie County, Pennsylvania",50284,42,049,011300,2021
"Census Tract 114, Erie County, Pennsylvania",61232,42,049,011400,2021
"Census Tract 115.03, Erie County, Pennsylvania",54779,42,049,011503,2021
"Census Tract 115.08, Erie County, Pennsylvania",77645,42,049,011508,2021
"Census Tract 115.09, Erie County, Pennsylvania",69142,42,049,011509,2021
"Census Tract 115.10, Erie County, Pennsylvania",82138,42,049,011510,2021
"Census Tract 115.11, Erie County, Pennsylvania",,42,049,011511,2021
"Census Tract 116, Erie County, Pennsylvania",58336,42,049,011600,2021
"Census Tract 117.01, Erie County, Pennsylvania",67583,42,049,011701,2021
"Census Tract 117.02, Erie County, Pennsylvania",78080,42,049,011702,2021
"Census Tract 118.01, Erie County, Pennsylvania",65543,42,049,011801,2021
"Census Tract 118.02, Erie County, Pennsylvania",63381,42,049,011802,2021
"Census Tract 119, Erie County, Pennsylvania",37192,42,049,011900,2021
"Census Tract 120.01, Erie County, Pennsylvania",71125,42,049,012001,2021
"Census Tract 120.02, Erie County, Pennsylvania",42292,42,049,012002,2021
"Census Tract 121, Erie County, Pennsylvania",67955,42,049,012100,2021
"Census Tract 122.01, Erie County, Pennsylvania",75673,42,049,012201,2021
"Census Tract 122.02, Erie County, Pennsylvania",36695,42,049,012202,2021
"Census Tract 124, Erie County, Pennsylvania",63424,42,049,012400,2021
Census Tract 1; Erie County; Pennsylvania,14648,42,049,000100,2022
