name,address,category,tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,shop_tag,brand,opening_hours,geocode_source,already_in_app
Country Fair,"5866, Station Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1203712,-79.9658185,156,163,175,3371321133,node,convenience,,,openstreetmap,True
Country Fair,"2266, East 38th Street, Erie, PA, 16510",Convenience & Fuel,convenience,42.1210696,-80.0173028,156,163,175,3371382442,node,convenience,,,openstreetmap,True
Country Fair,"957, East 26th Street, Erie, PA, 16504",Convenience & Fuel,convenience,42.1197159,-80.05152,156,163,175,3372626196,node,convenience,,,openstreetmap,True
Country Fair,"4526, Pine Avenue, Erie, PA, 16504",Convenience & Fuel,convenience,42.1062017,-80.0348832,156,163,175,3374410650,node,convenience,,,openstreetmap,True
Country Fair,"5211, East Lake Road, Erie, PA, 16511",Convenience & Fuel,convenience,42.1701397,-79.9978771,156,163,175,3375863139,node,convenience,,,openstreetmap,True
Country Fair,"4816, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1513794,-79.9943252,156,163,175,3379135815,node,convenience,,,openstreetmap,True
Country Fair,"2905, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.139092,-80.0166145,156,163,175,3382416044,node,convenience,,,openstreetmap,True
Country Fair,"1810, Sassafras Street, Erie, PA, 16502",Convenience & Fuel,convenience,42.1164117,-80.0820017,156,163,175,7569998759,node,convenience,,,openstreetmap,True
Country Fair,"5008, Peach Street, Erie, PA, 16509",Convenience & Fuel,convenience,42.0809111,-80.0909433,156,163,175,7573395970,node,convenience,,,openstreetmap,True
Country Fair,"2841, West 12th Street, Erie, PA, 16505",Convenience & Fuel,convenience,42.0995027,-80.144504,156,163,175,7575876385,node,convenience,,Mo-Su 06:00-24:00,openstreetmap,True
Country Fair,"1564, West 26th Street, Erie, PA, 16508",Convenience & Fuel,convenience,42.0995922,-80.1082464,156,163,175,7576494397,node,convenience,,,openstreetmap,True
Country Fair,"347, East 12th Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1260018,-80.0733199,156,163,175,7581084212,node,convenience,,,openstreetmap,True
Country Fair,"3501, West 38th Street, Erie, PA, 16506",Convenience & Fuel,convenience,42.072414,-80.1456413,156,163,175,7593387799,node,convenience,,,openstreetmap,True
Country Fair,"1939, West 8th Street, Erie, PA, 16505",Convenience & Fuel,convenience,42.1112072,-80.127247,156,163,175,7601173085,node,convenience,,,openstreetmap,True
Country Fair,"2525, State Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1123715,-80.0732905,156,163,175,7635807157,node,convenience,,,openstreetmap,True
Country Fair,"9030, Main Street, McKean, PA, 16426",Convenience & Fuel,convenience,41.9959899,-80.1440289,156,163,175,7695959630,node,convenience,,,openstreetmap,True
Country Fair,"5838, Wattsburg Road, Erie, PA, 16509",Convenience & Fuel,convenience,42.0951352,-80.0093149,156,163,175,7717015848,node,convenience,,,openstreetmap,True
Country Fair,"1449, West 8th Street, Erie, PA, 16505",Convenience & Fuel,convenience,42.114857,-80.1164513,156,163,175,7721846201,node,convenience,,,openstreetmap,True
Country Fair,"170, West Main Street, North East, PA, 16428",Convenience & Fuel,convenience,42.2124274,-79.8459289,156,163,175,7734493608,node,convenience,,,openstreetmap,True
Country Fair,"4646, West 12th Street, Erie, PA, 16505",Convenience & Fuel,convenience,42.081833,-80.1866079,156,163,175,7758319705,node,convenience,,,openstreetmap,True
Country Fair,"308, West Main Street, Girard, PA, 16417",Convenience & Fuel,convenience,41.9992439,-80.3206985,156,163,175,7788009097,node,convenience,,,openstreetmap,True
Country Fair,"810, East Avenue, Erie, PA, 16503",Convenience & Fuel,convenience,42.1351279,-80.0620473,156,163,175,7804448276,node,convenience,,,openstreetmap,True
Country Fair,"1904, East Lake Road, Erie, PA, 16511",Convenience & Fuel,convenience,42.1457629,-80.0431515,156,163,175,7862559096,node,convenience,,,openstreetmap,True
Country Fair,"803, Brown Avenue, Erie, PA, 16502",Convenience & Fuel,convenience,42.1097945,-80.0937616,156,163,175,7896853834,node,convenience,,,openstreetmap,True
Country Fair,"430, High Street, Waterford, PA, 16441",Convenience & Fuel,convenience,41.9440953,-79.9858809,156,163,175,8075423780,node,convenience,,,openstreetmap,True
Country Fair,"128, East Plum Street, Edinboro, PA, 16412",Convenience & Fuel,convenience,41.8758266,-80.1285677,156,163,175,8173668685,node,convenience,,,openstreetmap,True
Country Fair,"18163, Conneaut Lake Road, Meadville, PA, 16335",Convenience & Fuel,convenience,41.6208409,-80.1736378,156,163,175,8476737096,node,convenience,,,openstreetmap,True
Country Fair,"76, North Main Street, Union City, PA, 16438",Convenience & Fuel,convenience,41.9013554,-79.8462411,156,163,175,8707081826,node,convenience,,,openstreetmap,True
Country Fair,"32, North Park Row, Erie, PA, 16501",Convenience & Fuel,convenience,42.1297602,-80.0868106,156,163,175,12996001925,node,convenience,,,openstreetmap,True
Country Fair,"5985, Route 6N, Edinboro, PA, 16412",Convenience & Fuel,convenience,41.8791981,-80.1718809,156,163,175,824943698,way,convenience,,,openstreetmap,True
Country Fair,"2, West State Street, Albion, PA, 16401",Convenience & Fuel,convenience,41.8904472,-80.366764,156,163,175,866424306,way,convenience,,,openstreetmap,True
Country Fair,,Convenience & Fuel,convenience,41.7211228,-80.148218,156,163,175,1094663485,way,convenience,,,openstreetmap,True
Erie Food Co-op,"1341, West 26th Street, Erie, PA, 16508",Full-Service,premium,42.101073,-80.10149,34,197,94,8528974113,node,supermarket,,Su 10:00-20:00; Mo-Sa 08:00-20:00,openstreetmap,True
Giant Eagle,"2501, West 12th Street, Erie, PA, 16505",Full-Service,standard,42.1010469,-80.1344633,59,130,246,2295317091,node,supermarket,Giant Eagle,Mo-Su 07:00-22:00,openstreetmap,True
Giant Eagle,"4265, Buffalo Road, Erie, PA, 16510",Full-Service,standard,42.1434971,-80.0040297,59,130,246,7564280886,node,supermarket,Giant Eagle,Mo-Su 07:00-22:00,openstreetmap,True
Giant Eagle,"2067, Interchange Road, Erie, PA, 16509",Full-Service,standard,42.0630315,-80.1016364,59,130,246,7576297462,node,supermarket,Giant Eagle,Mo-Su 07:00-21:00,openstreetmap,True
Giant Eagle,"9125, West Ridge Road, Girard, PA, 16417",Full-Service,standard,42.0083212,-80.3010533,59,130,246,7788065817,node,supermarket,Giant Eagle,Mo-Su 07:00-21:00,openstreetmap,True
Giant Eagle,"18511, Smock Highway, Meadville, PA, 16335",Full-Service,standard,41.6185617,-80.1674144,59,130,246,912434023,way,supermarket,Giant Eagle,Mo-Su 06:00-21:00,openstreetmap,True
Sheetz,"4662, West Ridge Road, Erie, PA, 16506",Convenience & Fuel,convenience,42.0730662,-80.1819128,156,163,175,7593276627,node,convenience,Sheetz,24/7,openstreetmap,True
Sheetz,"750, Peninsula Drive, Erie, PA, 16505",Convenience & Fuel,convenience,42.1044899,-80.1499208,156,163,175,7620884520,node,convenience,Sheetz,24/7,openstreetmap,True
Sheetz,"809, East Main Street, Girard, PA, 16417",Convenience & Fuel,convenience,42.0060306,-80.3071116,156,163,175,7791825348,node,convenience,Sheetz,24/7,openstreetmap,True
Sheetz,"8180, Perry Highway, Erie, PA, 16509",Convenience & Fuel,convenience,42.0654083,-80.0369253,156,163,175,7928673933,node,convenience,Sheetz,24/7,openstreetmap,True
Sheetz,"3814, Liberty Street, Erie, PA, 16509",Convenience & Fuel,convenience,42.095068,-80.0846479,156,163,175,12802282520,node,convenience,Sheetz,,openstreetmap,True
Sheetz,"5930, Route 6N, Edinboro, PA, 16412",Convenience & Fuel,convenience,41.8805439,-80.17335,156,163,175,824934775,way,convenience,Sheetz,24/7,openstreetmap,True
Sheetz,"16590, Conneaut Lake Road, Meadville, PA, 16335",Convenience & Fuel,convenience,41.6229694,-80.2048591,156,163,175,866066654,way,convenience,Sheetz,24/7,openstreetmap,True
Sheetz,"18425, Smock Highway, Meadville, PA, 16335",Convenience & Fuel,convenience,41.6199202,-80.1686,156,163,175,912431528,way,convenience,Sheetz,24/7,openstreetmap,True
Target,"6700, Peach Street, Erie, PA, 16509",Big Box,bigbox,42.0549181,-80.0949164,139,92,246,7571609483,node,department_store,Target,08:00-22:00,openstreetmap,True
Walmart Supercenter,"2711, Elm Street, Erie, PA, 16504",Big Box,bigbox,42.1229775,-80.0410239,139,92,246,330298508,way,supermarket,Walmart,06:00-23:00,openstreetmap,True
Walmart Supercenter,"11415, Hydetown Road, Titusville, PA, 16354",Big Box,bigbox,41.633261,-79.6987941,139,92,246,341881558,way,supermarket,Walmart,24/7,openstreetmap,True
Walmart Supercenter,"16086, Conneaut Lake Road, Meadville, PA, 16335",Big Box,bigbox,41.6223058,-80.2139092,139,92,246,358214172,way,supermarket,Walmart,24/7,openstreetmap,True
Walmart Supercenter,"5350, West Ridge Road, Erie, PA, 16506",Big Box,bigbox,42.0678595,-80.1959193,139,92,246,814396535,way,supermarket,Walmart,06:00-23:00,openstreetmap,True
Walmart Supercenter,"5741, Buffalo Road, Harborcreek, PA, 16421",Big Box,bigbox,42.1594348,-79.9681384,139,92,246,819533223,way,supermarket,Walmart,,openstreetmap,True
Walmart Supercenter,"1825, Downs Drive, Erie, PA, 16509",Big Box,bigbox,42.0520324,-80.0799031,139,92,246,820437381,way,supermarket,Walmart,06:00-23:00,openstreetmap,True
Walmart Supercenter,"108, Washington Towne Boulevard, Edinboro, PA, 16412",Big Box,bigbox,41.876783,-80.1742687,139,92,246,824940761,way,supermarket,Walmart,06:00-23:00,openstreetmap,True
Wegmans,"5028, West Ridge Road, Erie, PA, 16506",Full-Service,premium,42.0701276,-80.1908615,34,197,94,815580486,way,supermarket,Wegmans,,openstreetmap,True
Wegmans,"6143, Peach Street, Erie, PA, 16509",Full-Service,premium,42.0603519,-80.0916907,34,197,94,823983969,way,supermarket,Wegmans,Mo-Su 06:00-24:00,openstreetmap,True
