name,address,category,tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,shop_tag,brand,opening_hours,geocode_source,already_in_app
Fresh Asian Mini Mart,"837, West 38th Street, Erie, PA, 16508",Full-Service,standard,42.0948384,-80.08517,59,130,246,7573211278,node,supermarket,,,openstreetmap,False
Galaxy Food Mart,"1001, State Street, Erie, PA, 16501",Convenience & Fuel,convenience,42.1254764,-80.0822804,156,163,175,9111947547,node,convenience,,,openstreetmap,False
Gary's Superette,"4703, East Lake Road, Erie, PA, 16511",Convenience & Fuel,convenience,42.1649787,-80.0064065,156,163,175,8394602281,node,convenience,,,openstreetmap,False
Gary's Variety,"2521, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1370496,-80.0214196,156,163,175,7601162561,node,convenience,,,openstreetmap,False
GetGo,"4307, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1449135,-80.0039922,156,163,175,808959138,way,convenience,GetGo,24/7,openstreetmap,False
Glenwood Mini Mart,"2917, Glenwood Park Avenue, Erie, PA, 16508",Convenience & Fuel,convenience,42.108159,-80.0733453,156,163,175,9879220972,node,convenience,,,openstreetmap,False
Global Market of PA,"718, East Avenue, Erie, PA, 16503",Full-Service,standard,42.1359713,-80.0623356,59,130,246,10273208152,node,supermarket,,,openstreetmap,False
Gordon Food Service,"6740, Peach Street, Erie, PA, 16509",Full-Service,standard,42.0564013,-80.0911517,59,130,246,7571606146,node,supermarket,Gordon Food Service,,openstreetmap,False
H & H Market,,Full-Service,standard,41.7149701,-80.1456195,59,130,246,358217779,way,supermarket,,Su 08:00-18:00; Mo-Fr 06:00-21:00; Sa 08:00-19:00,openstreetmap,False
Hawk's,,Convenience & Fuel,convenience,41.6567082,-79.7288611,156,163,175,1129485400,way,convenience,,,openstreetmap,False
Himalayan Groceries,"418, East 21st Street, Erie, PA, 16503",Full-Service,standard,42.1197571,-80.0671605,59,130,246,9906306381,node,supermarket,,,openstreetmap,False
I&M Convenience Store,"1202, Ash Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1280923,-80.0681218,156,163,175,8497744331,node,convenience,,,openstreetmap,False
JCPenney,"840, Millcreek Mall Boulevard, Erie, PA, 16565",Big Box,bigbox,42.0707272,-80.098598,139,92,246,4635131700,node,department_store,JCPenney,,openstreetmap,False
Kamana Asian Food Mart,"1230, French Street, Erie, PA, 16501",Full-Service,standard,42.1231371,-80.0799103,59,130,246,7580952316,node,supermarket,,,openstreetmap,False
Kelley's Korner Market,"3502, Station Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1334824,-80.0018936,156,163,175,7600912186,node,convenience,,,openstreetmap,False
Kohl's,"1906, Keystone Drive, Erie, PA, 16509",Big Box,bigbox,42.0579023,-80.0829778,139,92,246,10723375130,node,department_store,Kohl's,Mo-Sa 09:00-22:00; Su 09:00-21:00,openstreetmap,False
Kraus Department Store,"810, Parade Street, Erie, PA, 16503",Big Box,bigbox,42.1301494,-80.0754527,139,92,246,7804604061,node,department_store,,,openstreetmap,False
Kwik Fill,"6707, Buffalo Road, Harborcreek, PA, 16421",Convenience & Fuel,convenience,42.1685529,-79.9516696,156,163,175,7566366205,node,convenience,,,openstreetmap,False
Kwik Fill,"1101, East Lake Road, Erie, PA, 16507",Convenience & Fuel,convenience,42.1386746,-80.0607579,156,163,175,7857081871,node,convenience,,,openstreetmap,False
Kwik Fill,"163, South Lake Street, North East, PA, 16428",Convenience & Fuel,convenience,42.20819,-79.8377895,156,163,175,8073129705,node,convenience,,,openstreetmap,False
Kwik Fill,"100, West Plum Street, Edinboro, PA, 16412",Convenience & Fuel,convenience,41.8761229,-80.132045,156,163,175,8168671812,node,convenience,,,openstreetmap,False
Kwik Fill,"12201, East Main Street, North East, PA, 16428",Convenience & Fuel,convenience,42.2318268,-79.7827744,156,163,175,8184323640,node,convenience,,,openstreetmap,False
Kwik Fill,"271, West Main Street, Girard, PA, 16417",Convenience & Fuel,convenience,41.9990649,-80.3194308,156,163,175,8262645797,node,convenience,,,openstreetmap,False
Kwik Fill,"1225, Park Avenue, Meadville, PA, 16335",Convenience & Fuel,convenience,41.6299991,-80.1549867,156,163,175,8476081862,node,convenience,,,openstreetmap,False
Kwik Fill,"8795, Wattsburg Road, Erie, PA, 16509",Convenience & Fuel,convenience,42.0761261,-79.9855796,156,163,175,8755998849,node,convenience,,,openstreetmap,False
Kwik Fill,"717, High Street, Waterford, PA, 16441",Convenience & Fuel,convenience,41.9477229,-79.9871188,156,163,175,9155714829,node,convenience,,,openstreetmap,False
Kwik Fill,"3620, Peach Street, Erie, PA, 16508",Convenience & Fuel,convenience,42.0988532,-80.0811585,156,163,175,9290956012,node,convenience,,,openstreetmap,False
Kwik Fill,"1603, West 26th Street, Erie, PA, 16508",Convenience & Fuel,convenience,42.0987129,-80.1085916,156,163,175,810361448,way,convenience,,,openstreetmap,False
Lake Erie International Market,"601, Brown Avenue, Erie, PA, 16502",Full-Service,standard,42.1117711,-80.09018,59,130,246,8511356512,node,supermarket,,,openstreetmap,False
Larkin's Market,"263, East 22nd Street, Erie, PA, 16503",Full-Service,standard,42.117307,-80.069724,59,130,246,13138265512,node,supermarket,,,openstreetmap,False
Larry's Central Market,"1626, Sassafras Street, Erie, PA, 16502",Full-Service,standard,42.1179519,-80.0825072,59,130,246,7851205288,node,supermarket,,,openstreetmap,False
Lawrence Park & Go,"4216, Main Street, Erie, PA, 16511",Convenience & Fuel,convenience,42.1516465,-80.0126204,156,163,175,7578608441,node,convenience,,,openstreetmap,False
Love's,"6201, Shortman Road, Ripley, NY, 14775",Convenience & Fuel,convenience,42.2587394,-79.7437862,156,163,175,10926790747,node,convenience,Love's,,openstreetmap,False
Lucky's Food Mart,"707, State Street, Erie, PA, 16501",Convenience & Fuel,convenience,42.1283573,-80.0840983,156,163,175,9121053929,node,convenience,,,openstreetmap,False
Macy's,"850, Millcreek Mall Boulevard, Erie, PA, 16565",Big Box,bigbox,42.0694236,-80.0975309,139,92,246,7571663172,node,department_store,Macy's,,openstreetmap,False
Marathon,"6355, Sterrettania Road, Fairview, PA, 16415",Convenience & Fuel,convenience,42.0197888,-80.1864566,156,163,175,10614634176,node,convenience,Marathon,,openstreetmap,False
Market Place,,Full-Service,standard,41.758757,-80.3704675,59,130,246,697623785,way,supermarket,,,openstreetmap,False
