tract_name,median_household_income,state_fips,county_fips,tract_code,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,year,county_name
"Census Tract 16, Erie County, Pennsylvania",48239.0,42,049,001600,22.1,13.3,22.2,9.4,2019,Erie County
"Census Tract 23, Erie County, Pennsylvania",41776.0,42,049,002300,18.1,16.0,17.0,10.3,2019,Erie County
"Census Tract 104, Erie County, Pennsylvania",65018.0,42,049,010400,8.4,28.5,27.8,3.1,2019,Erie County
"Census Tract 109.02, Erie County, Pennsylvania",65125.0,42,049,010902,6.5,26.5,30.0,8.2,2019,Erie County
"Census Tract 112.01, Erie County, Pennsylvania",72801.0,42,049,011201,10.6,16.5,5.6,2.0,2019,Erie County
"Census Tract 17, Erie County, Pennsylvania",31956.0,42,049,001700,26.3,4.1,28.4,32.7,2019,Erie County
"Census Tract 21, Erie County, Pennsylvania",52972.0,42,049,002100,11.4,21.7,14.7,5.6,2019,Erie County
"Census Tract 26, Erie County, Pennsylvania",36961.0,42,049,002600,30.6,11.7,12.8,10.6,2019,Erie County
"Census Tract 107, Erie County, Pennsylvania",53641.0,42,049,010700,8.5,19.0,20.3,5.1,2019,Erie County
"Census Tract 109.04, Erie County, Pennsylvania",122731.0,42,049,010904,1.4,32.1,8.7,0.0,2019,Erie County
"Census Tract 113, Erie County, Pennsylvania",42614.0,42,049,011300,21.9,15.4,25.2,11.5,2019,Erie County
"Census Tract 115.03, Erie County, Pennsylvania",53056.0,42,049,011503,5.9,18.1,13.1,10.8,2019,Erie County
"Census Tract 117.01, Erie County, Pennsylvania",68934.0,42,049,011701,4.6,25.0,6.9,7.5,2019,Erie County
"Census Tract 120.02, Erie County, Pennsylvania",48026.0,42,049,012002,26.3,10.3,15.9,19.6,2019,Erie County
"Census Tract 8, Erie County, Pennsylvania",19033.0,42,049,000800,55.8,3.5,33.6,45.1,2019,Erie County
"Census Tract 22, Erie County, Pennsylvania",59219.0,42,049,002200,8.0,16.6,25.2,6.4,2019,Erie County
"Census Tract 101.01, Erie County, Pennsylvania",54814.0,42,049,010101,11.3,8.7,5.7,4.1,2019,Erie County
"Census Tract 103.03, Erie County, Pennsylvania",86972.0,42,049,010303,5.3,24.6,43.6,8.5,2019,Erie County
"Census Tract 110.01, Erie County, Pennsylvania",59515.0,42,049,011001,7.3,27.1,22.1,4.4,2019,Erie County
"Census Tract 120.01, Erie County, Pennsylvania",57888.0,42,049,012001,9.2,12.8,18.7,2.2,2019,Erie County
"Census Tract 6, Erie County, Pennsylvania",25287.0,42,049,000600,36.7,12.5,25.9,20.9,2019,Erie County
"Census Tract 24, Erie County, Pennsylvania",43897.0,42,049,002400,17.8,16.3,25.6,12.8,2019,Erie County
"Census Tract 7, Erie County, Pennsylvania",21791.0,42,049,000700,43.0,2.4,34.8,38.1,2019,Erie County
"Census Tract 118.02, Erie County, Pennsylvania",58307.0,42,049,011802,9.1,14.0,12.1,3.0,2019,Erie County
"Census Tract 123, Erie County, Pennsylvania",51508.0,42,049,012300,13.7,16.2,38.9,5.2,2019,Erie County
"Census Tract 124, Erie County, Pennsylvania",44643.0,42,049,012400,12.1,19.2,13.2,13.2,2019,Erie County
"Census Tract 9801.09, Erie County, Pennsylvania",,42,049,980109,0.0,0.0,0.0,0.0,2019,Erie County
"Census Tract 2, Erie County, Pennsylvania",60797.0,42,049,000200,11.8,25.8,18.4,11.0,2019,Erie County
"Census Tract 4, Erie County, Pennsylvania",40664.0,42,049,000400,19.8,16.3,17.9,21.7,2019,Erie County
"Census Tract 19, Erie County, Pennsylvania",19894.0,42,049,001900,31.3,7.4,23.3,47.5,2019,Erie County
"Census Tract 20, Erie County, Pennsylvania",48906.0,42,049,002000,21.7,13.2,23.2,18.4,2019,Erie County
"Census Tract 28, Erie County, Pennsylvania",47417.0,42,049,002800,20.2,26.1,15.9,7.1,2019,Erie County
"Census Tract 101.03, Erie County, Pennsylvania",56607.0,42,049,010103,10.1,11.2,28.5,6.2,2019,Erie County
"Census Tract 101.07, Erie County, Pennsylvania",37050.0,42,049,010107,17.5,10.3,20.9,9.3,2019,Erie County
"Census Tract 108, Erie County, Pennsylvania",63560.0,42,049,010800,6.0,16.1,2.6,4.4,2019,Erie County
"Census Tract 111.02, Erie County, Pennsylvania",70197.0,42,049,011102,5.4,26.6,34.6,5.8,2019,Erie County
"Census Tract 121, Erie County, Pennsylvania",58038.0,42,049,012100,13.9,13.3,9.9,5.6,2019,Erie County
"Census Tract 114, Erie County, Pennsylvania",59099.0,42,049,011400,10.3,22.7,12.9,6.4,2019,Erie County
"Census Tract 119, Erie County, Pennsylvania",40833.0,42,049,011900,24.7,12.7,23.6,18.5,2019,Erie County
"Census Tract 122.02, Erie County, Pennsylvania",38940.0,42,049,012202,24.1,35.1,34.4,10.9,2019,Erie County
"Census Tract 1, Erie County, Pennsylvania",10971.0,42,049,000100,64.7,8.1,18.6,66.2,2019,Erie County
"Census Tract 5, Erie County, Pennsylvania",25639.0,42,049,000500,41.3,3.9,41.5,23.5,2019,Erie County
"Census Tract 9, Erie County, Pennsylvania",27830.0,42,049,000900,33.0,18.4,31.5,17.4,2019,Erie County
"Census Tract 10, Erie County, Pennsylvania",38000.0,42,049,001000,28.3,22.1,17.4,11.0,2019,Erie County
"Census Tract 18, Erie County, Pennsylvania",24668.0,42,049,001800,43.0,10.1,31.6,29.0,2019,Erie County
"Census Tract 101.04, Erie County, Pennsylvania",66932.0,42,049,010104,11.0,10.5,18.1,1.7,2019,Erie County
"Census Tract 112.02, Erie County, Pennsylvania",68600.0,42,049,011202,5.3,17.6,4.0,2.4,2019,Erie County
"Census Tract 115.05, Erie County, Pennsylvania",77292.0,42,049,011505,5.4,19.8,6.4,7.2,2019,Erie County
"Census Tract 117.02, Erie County, Pennsylvania",69474.0,42,049,011702,5.3,11.7,13.6,4.1,2019,Erie County
"Census Tract 3, Erie County, Pennsylvania",35708.0,42,049,000300,18.2,11.2,13.1,23.1,2019,Erie County
"Census Tract 12, Erie County, Pennsylvania",16602.0,42,049,001200,54.5,7.1,48.7,39.7,2019,Erie County
"Census Tract 13, Erie County, Pennsylvania",22917.0,42,049,001300,51.1,6.1,27.3,33.4,2019,Erie County
"Census Tract 14, Erie County, Pennsylvania",26296.0,42,049,001400,44.3,7.6,27.1,42.5,2019,Erie County
"Census Tract 29, Erie County, Pennsylvania",73636.0,42,049,002900,3.8,28.8,6.6,6.7,2019,Erie County
"Census Tract 30, Erie County, Pennsylvania",39539.0,42,049,003000,18.7,15.2,22.9,7.3,2019,Erie County
"Census Tract 1115, Crawford County, Pennsylvania",41432.0,42,039,111500,18.4,14.2,22.9,20.5,2019,Crawford County
"Census Tract 1116, Crawford County, Pennsylvania",22500.0,42,039,111600,29.8,7.5,30.1,35.7,2019,Crawford County
"Census Tract 1113, Crawford County, Pennsylvania",60459.0,42,039,111300,7.2,12.1,11.9,2.8,2019,Crawford County
"Census Tract 1112, Crawford County, Pennsylvania",40172.0,42,039,111200,20.8,12.7,15.1,12.9,2019,Crawford County
"Census Tract 1114, Crawford County, Pennsylvania",60625.0,42,039,111400,10.9,21.2,18.1,6.3,2019,Crawford County
"Census Tract 1119, Crawford County, Pennsylvania",52250.0,42,039,111900,12.4,6.6,14.9,14.6,2019,Crawford County
"Census Tract 1104, Crawford County, Pennsylvania",41786.0,42,039,110400,15.9,8.7,17.9,5.6,2019,Crawford County
"Census Tract 1106, Crawford County, Pennsylvania",65402.0,42,039,110600,4.7,17.8,14.1,3.3,2019,Crawford County
"Census Tract 1118, Crawford County, Pennsylvania",52705.0,42,039,111800,7.9,12.8,11.5,1.4,2019,Crawford County
"Census Tract 1107, Crawford County, Pennsylvania",54271.0,42,039,110700,7.9,13.7,2.4,4.5,2019,Crawford County
"Census Tract 1102.01, Crawford County, Pennsylvania",61953.0,42,039,110201,5.5,17.6,1.4,3.0,2019,Crawford County
"Census Tract 1102.02, Crawford County, Pennsylvania",50972.0,42,039,110202,15.0,13.8,11.8,6.5,2019,Crawford County
"Census Tract 1105.01, Crawford County, Pennsylvania",65778.0,42,039,110501,7.9,14.2,20.4,4.4,2019,Crawford County
"Census Tract 1105.02, Crawford County, Pennsylvania",59909.0,42,039,110502,9.4,18.8,23.0,5.6,2019,Crawford County
"Census Tract 1120.01, Crawford County, Pennsylvania",49760.0,42,039,112001,9.6,12.7,15.2,3.3,2019,Crawford County
"Census Tract 1120.02, Crawford County, Pennsylvania",47545.0,42,039,112002,6.9,10.1,31.6,4.9,2019,Crawford County
"Census Tract 1117, Crawford County, Pennsylvania",56164.0,42,039,111700,11.4,21.1,8.5,5.9,2019,Crawford County
"Census Tract 1103, Crawford County, Pennsylvania",50938.0,42,039,110300,15.7,10.9,15.7,11.6,2019,Crawford County
"Census Tract 1108, Crawford County, Pennsylvania",56458.0,42,039,110800,8.3,12.2,9.1,4.5,2019,Crawford County
"Census Tract 1109, Crawford County, Pennsylvania",47961.0,42,039,110900,11.9,10.0,10.9,3.0,2019,Crawford County
"Census Tract 1110, Crawford County, Pennsylvania",48719.0,42,039,111000,17.9,9.7,24.6,3.2,2019,Crawford County
"Census Tract 1101, Crawford County, Pennsylvania",44413.0,42,039,110100,21.6,8.2,16.2,18.9,2019,Crawford County
"Census Tract 1111, Crawford County, Pennsylvania",32614.0,42,039,111100,27.4,8.6,12.9,16.7,2019,Crawford County
"Census Tract 1, Erie County, Pennsylvania",11757.0,42,049,000100,67.9,8.5,18.2,66.1,2020,Erie County
"Census Tract 2, Erie County, Pennsylvania",62917.0,42,049,000200,7.3,26.8,20.2,9.8,2020,Erie County
"Census Tract 3, Erie County, Pennsylvania",37018.0,42,049,000300,26.4,9.6,12.1,19.2,2020,Erie County
"Census Tract 4, Erie County, Pennsylvania",38992.0,42,049,000400,24.6,18.2,20.7,24.9,2020,Erie County
"Census Tract 5, Erie County, Pennsylvania",28949.0,42,049,000500,38.3,5.9,40.3,23.2,2020,Erie County
"Census Tract 6, Erie County, Pennsylvania",28250.0,42,049,000600,35.1,13.4,27.8,18.7,2020,Erie County
"Census Tract 7, Erie County, Pennsylvania",23590.0,42,049,000700,33.7,7.5,37.4,40.0,2020,Erie County
"Census Tract 8, Erie County, Pennsylvania",20934.0,42,049,000800,46.5,5.2,26.6,40.3,2020,Erie County
"Census Tract 9.01, Erie County, Pennsylvania",26631.0,42,049,000901,22.7,22.2,33.3,17.2,2020,Erie County
"Census Tract 9.02, Erie County, Pennsylvania",19400.0,42,049,000902,60.2,14.5,50.5,32.4,2020,Erie County
"Census Tract 10, Erie County, Pennsylvania",35313.0,42,049,001000,31.3,21.5,23.4,17.7,2020,Erie County
"Census Tract 11, Erie County, Pennsylvania",43611.0,42,049,001100,31.1,14.9,23.6,11.8,2020,Erie County
"Census Tract 12, Erie County, Pennsylvania",20039.0,42,049,001200,44.2,6.6,40.5,23.2,2020,Erie County
"Census Tract 13, Erie County, Pennsylvania",23041.0,42,049,001300,56.1,5.1,43.5,34.1,2020,Erie County
"Census Tract 14, Erie County, Pennsylvania",20603.0,42,049,001400,49.3,9.1,41.9,54.2,2020,Erie County
"Census Tract 15, Erie County, Pennsylvania",24247.0,42,049,001500,36.6,17.9,14.2,40.5,2020,Erie County
"Census Tract 16, Erie County, Pennsylvania",42552.0,42,049,001600,26.7,10.8,27.8,10.2,2020,Erie County
"Census Tract 17, Erie County, Pennsylvania",41004.0,42,049,001700,19.5,3.4,21.2,25.2,2020,Erie County
"Census Tract 18, Erie County, Pennsylvania",25394.0,42,049,001800,38.1,4.9,39.2,27.9,2020,Erie County
"Census Tract 19, Erie County, Pennsylvania",19976.0,42,049,001900,34.2,6.5,26.5,49.5,2020,Erie County
"Census Tract 20, Erie County, Pennsylvania",50926.0,42,049,002000,22.4,12.3,29.5,11.6,2020,Erie County
"Census Tract 21, Erie County, Pennsylvania",58125.0,42,049,002100,9.4,26.3,28.9,5.2,2020,Erie County
"Census Tract 22, Erie County, Pennsylvania",67528.0,42,049,002200,6.0,16.3,14.1,6.9,2020,Erie County
"Census Tract 23, Erie County, Pennsylvania",36534.0,42,049,002300,13.3,11.6,21.3,11.3,2020,Erie County
"Census Tract 24, Erie County, Pennsylvania",47532.0,42,049,002400,13.4,16.3,23.3,13.7,2020,Erie County
"Census Tract 25, Erie County, Pennsylvania",35724.0,42,049,002500,31.0,17.6,37.1,17.1,2020,Erie County
"Census Tract 26, Erie County, Pennsylvania",46571.0,42,049,002600,28.0,14.9,21.2,6.6,2020,Erie County
"Census Tract 27, Erie County, Pennsylvania",45720.0,42,049,002700,9.8,13.2,12.9,9.0,2020,Erie County
"Census Tract 28, Erie County, Pennsylvania",47275.0,42,049,002800,18.7,22.5,28.2,10.1,2020,Erie County
"Census Tract 29, Erie County, Pennsylvania",77738.0,42,049,002900,2.6,27.0,8.1,5.1,2020,Erie County
"Census Tract 30, Erie County, Pennsylvania",43789.0,42,049,003000,17.8,18.5,19.0,7.2,2020,Erie County
"Census Tract 101.01, Erie County, Pennsylvania",70189.0,42,049,010101,11.0,11.3,23.1,2.1,2020,Erie County
"Census Tract 101.03, Erie County, Pennsylvania",62500.0,42,049,010103,10.6,10.7,31.7,5.3,2020,Erie County
"Census Tract 101.04, Erie County, Pennsylvania",67813.0,42,049,010104,9.6,16.4,17.5,1.5,2020,Erie County
"Census Tract 101.07, Erie County, Pennsylvania",41750.0,42,049,010107,11.7,9.0,23.9,10.3,2020,Erie County
"Census Tract 101.08, Erie County, Pennsylvania",,42,049,010108,0.0,1.7,0.0,0.0,2020,Erie County
"Census Tract 102.01, Erie County, Pennsylvania",60387.0,42,049,010201,10.8,14.3,19.2,4.3,2020,Erie County
"Census Tract 102.02, Erie County, Pennsylvania",58200.0,42,049,010202,11.3,24.5,19.8,1.9,2020,Erie County
"Census Tract 103.01, Erie County, Pennsylvania",70735.0,42,049,010301,8.6,18.1,7.3,6.3,2020,Erie County
"Census Tract 103.03, Erie County, Pennsylvania",89800.0,42,049,010303,4.6,21.8,44.4,7.4,2020,Erie County
"Census Tract 103.04, Erie County, Pennsylvania",97159.0,42,049,010304,2.1,25.9,0.0,5.1,2020,Erie County
"Census Tract 104, Erie County, Pennsylvania",65693.0,42,049,010400,10.8,29.8,29.6,2.6,2020,Erie County
"Census Tract 105, Erie County, Pennsylvania",54489.0,42,049,010500,15.1,19.9,34.3,9.6,2020,Erie County
"Census Tract 107, Erie County, Pennsylvania",57447.0,42,049,010700,5.5,21.9,17.0,5.1,2020,Erie County
"Census Tract 108, Erie County, Pennsylvania",61296.0,42,049,010800,10.3,17.2,15.4,3.2,2020,Erie County
"Census Tract 109.02, Erie County, Pennsylvania",61926.0,42,049,010902,7.3,25.8,28.1,8.8,2020,Erie County
"Census Tract 109.03, Erie County, Pennsylvania",75882.0,42,049,010903,4.6,23.6,35.6,5.5,2020,Erie County
"Census Tract 109.04, Erie County, Pennsylvania",131607.0,42,049,010904,2.6,29.7,7.0,0.0,2020,Erie County
"Census Tract 110.01, Erie County, Pennsylvania",58490.0,42,049,011001,8.0,33.5,13.9,6.4,2020,Erie County
"Census Tract 110.02, Erie County, Pennsylvania",48550.0,42,049,011002,12.8,27.5,30.8,15.4,2020,Erie County
"Census Tract 111.01, Erie County, Pennsylvania",73313.0,42,049,011101,5.6,22.3,13.7,2.6,2020,Erie County
"Census Tract 111.02, Erie County, Pennsylvania",67083.0,42,049,011102,5.4,30.9,26.6,8.4,2020,Erie County
"Census Tract 112.01, Erie County, Pennsylvania",65446.0,42,049,011201,22.1,15.2,44.3,2.2,2020,Erie County
"Census Tract 112.02, Erie County, Pennsylvania",62917.0,42,049,011202,4.9,17.7,11.2,1.8,2020,Erie County
"Census Tract 113, Erie County, Pennsylvania",41910.0,42,049,011300,21.6,15.8,16.3,8.4,2020,Erie County
"Census Tract 114, Erie County, Pennsylvania",58105.0,42,049,011400,16.3,19.8,32.2,7.5,2020,Erie County
"Census Tract 115.03, Erie County, Pennsylvania",55391.0,42,049,011503,6.7,19.7,11.6,12.4,2020,Erie County
"Census Tract 115.08, Erie County, Pennsylvania",66060.0,42,049,011508,5.8,20.1,17.1,6.0,2020,Erie County
"Census Tract 115.09, Erie County, Pennsylvania",72604.0,42,049,011509,13.5,19.4,2.0,6.2,2020,Erie County
"Census Tract 115.10, Erie County, Pennsylvania",78750.0,42,049,011510,10.0,17.0,18.6,1.4,2020,Erie County
"Census Tract 115.11, Erie County, Pennsylvania",,42,049,011511,39.9,29.3,100.0,0.0,2020,Erie County
"Census Tract 116, Erie County, Pennsylvania",54888.0,42,049,011600,18.2,15.9,15.7,7.8,2020,Erie County
"Census Tract 117.01, Erie County, Pennsylvania",65704.0,42,049,011701,4.3,25.1,5.6,4.2,2020,Erie County
"Census Tract 117.02, Erie County, Pennsylvania",68900.0,42,049,011702,4.5,8.7,9.0,4.0,2020,Erie County
"Census Tract 118.01, Erie County, Pennsylvania",62946.0,42,049,011801,7.5,14.2,4.4,4.7,2020,Erie County
"Census Tract 118.02, Erie County, Pennsylvania",58472.0,42,049,011802,9.3,13.3,9.4,2.5,2020,Erie County
"Census Tract 119, Erie County, Pennsylvania",34126.0,42,049,011900,22.8,15.9,23.8,14.4,2020,Erie County
"Census Tract 120.01, Erie County, Pennsylvania",65714.0,42,049,012001,6.5,16.4,22.3,1.7,2020,Erie County
"Census Tract 120.02, Erie County, Pennsylvania",42281.0,42,049,012002,26.0,7.8,17.7,16.6,2020,Erie County
"Census Tract 121, Erie County, Pennsylvania",67227.0,42,049,012100,9.7,12.8,18.9,3.5,2020,Erie County
"Census Tract 122.01, Erie County, Pennsylvania",72037.0,42,049,012201,9.5,21.9,37.7,6.9,2020,Erie County
"Census Tract 122.02, Erie County, Pennsylvania",33942.0,42,049,012202,21.1,36.1,35.9,9.4,2020,Erie County
"Census Tract 124, Erie County, Pennsylvania",60625.0,42,049,012400,11.6,20.9,16.1,13.3,2020,Erie County
"Census Tract 1101, Crawford County, Pennsylvania",45847.0,42,039,110100,22.7,8.1,21.0,16.3,2020,Crawford County
"Census Tract 1102.01, Crawford County, Pennsylvania",61518.0,42,039,110201,5.1,17.0,2.1,3.0,2020,Crawford County
"Census Tract 1102.02, Crawford County, Pennsylvania",54191.0,42,039,110202,13.4,13.1,11.0,6.5,2020,Crawford County
"Census Tract 1103, Crawford County, Pennsylvania",50890.0,42,039,110300,15.7,9.4,18.7,9.7,2020,Crawford County
"Census Tract 1104, Crawford County, Pennsylvania",47431.0,42,039,110400,13.2,12.4,14.8,6.7,2020,Crawford County
"Census Tract 1105.01, Crawford County, Pennsylvania",67083.0,42,039,110501,7.3,13.6,20.6,6.9,2020,Crawford County
"Census Tract 1105.02, Crawford County, Pennsylvania",58599.0,42,039,110502,9.2,17.6,20.6,4.1,2020,Crawford County
"Census Tract 1106, Crawford County, Pennsylvania",63261.0,42,039,110600,4.3,14.0,15.6,4.2,2020,Crawford County
"Census Tract 1107, Crawford County, Pennsylvania",53906.0,42,039,110700,7.2,14.7,2.0,8.0,2020,Crawford County
"Census Tract 1108, Crawford County, Pennsylvania",60743.0,42,039,110800,10.4,12.8,11.2,4.5,2020,Crawford County
"Census Tract 1109, Crawford County, Pennsylvania",55905.0,42,039,110900,10.4,11.5,6.5,2.3,2020,Crawford County
"Census Tract 1110, Crawford County, Pennsylvania",48260.0,42,039,111000,22.3,7.7,18.0,5.9,2020,Crawford County
"Census Tract 1111, Crawford County, Pennsylvania",33889.0,42,039,111100,27.0,6.3,13.1,21.0,2020,Crawford County
"Census Tract 1112, Crawford County, Pennsylvania",42200.0,42,039,111200,20.2,12.6,10.7,11.0,2020,Crawford County
"Census Tract 1113, Crawford County, Pennsylvania",58614.0,42,039,111300,7.6,12.6,8.9,2.9,2020,Crawford County
"Census Tract 1114, Crawford County, Pennsylvania",60806.0,42,039,111400,13.5,21.0,12.6,7.6,2020,Crawford County
"Census Tract 1115, Crawford County, Pennsylvania",48613.0,42,039,111500,13.1,12.6,16.0,15.3,2020,Crawford County
"Census Tract 1116, Crawford County, Pennsylvania",23266.0,42,039,111600,31.4,8.6,27.1,38.1,2020,Crawford County
"Census Tract 1117, Crawford County, Pennsylvania",55842.0,42,039,111700,7.5,23.1,11.9,7.6,2020,Crawford County
"Census Tract 1118, Crawford County, Pennsylvania",59192.0,42,039,111800,1.7,12.8,12.9,2.3,2020,Crawford County
"Census Tract 1119, Crawford County, Pennsylvania",55725.0,42,039,111900,11.5,5.6,17.2,16.1,2020,Crawford County
"Census Tract 1120.01, Crawford County, Pennsylvania",48792.0,42,039,112001,7.7,9.8,10.5,2.7,2020,Crawford County
"Census Tract 1120.02, Crawford County, Pennsylvania",45759.0,42,039,112002,6.1,10.4,34.3,2.2,2020,Crawford County
"Census Tract 1, Erie County, Pennsylvania",13590.0,42,049,000100,64.2,12.6,16.6,69.1,2021,Erie County
"Census Tract 2, Erie County, Pennsylvania",63306.0,42,049,000200,7.7,21.6,20.1,10.4,2021,Erie County
"Census Tract 3, Erie County, Pennsylvania",36452.0,42,049,000300,31.5,11.8,17.7,25.0,2021,Erie County
"Census Tract 4, Erie County, Pennsylvania",39514.0,42,049,000400,21.1,22.0,17.1,17.8,2021,Erie County
"Census Tract 5, Erie County, Pennsylvania",31296.0,42,049,000500,33.3,10.3,30.3,19.5,2021,Erie County
"Census Tract 6, Erie County, Pennsylvania",42824.0,42,049,000600,21.7,15.5,16.6,18.2,2021,Erie County
"Census Tract 7, Erie County, Pennsylvania",30521.0,42,049,000700,25.5,9.6,28.7,31.0,2021,Erie County
"Census Tract 8, Erie County, Pennsylvania",21157.0,42,049,000800,51.5,8.6,36.5,31.6,2021,Erie County
"Census Tract 9.01, Erie County, Pennsylvania",26219.0,42,049,000901,10.2,13.5,37.9,19.1,2021,Erie County
"Census Tract 9.02, Erie County, Pennsylvania",16641.0,42,049,000902,59.3,13.3,53.1,39.4,2021,Erie County
"Census Tract 10, Erie County, Pennsylvania",35313.0,42,049,001000,31.7,23.3,18.1,19.3,2021,Erie County
"Census Tract 11, Erie County, Pennsylvania",47468.0,42,049,001100,21.1,15.4,19.8,8.2,2021,Erie County
"Census Tract 12, Erie County, Pennsylvania",22295.0,42,049,001200,43.0,8.9,39.5,22.5,2021,Erie County
"Census Tract 13, Erie County, Pennsylvania",22964.0,42,049,001300,51.1,5.7,53.7,30.7,2021,Erie County
"Census Tract 14, Erie County, Pennsylvania",17679.0,42,049,001400,66.4,4.2,40.8,56.4,2021,Erie County
"Census Tract 15, Erie County, Pennsylvania",25313.0,42,049,001500,37.4,14.8,14.2,46.9,2021,Erie County
"Census Tract 16, Erie County, Pennsylvania",36089.0,42,049,001600,31.0,10.8,19.8,9.3,2021,Erie County
"Census Tract 17, Erie County, Pennsylvania",47826.0,42,049,001700,17.1,4.0,24.6,19.7,2021,Erie County
"Census Tract 18, Erie County, Pennsylvania",25330.0,42,049,001800,34.6,8.7,41.5,32.5,2021,Erie County
"Census Tract 19, Erie County, Pennsylvania",21301.0,42,049,001900,36.5,7.1,29.2,41.2,2021,Erie County
"Census Tract 20, Erie County, Pennsylvania",46538.0,42,049,002000,27.9,13.3,35.3,10.0,2021,Erie County
"Census Tract 21, Erie County, Pennsylvania",60656.0,42,049,002100,15.0,25.6,28.5,2.2,2021,Erie County
"Census Tract 22, Erie County, Pennsylvania",67697.0,42,049,002200,12.8,16.6,23.1,10.0,2021,Erie County
"Census Tract 23, Erie County, Pennsylvania",37321.0,42,049,002300,14.2,8.1,27.3,9.9,2021,Erie County
"Census Tract 24, Erie County, Pennsylvania",47756.0,42,049,002400,9.1,18.5,23.4,11.8,2021,Erie County
"Census Tract 25, Erie County, Pennsylvania",40603.0,42,049,002500,29.6,22.7,31.8,14.7,2021,Erie County
"Census Tract 26, Erie County, Pennsylvania",37273.0,42,049,002600,33.4,13.8,37.5,10.6,2021,Erie County
"Census Tract 27, Erie County, Pennsylvania",56688.0,42,049,002700,4.9,12.6,8.4,6.5,2021,Erie County
"Census Tract 28, Erie County, Pennsylvania",49583.0,42,049,002800,22.8,21.9,28.4,11.3,2021,Erie County
"Census Tract 29, Erie County, Pennsylvania",78542.0,42,049,002900,2.2,29.4,8.7,3.7,2021,Erie County
"Census Tract 30, Erie County, Pennsylvania",47258.0,42,049,003000,13.0,18.8,14.7,8.2,2021,Erie County
"Census Tract 101.01, Erie County, Pennsylvania",72098.0,42,049,010101,9.2,9.6,24.5,2.7,2021,Erie County
"Census Tract 101.03, Erie County, Pennsylvania",71343.0,42,049,010103,7.2,11.8,27.0,3.4,2021,Erie County
"Census Tract 101.04, Erie County, Pennsylvania",72303.0,42,049,010104,6.9,18.5,20.4,2.4,2021,Erie County
"Census Tract 101.07, Erie County, Pennsylvania",48750.0,42,049,010107,12.3,11.9,20.5,11.7,2021,Erie County
"Census Tract 101.08, Erie County, Pennsylvania",,42,049,010108,,1.9,,,2021,Erie County
"Census Tract 102.01, Erie County, Pennsylvania",65601.0,42,049,010201,9.4,16.5,15.3,5.5,2021,Erie County
"Census Tract 102.02, Erie County, Pennsylvania",62566.0,42,049,010202,14.9,18.9,26.8,4.9,2021,Erie County
"Census Tract 103.01, Erie County, Pennsylvania",83594.0,42,049,010301,8.7,17.6,7.5,6.2,2021,Erie County
"Census Tract 103.03, Erie County, Pennsylvania",88588.0,42,049,010303,7.1,24.3,41.3,6.7,2021,Erie County
"Census Tract 103.04, Erie County, Pennsylvania",104345.0,42,049,010304,2.5,30.3,33.7,5.7,2021,Erie County
"Census Tract 104, Erie County, Pennsylvania",76556.0,42,049,010400,9.8,26.4,37.8,1.4,2021,Erie County
"Census Tract 105, Erie County, Pennsylvania",58327.0,42,049,010500,15.0,25.9,41.7,6.9,2021,Erie County
"Census Tract 107, Erie County, Pennsylvania",70199.0,42,049,010700,3.3,22.4,11.1,5.3,2021,Erie County
