tract_name,median_household_income,state_fips,county_fips,tract_code,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,year,county_name
"Census Tract 103.04, Erie County, Pennsylvania",100167.0,42,049,010304,4.1,30.7,22.5,5.8,2019,Erie County
"Census Tract 105, Erie County, Pennsylvania",52928.0,42,049,010500,11.7,21.8,17.1,10.4,2019,Erie County
"Census Tract 109.03, Erie County, Pennsylvania",71507.0,42,049,010903,4.8,26.6,19.6,3.8,2019,Erie County
"Census Tract 110.02, Erie County, Pennsylvania",41475.0,42,049,011002,16.6,29.5,28.2,14.2,2019,Erie County
"Census Tract 111.01, Erie County, Pennsylvania",72824.0,42,049,011101,5.1,20.9,13.7,4.2,2019,Erie County
"Census Tract 118.01, Erie County, Pennsylvania",64010.0,42,049,011801,7.8,12.3,6.5,4.8,2019,Erie County
"Census Tract 11, Erie County, Pennsylvania",45000.0,42,049,001100,30.5,15.1,25.3,14.0,2019,Erie County
"Census Tract 25, Erie County, Pennsylvania",33977.0,42,049,002500,29.5,11.2,29.8,13.6,2019,Erie County
"Census Tract 27, Erie County, Pennsylvania",48850.0,42,049,002700,12.0,14.1,17.3,12.0,2019,Erie County
"Census Tract 102.02, Erie County, Pennsylvania",49643.0,42,049,010202,17.8,18.6,13.8,4.2,2019,Erie County
"Census Tract 103.01, Erie County, Pennsylvania",74750.0,42,049,010301,8.9,17.0,8.8,4.7,2019,Erie County
"Census Tract 115.07, Erie County, Pennsylvania",79697.0,42,049,011507,6.3,15.1,18.5,2.0,2019,Erie County
"Census Tract 116, Erie County, Pennsylvania",50014.0,42,049,011600,15.9,13.7,19.7,8.6,2019,Erie County
"Census Tract 122.01, Erie County, Pennsylvania",74955.0,42,049,012201,8.4,27.9,27.5,6.3,2019,Erie County
"Census Tract 102.01, Erie County, Pennsylvania",51750.0,42,049,010201,13.9,11.8,19.9,6.0,2019,Erie County
"Census Tract 15, Erie County, Pennsylvania",24861.0,42,049,001500,43.8,10.3,16.4,30.4,2019,Erie County
