median_household_income,total_population,median_age,state,zcta,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,year,area_name,county_name
75453,9255,47.1,PA,16441,6.2,12.3,26.5,3.9,93.8,0.2,4.2,0.2,1.6,5.5,85.3,2022,Waterford,Erie
71250,3253,37.6,PA,16442,8.1,17.7,10.2,1.5,97.6,0.4,0.3,0.2,1.5,6.1,87.2,2022,Wattsburg,Erie
65536,1226,42.9,PA,16443,24.7,8.3,100.0,4.2,91.7,1.3,0.9,0.0,6.1,3.0,93.2,2022,West Springfield,Erie
14319,1670,53.7,PA,16501,61.6,19.3,22.8,67.0,73.0,14.8,5.8,4.8,1.6,23.1,3.7,2022,Erie Downtown,Erie
35508,15567,32.8,PA,16502,29.6,13.5,28.6,25.0,64.0,13.6,11.8,1.8,8.8,8.7,33.6,2022,Erie West,Erie
29240,16065,31.0,PA,16503,36.6,8.3,32.8,28.7,43.6,37.4,12.9,2.6,3.5,10.3,39.5,2022,Erie East,Erie
47146,16003,37.4,PA,16504,20.4,17.3,27.0,9.1,75.1,11.7,4.5,2.5,6.2,8.5,69.7,2022,Erie South East,Erie
69884,16136,49.1,PA,16505,9.8,26.5,30.3,6.4,93.0,0.8,2.4,1.6,2.2,5.8,76.7,2022,Erie Frontier/West,Erie
83782,24201,44.4,PA,16506,6.6,22.7,28.1,6.4,89.6,1.6,1.2,4.6,3.0,2.4,71.8,2022,Erie Millcreek/West,Erie
34016,8996,30.3,PA,16507,30.4,13.5,34.7,17.5,67.1,14.1,5.6,3.0,10.2,3.2,34.7,2022,Erie Downtown,Erie
53197,14801,38.0,PA,16508,11.6,18.9,23.6,7.2,84.4,5.4,2.8,1.0,6.4,6.0,66.2,2022,Erie South Central,Erie
69496,28151,41.9,PA,16509,11.9,23.2,19.4,7.2,87.0,4.2,3.9,1.1,3.8,2.9,69.4,2022,Erie Millcreek/South,Erie
59949,25271,39.8,PA,16510,16.0,16.1,18.2,7.9,78.6,8.7,6.2,4.1,2.4,5.3,78.5,2022,Erie Harborcreek,Erie
62420,11555,36.6,PA,16511,17.7,19.7,25.8,10.3,80.0,8.2,7.6,1.7,2.5,2.0,66.1,2022,Erie Lawrence Park,Erie
,1543,19.6,PA,16563,,0.0,,,78.0,7.2,1.2,11.1,2.5,14.7,,2022,Erie Penn State Behrend,Erie
82938,380,45.4,PA,16110,3.4,8.5,0.0,14.5,100.0,0.0,0.0,0.0,0.0,0.0,91.0,2023,Adamsville,Crawford
55833,1168,34.3,PA,16111,16.9,4.0,0.0,30.1,95.6,0.9,0.0,0.3,3.2,2.9,85.1,2023,Atlantic,Crawford
62989,784,48.4,PA,16131,15.3,11.1,33.9,5.8,94.9,0.0,3.8,0.0,1.3,6.3,84.7,2023,Hartstown,Crawford
57798,4080,49.4,PA,16134,13.1,8.2,10.9,6.5,97.4,0.1,0.7,0.2,1.6,4.9,84.3,2023,Jamestown,Crawford
70021,5439,46.4,PA,16314,8.1,12.6,6.3,3.9,94.5,0.1,0.6,0.4,4.4,5.4,87.1,2023,Cochranton,Crawford
64906,4688,50.2,PA,16316,10.0,13.9,10.0,4.6,95.3,0.0,2.5,0.0,2.2,5.3,78.2,2023,Conneaut Lake,Crawford
70893,2544,40.5,PA,16327,9.1,15.2,8.9,4.5,94.1,1.9,1.3,0.0,2.7,1.4,87.5,2023,Guys Mills,Crawford
45208,233,46.8,PA,16328,9.3,4.0,0.0,23.1,98.3,0.0,0.0,0.0,1.7,21.3,82.4,2023,Hydetown,Crawford
58531,27112,43.5,PA,16335,11.8,15.9,18.4,10.2,91.4,3.3,1.2,1.0,3.1,3.8,60.2,2023,Meadville,Crawford
45642,10120,46.6,PA,16354,18.0,9.6,18.2,14.1,95.2,0.9,0.8,0.7,2.4,7.1,70.8,2023,Titusville,Crawford
70833,1328,41.3,PA,16360,18.4,17.1,14.3,3.3,93.1,3.6,2.3,0.0,1.0,2.6,82.5,2023,Townville,Crawford
67976,3842,48.0,PA,16401,11.9,10.6,21.8,9.4,95.2,0.7,0.9,0.2,3.0,6.8,80.8,2023,Albion,Erie
69539,6979,40.6,PA,16403,9.5,14.0,7.6,6.1,92.9,2.3,3.0,0.1,1.7,4.3,83.4,2023,Cambridge Springs,Crawford
62130,3396,41.0,PA,16404,18.9,10.4,19.2,8.5,89.8,0.8,1.9,0.6,6.9,8.2,83.7,2023,Centerville,Crawford
65559,3412,43.3,PA,16406,14.0,9.7,28.3,8.4,95.3,0.6,2.2,0.2,1.7,5.4,80.7,2023,Conneautville,Crawford
48962,10555,42.8,PA,16407,21.2,16.9,25.4,10.8,90.8,0.3,3.9,0.3,4.7,9.0,74.9,2023,Corry,Erie
91250,1987,43.5,PA,16410,8.2,19.9,10.9,0.9,91.9,1.2,2.3,0.3,4.3,2.8,92.0,2023,Cranesville,Erie
67000,1287,43.6,PA,16411,9.2,8.9,0.0,2.0,97.4,0.0,0.4,0.0,2.2,9.3,79.4,2023,East Springfield,Erie
67659,9726,39.1,PA,16412,15.2,31.8,37.6,4.1,94.3,0.7,3.3,0.0,1.7,5.5,66.9,2023,Edinboro,Erie
105604,10251,43.2,PA,16415,4.6,24.1,28.2,3.2,92.4,0.1,1.4,2.8,3.3,5.1,92.0,2023,Fairview,Erie
80410,8400,46.9,PA,16417,6.5,23.1,22.6,4.2,96.2,0.0,1.7,0.5,1.6,5.0,76.9,2023,Girard,Erie
68088,2251,48.8,PA,16421,16.2,16.7,0.0,1.1,95.0,0.0,0.6,0.0,4.4,1.7,59.6,2023,Lake City,Erie
,79,56.7,PA,16422,49.4,32.3,,0.0,62.0,0.0,0.0,20.3,17.7,0.0,100.0,2023,Harmonsburg,Crawford
73523,3880,45.2,PA,16423,9.5,11.2,16.4,6.7,89.5,0.9,4.8,0.4,4.4,3.4,91.4,2023,Lowville/Wattsburg,Erie
56285,4328,52.0,PA,16424,10.2,11.8,21.1,4.7,94.8,0.0,2.0,0.0,3.2,3.9,82.3,2023,Linesville,Crawford
79554,3324,50.2,PA,16426,9.1,16.1,2.5,4.0,97.1,0.2,0.2,0.0,2.5,7.5,85.5,2023,McKean,Erie
58636,228,40.7,PA,16427,10.1,5.0,5.9,2.3,97.4,0.0,0.4,0.0,2.2,4.2,80.7,2023,Mill Village,Erie
77103,12508,42.0,PA,16428,10.8,15.4,9.4,7.6,90.9,0.8,3.5,0.7,4.1,5.0,76.6,2023,North East,Erie
125833,118,58.6,PA,16430,14.4,26.3,0.0,0.0,94.9,0.0,0.0,0.0,5.1,0.0,76.0,2023,Platea,Erie
73289,4935,44.8,PA,16433,8.5,15.3,4.8,7.0,95.3,1.0,1.6,1.0,1.1,2.9,84.5,2023,Saegertown,Crawford
57868,3008,27.9,PA,16434,20.2,6.0,19.4,30.4,97.2,1.1,0.7,0.1,0.9,6.8,85.9,2023,Spartansburg,Crawford
56400,1678,50.0,PA,16435,16.1,9.3,17.1,8.1,94.9,0.2,2.1,0.2,2.6,5.2,75.9,2023,Springboro,Crawford
60559,7489,47.1,PA,16438,13.7,10.9,12.3,8.1,92.5,0.0,3.7,0.5,3.3,8.8,73.9,2023,Union City,Erie
71250,741,48.6,PA,16440,8.0,18.9,9.8,2.9,88.4,1.5,0.4,0.0,9.7,6.1,83.7,2023,Venango,Crawford
78367,9485,48.0,PA,16441,7.2,13.8,26.8,2.8,96.0,0.3,2.7,0.1,0.9,5.9,86.2,2023,Waterford,Erie
69185,3091,39.8,PA,16442,7.9,15.7,14.5,2.1,97.9,0.1,0.2,0.3,1.5,5.1,89.5,2023,Wattsburg,Erie
75806,1170,38.8,PA,16443,25.8,10.1,29.3,4.5,89.9,0.8,3.0,0.0,6.3,1.4,86.9,2023,West Springfield,Erie
14579,1919,55.4,PA,16501,61.0,18.0,19.5,66.4,75.3,14.2,4.4,4.7,1.4,15.6,3.2,2023,Erie Downtown,Erie
34649,15815,32.7,PA,16502,33.0,12.5,25.4,26.1,65.6,11.1,13.3,1.9,8.1,8.3,34.1,2023,Erie West,Erie
29108,15204,32.2,PA,16503,39.7,8.8,35.0,30.0,44.8,39.5,9.9,1.8,4.0,12.4,37.4,2023,Erie East,Erie
51988,15632,37.3,PA,16504,14.8,16.9,25.4,7.9,72.6,9.8,6.4,2.6,8.6,7.8,71.0,2023,Erie South East,Erie
71370,15631,49.0,PA,16505,9.2,26.1,34.7,6.0,92.5,1.0,3.0,1.5,2.0,5.5,75.0,2023,Erie Frontier/West,Erie
84021,24190,44.0,PA,16506,7.8,22.2,27.7,6.6,88.1,2.0,1.8,4.5,3.6,2.6,69.7,2023,Erie Millcreek/West,Erie
34474,8653,29.4,PA,16507,27.0,13.5,32.4,21.3,58.2,23.8,7.8,3.3,6.9,4.8,33.1,2023,Erie Downtown,Erie
52361,15156,37.6,PA,16508,14.3,17.9,26.8,8.1,80.1,5.2,4.1,1.0,9.6,5.8,65.7,2023,Erie South Central,Erie
68880,28133,42.7,PA,16509,11.4,22.7,18.5,7.6,87.3,4.1,3.5,1.4,3.7,2.7,71.1,2023,Erie Millcreek/South,Erie
64938,25152,40.8,PA,16510,16.0,17.1,12.6,6.6,80.2,6.6,6.0,4.4,2.8,5.3,79.4,2023,Erie Harborcreek,Erie
71644,11709,38.0,PA,16511,12.8,21.3,25.1,8.8,80.0,10.1,5.8,1.5,2.6,2.2,73.7,2023,Erie Lawrence Park,Erie
,1561,19.9,PA,16563,,0.0,,,78.5,6.7,3.7,9.0,2.1,7.6,,2023,Erie Penn State Behrend,Erie
