tract_geoid,urban_tract,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,food_desert_1_10,food_desert_half_10,LILATracts_1And20,food_desert_vehicle,HUNVFlag,low_income_tract,atlas_poverty_rate,atlas_median_income,LA1and10,LAhalfand10,LA1and20,low_access_pop,LAPOP05_10,low_access_low_income_pop,LALOWI05_10,tract_code
42023960100,1,956,0,73,3.5214664737095998,0,1,0,0,0,1,23.3044365119837,47625.0,0,1,0,35.9807320404798,1109.36538813825,15.2328060271684,503.978152381504,960100
42023960200,0,1317,0,19,0.6308100929614874,0,0,0,0,0,1,7.764091078760731,59069.0,0,0,0,348.004546098045,348.004546098045,138.549271128763,138.549271128763,960200
42031160101,0,800,0,0,0.0,0,0,0,0,0,0,12.8402366863905,70208.0,1,1,0,1279.23748953207,1279.23748953207,299.042086615476,299.042086615476,160101
42031160102,1,2257,0,14,0.2765705254839984,1,1,1,1,1,1,23.0971128608924,64246.0,1,1,1,3362.69364270153,4111.23095512758,1427.85738672556,1758.68865772304,160102
42031160200,0,1366,0,1,0.0290023201856148,1,1,0,0,0,1,17.8571428571429,60117.0,1,1,0,817.674378301061,817.674378301061,397.844624745398,397.844624745398,160200
42031160300,0,1913,0,204,4.265105582270542,0,0,0,0,0,1,7.559055118110241,60329.0,0,0,0,,,,,160300
42031160400,0,1572,0,10,0.2639915522703273,0,0,0,1,1,1,11.850027367268702,53884.0,0,0,0,,,,,160400
42031160500,0,1549,0,97,2.4569402228976696,0,0,0,1,1,1,11.7984308992154,58684.0,0,0,0,,,,,160500
42031160600,1,1812,0,1446,27.407126611068996,1,1,1,1,1,1,28.4761084804133,56458.0,1,1,1,813.114854119718,4700.39735697955,253.323681422975,2226.08059368079,160600
42031160700,0,1765,0,6,0.1447178002894356,0,0,0,1,1,1,19.748610103940106,53438.0,0,0,0,,,,,160700
42031160800,0,1609,0,60,1.545993300695697,0,0,0,0,0,1,11.6420503909644,60208.0,0,0,0,,,,,160800
42031160900,0,1485,0,3,0.0806018269747447,0,0,0,0,0,1,10.2903862418946,58639.0,0,0,0,,,,,160900
42033330100,1,1981,0,350,7.073565076798706,0,0,0,0,0,0,14.4149831649832,63281.0,1,1,1,1998.97062256951,3985.18624214009,548.57603939065,1233.15190721648,330100
42033330200,1,1531,0,27,0.7894736842105263,0,1,0,0,0,1,13.325330132052802,55739.0,0,1,0,0.0808019191026688,1326.48645321652,0.0227095913141966,341.121941435616,330200
42033330300,1,1946,0,39,0.8916323731138546,0,1,0,0,0,1,18.234723569350106,56250.0,0,1,0,8.37679153680801,2071.28312026348,2.94753845781088,771.090888797655,330300
42033330400,1,2283,0,4,0.0698689956331877,0,0,0,0,0,0,4.90684375576462,68612.0,1,1,1,5591.78607966272,5724.12394615157,1376.34489890046,1406.27337499566,330400
42033330500,0,1820,0,0,0.0,1,1,0,0,0,1,20.133649493425303,58024.0,1,1,0,555.788949744092,555.788949744092,211.085035813354,211.085035813354,330500
42033330600,1,1237,0,434,13.33743085433313,1,1,1,0,0,1,13.878326996197702,60125.0,1,1,1,986.62824727624,2564.52455756604,322.641754679696,838.505754632681,330600
42033330700,0,843,0,378,16.392020815264527,0,0,0,0,0,0,14.338821030270802,64250.0,1,1,0,535.683640446254,535.683640446254,152.604899622511,152.604899622511,330700
42033330800,0,2834,0,0,0.0,0,0,0,0,1,0,16.9169169169169,60741.0,0,0,0,,,,,330800
42033330900,0,2121,0,1507,22.930614729153987,0,0,0,1,1,1,20.170031880977703,60659.0,0,0,0,,,,,330900
42033331000,0,2015,0,0,0.0,0,0,0,1,1,1,14.7572078907436,60020.0,0,0,0,,,,,331000
42033331100,1,1594,0,21,0.6327206990057246,1,1,1,1,1,1,12.9768503423541,56439.0,1,1,1,607.744074143469,2522.55150914728,55.2494615467731,870.352821571287,331100
42033331200,1,1341,0,3,0.1035911602209944,0,1,0,0,0,1,15.7766990291262,59702.0,0,1,0,37.2496666312218,917.614310939796,7.79336984828115,270.431584886857,331200
42033331300,1,1907,0,4,0.0903546419697312,0,0,0,0,0,0,11.8057117157634,67000.0,1,1,1,3879.43244819582,4316.47666933572,1456.66907914351,1605.21202672185,331300
42033331401,0,1436,0,0,0.0,0,0,0,1,1,1,14.415470260767698,53446.0,0,0,0,,,,,331401
42033331402,0,1491,0,111,3.109243697478992,0,0,0,0,0,1,17.134502923976598,48487.0,0,0,0,,,,,331402
42033331500,0,772,0,0,0.0,1,1,0,0,0,1,14.940752189593,52898.0,1,1,0,1038.51799742063,1038.51799742063,399.604076372079,399.604076372079,331500
42033331600,0,1034,0,0,0.0,0,0,0,0,0,1,18.6973859105007,55882.0,0,0,0,,,,,331600
42033331700,0,1977,0,2237,32.48620389195469,0,0,0,1,1,1,11.1832611832612,57500.0,0,0,0,,,,,331700
42033331800,0,1201,0,0,0.0,0,0,0,0,0,1,12.4374553252323,59625.0,0,0,0,,,,,331800
42033331900,0,924,0,0,0.0,1,1,0,0,0,1,19.9372759856631,45958.0,1,1,0,500.085528869262,500.085528869262,192.696580896183,192.696580896183,331900
42039110100,0,2054,0,19,0.3107621851488387,0,0,0,1,1,1,19.8776278631942,50852.0,0,0,0,221.126857632873,221.126857632873,138.249122410569,138.249122410569,110100
42039110201,0,1494,0,45,1.1603919546157817,0,0,0,0,0,0,5.456953642384111,75363.0,0,0,0,,,,,110201
42039110202,0,1396,0,1055,22.94475859069161,0,0,0,0,1,0,15.2024235747728,61118.0,0,0,0,100.897419719025,100.897419719025,32.8907136116177,32.8907136116177,110202
42039110300,0,1818,0,155,3.1504065040650406,0,0,0,1,1,1,15.1278409090909,58875.0,0,0,0,15.1952545982203,15.1952545982203,6.88977384098325,6.88977384098325,110300
42039110400,0,1228,0,0,0.0,0,0,0,0,0,0,14.586255259467,61800.0,0,0,0,,,,,110400
42039110501,0,811,0,0,0.0,0,0,0,0,0,0,5.77689243027888,68000.0,0,0,0,,,,,110501
42039110502,1,1764,0,0,0.0,0,0,0,0,0,0,10.332005312085,68478.0,1,1,1,2600.42588817889,3160.3317131219,597.83332346207,708.049407264001,110502
42039110600,0,1173,0,0,0.0,0,0,0,0,0,0,7.484188334504569,67734.0,0,0,0,,,,,110600
42039110700,0,1424,0,424,10.57356608478803,0,0,0,0,0,0,8.96493212669683,65662.0,0,0,0,,,,,110700
42039110800,0,1904,0,53,1.0488818523649317,0,0,0,0,0,0,8.71204188481675,63885.0,1,1,0,931.039296609498,931.039296609498,330.799804698957,330.799804698957,110800
42039110900,0,1186,0,0,0.0,1,1,0,0,0,1,12.1918720852765,57625.0,1,1,0,744.390646668787,744.390646668787,239.135611001258,239.135611001258,110900
42039111000,0,1005,0,0,0.0,0,0,0,0,0,0,17.050691244239598,60625.0,0,0,0,,,,,111000
42039111100,1,1334,0,347,10.673638880344509,0,1,0,0,0,1,31.272210376688,36250.0,0,1,0,125.112317294814,1147.38060564059,64.3474147557281,616.633516644477,111100
42039111200,1,988,0,66,2.8085106382978724,0,1,0,0,0,1,18.747162959600495,42465.0,0,1,0,,1145.3640255481,,568.391204714775,111200
42039111300,0,2226,0,14,0.2472624514305899,0,0,0,0,0,0,8.211143695014659,64770.0,0,0,0,,,,,111300
42039111400,1,2005,0,3,0.0627615062761506,0,0,0,0,1,0,13.5805177709522,75556.0,1,1,1,4111.62186936711,4778.57864353483,1000.17756472685,1419.16439749085,111400
42039111500,1,2339,0,48,0.9497427779976256,1,1,1,1,1,1,21.7252396166134,59503.0,1,1,1,761.794896259904,4182.11282544397,302.281847376376,1764.86926085781,111500
42039111600,1,1815,0,210,5.128205128205128,0,1,0,1,1,1,35.9978540772532,25344.0,0,1,0,275.473471172154,1948.20135270542,220.261302966624,1468.21458247473,111600
42039111700,0,1477,0,1434,30.45879354290569,0,0,0,0,0,0,12.398097826087,82826.0,0,0,0,,,,,111700
42039111800,1,2491,0,0,0.0,0,0,0,0,0,0,8.26778854947869,60417.0,1,1,1,2987.59387495514,4521.37085126219,672.568412626731,1072.31926580239,111800
42039111900,0,1311,0,0,0.0,0,0,0,1,1,1,8.65813745908956,57083.0,0,0,0,,,,,111900
42039112001,0,1110,0,2,0.0787091696182605,0,0,0,0,0,1,11.1267605633803,59167.0,0,0,0,,,,,112001
42039112002,0,675,0,0,0.0,0,0,0,0,0,1,7.709923664122139,54219.0,0,0,0,,,,,112002
42047950100,0,687,0,0,0.0,0,0,0,0,0,0,7.438596491228069,75000.0,0,0,0,0.0,0.0,0.0,0.0,950100
42047950200,0,1406,0,0,0.0,0,0,0,0,0,0,8.24742268041237,71750.0,0,0,0,36.6263272672804,36.6263272672804,11.0828943853812,11.0828943853812,950200
42047950400,1,1783,0,61,1.4958312898479649,0,1,0,1,1,1,18.5624012638231,58613.0,0,1,0,209.994663848542,2599.60446734424,15.9496306348883,848.894595788239,950400
42047950500,0,1126,0,0,0.0,0,0,0,0,0,1,13.7989778534923,57054.0,0,0,0,,,,,950500
42047950900,0,985,0,0,0.0,0,0,0,0,0,1,12.4298662063013,59491.0,0,0,0,317.046004879396,317.046004879396,67.6566426495195,67.6566426495195,950900
42047951000,0,2127,0,0,0.0,0,0,0,0,0,0,6.94949494949495,64196.0,0,0,0,0.0,0.0,0.0,0.0,951000
42047951100,1,2431,0,281,4.9567825013229845,0,0,0,0,1,0,7.09703287890938,73140.0,1,1,1,1968.70878979763,4309.99384444965,586.006959469642,1292.16009180097,951100
42047951200,0,900,0,0,0.0,0,0,0,0,0,0,4.9100631988332495,74432.0,0,0,0,,,,,951200
42047951300,1,2248,0,13,0.2455146364494806,0,0,0,0,0,0,9.39076445479239,75673.0,1,1,1,2983.6103086816,4273.24303865024,826.31899703032,1222.08417586054,951300
42049000100,1,1178,0,233,13.78698224852071,1,1,1,1,1,1,64.5641389085755,17875.0,1,1,1,1689.99999163137,1689.99999163137,1558.31169886561,1558.31169886561,000100
42049000200,1,1970,0,0,0.0,0,0,0,0,1,0,12.4206458735854,82875.0,1,1,1,619.312584882602,2733.34234927635,101.725930147571,547.678322478256,000200
42049000300,1,1605,0,664,15.757000474608448,1,1,1,1,1,1,22.4156305506217,43991.0,1,1,1,4213.99996964494,4213.99996964494,2243.19260095223,2243.19260095223,000300
