tract_code,county_fips,year,NAME,total_population,median_age,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,white_non_hispanic,black_alone,hispanic_latino,asian_alone,race_total
000200,049,2019,"Census Tract 2, Erie County, Pennsylvania",3824,51.8,92.5,2.5,2.6,1.9,0.5,3536,96,99,73,3824
000400,049,2019,"Census Tract 4, Erie County, Pennsylvania",2380,32.8,54.0,20.0,3.7,8.6,13.7,1285,475,88,204,2380
001900,049,2019,"Census Tract 19, Erie County, Pennsylvania",1734,49.1,74.4,18.9,3.7,2.1,0.9,1290,327,65,37,1734
002000,049,2019,"Census Tract 20, Erie County, Pennsylvania",3519,32.3,67.6,5.8,19.4,1.3,5.9,2379,204,683,47,3519
002800,049,2019,"Census Tract 28, Erie County, Pennsylvania",6522,29.4,91.4,3.7,1.2,3.1,0.6,5961,243,76,202,6522
010103,049,2019,"Census Tract 101.03, Erie County, Pennsylvania",1914,43.5,97.1,0.0,2.0,0.0,0.9,1859,0,39,0,1914
010107,049,2019,"Census Tract 101.07, Erie County, Pennsylvania",1539,43.9,94.3,1.6,2.6,0.8,0.7,1452,24,40,12,1539
010800,049,2019,"Census Tract 108, Erie County, Pennsylvania",3484,43.3,96.1,0.4,2.3,0.8,0.4,3348,13,79,29,3484
011102,049,2019,"Census Tract 111.02, Erie County, Pennsylvania",3042,46.5,94.3,1.6,0.2,2.8,1.1,2870,48,5,85,3042
012100,049,2019,"Census Tract 121, Erie County, Pennsylvania",7304,41.8,95.6,0.1,1.8,0.4,2.1,6984,7,132,29,7304
011400,049,2019,"Census Tract 114, Erie County, Pennsylvania",3813,37.5,93.5,1.2,4.1,0.3,0.9,3565,44,155,10,3813
011900,049,2019,"Census Tract 119, Erie County, Pennsylvania",6332,42.4,91.1,4.6,3.0,0.2,1.1,5766,290,189,15,6332
012202,049,2019,"Census Tract 122.02, Erie County, Pennsylvania",5794,23.4,89.3,4.4,1.8,2.3,2.2,5172,256,104,132,5794
000100,049,2019,"Census Tract 1, Erie County, Pennsylvania",1365,59.2,57.2,34.9,5.1,0.3,2.5,781,476,70,4,1365
000500,049,2019,"Census Tract 5, Erie County, Pennsylvania",3353,33.6,53.0,21.7,20.5,2.9,1.9,1778,728,688,97,3353
000900,049,2019,"Census Tract 9, Erie County, Pennsylvania",4934,27.0,75.6,10.4,6.8,2.7,4.5,3732,515,334,134,4934
001000,049,2019,"Census Tract 10, Erie County, Pennsylvania",3332,30.3,66.8,14.4,7.9,0.4,10.5,2226,479,262,12,3332
001800,049,2019,"Census Tract 18, Erie County, Pennsylvania",1966,25.7,31.7,48.2,11.1,1.4,7.6,623,948,219,28,1966
010104,049,2019,"Census Tract 101.04, Erie County, Pennsylvania",2310,46.3,95.9,1.1,0.9,0.5,1.6,2215,26,21,12,2310
011202,049,2019,"Census Tract 112.02, Erie County, Pennsylvania",7033,48.3,96.0,0.2,1.5,0.2,2.1,6754,15,105,12,7033
011505,049,2019,"Census Tract 115.05, Erie County, Pennsylvania",2598,50.7,95.4,0.7,2.7,0.0,1.2,2479,19,69,0,2598
011702,049,2019,"Census Tract 117.02, Erie County, Pennsylvania",5261,43.5,98.4,0.8,0.1,0.0,0.7,5178,42,3,0,5261
000300,049,2019,"Census Tract 3, Erie County, Pennsylvania",3374,32.9,78.0,13.0,3.5,2.2,3.3,2633,438,119,73,3374
