ZCTA5CE20,year,snap_participation_rate
01550,2020,32.0
01560,2020,3.5
01561,2020,0.0
01562,2020,9.0
01564,2020,6.0
01566,2020,8.0
01568,2020,2.2
01569,2020,5.7
01570,2020,13.8
01571,2020,11.7
01581,2020,4.2
01583,2020,5.9
01585,2020,5.3
01588,2020,10.4
01590,2020,6.3
01602,2020,12.0
01603,2020,29.1
01604,2020,18.2
01605,2020,33.4
01606,2020,11.8
01607,2020,26.8
01608,2020,40.0
01609,2020,26.8
01610,2020,38.5
01611,2020,3.5
01612,2020,2.6
01701,2020,5.3
01702,2020,15.7
01718,2020,0.0
01719,2020,2.7
01720,2020,5.9
01721,2020,5.5
01730,2020,1.5
01731,2020,3.6
01740,2020,4.9
01741,2020,0.6
01742,2020,2.8
01745,2020,0.0
01746,2020,3.9
01747,2020,5.1
01748,2020,3.0
01749,2020,5.8
01752,2020,9.9
01754,2020,4.4
01756,2020,3.2
01757,2020,7.0
01760,2020,3.4
01770,2020,1.7
01772,2020,3.5
01773,2020,8.0
01775,2020,1.0
01776,2020,2.4
01778,2020,3.5
01801,2020,6.6
01803,2020,3.9
01810,2020,3.6
01821,2020,4.5
01824,2020,4.2
01826,2020,9.8
01827,2020,1.9
01830,2020,19.5
01832,2020,22.4
01833,2020,3.0
01834,2020,4.7
01835,2020,9.9
01840,2020,59.4
01841,2020,43.2
01843,2020,31.5
01844,2020,13.9
01845,2020,6.5
01850,2020,21.0
01851,2020,22.3
01852,2020,23.2
01854,2020,24.6
01860,2020,10.8
01862,2020,4.5
01863,2020,7.2
01864,2020,4.7
01867,2020,1.7
01876,2020,3.5
01879,2020,8.8
01880,2020,4.5
01886,2020,4.1
01887,2020,5.9
01890,2020,1.3
01901,2020,35.3
01902,2020,32.6
01904,2020,11.9
01905,2020,25.0
01906,2020,10.1
01907,2020,5.6
01908,2020,3.5
01913,2020,9.3
01915,2020,12.0
01921,2020,0.4
01922,2020,5.1
01923,2020,6.6
01929,2020,9.6
01930,2020,11.4
01937,2020,
01938,2020,5.6
01940,2020,4.1
01944,2020,0.5
01945,2020,5.6
01949,2020,6.9
01950,2020,6.2
01951,2020,0.8
01952,2020,8.9
01960,2020,11.5
01966,2020,5.8
01969,2020,4.9
01970,2020,16.5
01982,2020,4.3
01983,2020,3.8
01984,2020,2.9
01985,2020,0.0
02019,2020,10.7
02021,2020,7.0
02025,2020,3.0
02026,2020,7.6
02030,2020,0.3
02032,2020,3.7
02035,2020,6.8
02038,2020,4.6
02043,2020,3.4
02045,2020,8.2
02047,2020,0.0
02048,2020,6.8
02050,2020,4.6
02052,2020,1.8
02053,2020,4.6
02054,2020,3.5
02056,2020,1.8
02061,2020,2.6
02062,2020,8.2
02066,2020,4.3
02067,2020,3.8
02071,2020,6.4
02072,2020,9.2
02081,2020,4.5
02090,2020,3.2
02093,2020,3.8
02108,2020,0.9
02109,2020,3.2
02110,2020,4.9
02111,2020,24.5
02113,2020,3.0
02114,2020,7.6
02115,2020,18.1
02116,2020,9.3
02118,2020,23.5
02119,2020,35.5
02120,2020,27.0
02121,2020,36.3
02122,2020,20.4
02124,2020,29.9
02125,2020,24.4
02126,2020,32.3
02127,2020,11.7
02128,2020,17.9
02129,2020,15.3
02130,2020,11.4
02131,2020,14.9
02132,2020,8.0
02134,2020,8.2
02135,2020,11.9
02136,2020,20.5
02138,2020,3.3
02139,2020,9.7
02140,2020,10.7
02141,2020,8.5
02142,2020,4.9
02143,2020,7.5
02144,2020,8.8
02145,2020,10.3
02148,2020,13.1
02149,2020,17.1
02150,2020,20.9
02151,2020,16.0
02152,2020,9.3
02155,2020,7.6
02163,2020,0.0
02169,2020,12.4
02170,2020,9.3
02171,2020,7.1
02176,2020,4.7
02180,2020,5.9
02184,2020,7.9
02186,2020,4.9
02188,2020,7.3
02189,2020,13.7
02190,2020,5.6
02191,2020,6.7
02199,2020,0.0
02203,2020,54.2
02210,2020,2.9
02215,2020,7.1
02301,2020,33.8
02302,2020,21.8
02322,2020,11.6
02324,2020,5.7
02330,2020,11.6
02332,2020,1.8
02333,2020,11.0
02338,2020,5.3
02339,2020,4.3
02341,2020,2.7
02343,2020,12.2
02346,2020,10.4
02347,2020,9.1
02351,2020,11.0
02356,2020,6.5
02357,2020,0.0
02359,2020,1.8
02360,2020,7.0
02364,2020,4.8
02366,2020,
02367,2020,9.5
02368,2020,18.7
02370,2020,12.6
02375,2020,5.2
02379,2020,4.2
02382,2020,7.3
02420,2020,2.2
02421,2020,3.3
02445,2020,6.2
02446,2020,8.9
02451,2020,5.2
02452,2020,6.8
02453,2020,6.9
02457,2020,0.0
02458,2020,5.1
02459,2020,2.7
02460,2020,7.8
02461,2020,2.2
02462,2020,15.9
02464,2020,7.0
02465,2020,2.0
02466,2020,11.8
02467,2020,1.9
02468,2020,0.7
02472,2020,5.1
02474,2020,6.7
02476,2020,6.6
02478,2020,3.4
02481,2020,3.2
02482,2020,2.1
02492,2020,2.6
02493,2020,2.2
02494,2020,5.7
02532,2020,9.0
02534,2020,8.9
02535,2020,4.7
02536,2020,10.0
02537,2020,7.4
02538,2020,13.9
02539,2020,4.1
02540,2020,10.1
02542,2020,0.3
02543,2020,2.1
02553,2020,0.0
02554,2020,3.7
02556,2020,1.5
02557,2020,5.8
02558,2020,19.3
02559,2020,9.0
02561,2020,0.0
02562,2020,3.6
02563,2020,3.0
02564,2020,0.0
02568,2020,7.2
02571,2020,16.8
02575,2020,2.4
02576,2020,16.1
02584,2020,
02601,2020,21.5
02630,2020,1.7
02631,2020,5.6
02632,2020,5.3
02633,2020,6.8
02635,2020,2.0
02637,2020,0.0
02638,2020,2.1
02639,2020,10.8
02641,2020,0.0
02642,2020,2.5
02643,2020,
02644,2020,7.6
02645,2020,6.5
02646,2020,8.9
02647,2020,0.0
02648,2020,2.6
02649,2020,6.3
02650,2020,9.0
02651,2020,0.0
02652,2020,0.0
02653,2020,7.2
02655,2020,0.0
02657,2020,9.3
02659,2020,2.0
02660,2020,15.0
02663,2020,20.4
02664,2020,7.8
02666,2020,0.0
02667,2020,5.9
02668,2020,0.4
02669,2020,0.0
02670,2020,6.2
02671,2020,1.9
02672,2020,0.0
02673,2020,7.5
02675,2020,7.1
02702,2020,8.6
02703,2020,12.8
02713,2020,0.0
02715,2020,7.5
02717,2020,5.8
02718,2020,16.8
02719,2020,9.8
02720,2020,22.6
02721,2020,34.2
02723,2020,29.5
02724,2020,30.0
02725,2020,11.1
02726,2020,6.7
02738,2020,5.0
02739,2020,3.9
02740,2020,27.1
02743,2020,9.1
02744,2020,31.8
02745,2020,18.0
02746,2020,34.9
02747,2020,11.6
02748,2020,10.8
02760,2020,9.1
02762,2020,5.6
02763,2020,1.7
02764,2020,11.3
02766,2020,6.5
02767,2020,9.0
02769,2020,2.1
02770,2020,8.0
02771,2020,5.8
02777,2020,6.6
02779,2020,5.6
02780,2020,25.4
02790,2020,9.0
02791,2020,0.0
02802,2020,20.8
02804,2020,2.2
02806,2020,4.0
02807,2020,5.8
02808,2020,20.4
02809,2020,12.2
02812,2020,0.0
02813,2020,5.9
02814,2020,9.5
02815,2020,0.0
02816,2020,12.3
02817,2020,9.4
02818,2020,5.5
02822,2020,11.3
02825,2020,8.6
02826,2020,7.5
02827,2020,6.8
02828,2020,3.8
02830,2020,4.1
02831,2020,4.2
02832,2020,13.4
02833,2020,21.4
02835,2020,5.9
02836,2020,0.0
02837,2020,6.3
02838,2020,17.5
02839,2020,9.5
02840,2020,15.2
02841,2020,
02842,2020,7.6
02852,2020,12.3
02857,2020,9.6
02858,2020,54.7
02859,2020,11.2
02860,2020,27.9
02861,2020,12.9
02863,2020,37.8
02864,2020,9.8
02865,2020,7.0
02871,2020,5.4
02872,2020,0.0
02873,2020,0.0
02874,2020,0.7
02875,2020,0.0
02876,2020,7.5
02878,2020,6.8
02879,2020,8.6
02881,2020,1.5
02882,2020,6.6
02885,2020,10.1
02886,2020,14.5
02888,2020,12.4
02889,2020,12.8
02891,2020,5.9
02892,2020,3.0
02893,2020,18.8
02894,2020,9.8
02895,2020,28.4
02896,2020,5.5
02898,2020,6.2
02903,2020,23.4
02904,2020,22.4
02905,2020,30.2
02906,2020,4.9
02907,2020,47.6
02908,2020,31.9
02909,2020,38.8
02910,2020,11.0
02911,2020,12.2
02912,2020,
02914,2020,19.6
02915,2020,11.1
02916,2020,4.7
02917,2020,11.2
02919,2020,13.8
02920,2020,13.2
02921,2020,6.1
