tract_code,year,food_insecurity_rate,food_insecure_persons,unemployment_rate,percent_black,percent_hispanic,homeownership_rate,disability_rate
111900,2021,8.6,300.0,4.0,1.4,0.2,85.5,16.2
111900,2022,12.6,420.0,3.8,1.1,0.3,85.8,15.7
111900,2023,13.5,470.0,3.5,1.6,0.4,86.1,15.8
112001,2020,7.9,190.0,3.5,0.2,1.8,87.7,21.6
112001,2021,8.3,200.0,4.7,0.3,2.2,86.0,21.7
112001,2022,12.2,300.0,4.1,0.5,2.2,87.5,22.1
112001,2023,13.0,320.0,2.8,0.6,1.9,88.1,21.5
112002,2020,9.1,120.0,7.8,0.6,0.5,94.5,21.8
112002,2021,8.5,110.0,2.7,0.2,2.5,92.8,24.2
112002,2022,11.4,150.0,1.2,0.3,1.9,89.6,22.3
112002,2023,11.3,150.0,0.4,1.6,2.6,89.3,19.6
000100,2020,47.3,600.0,31.0,28.0,7.4,64.7,48.8
000100,2021,46.1,610.0,25.1,24.9,8.6,0.8,41.3
000100,2022,44.7,610.0,22.6,21.4,8.2,1.6,40.3
000100,2023,41.4,630.0,11.9,19.7,7.5,3.5,42.8
000200,2020,7.8,290.0,3.3,2.7,3.5,74.1,18.3
000200,2021,9.3,330.0,4.8,1.7,3.8,72.3,19.3
000200,2022,12.4,440.0,3.4,1.8,4.3,70.6,18.7
000200,2023,12.5,450.0,3.5,2.6,3.3,70.6,18.4
000300,2020,17.7,560.0,7.6,27.1,4.9,25.5,20.9
000300,2021,20.8,680.0,9.9,26.2,4.8,26.9,24.5
000300,2022,20.1,740.0,6.1,30.2,5.3,30.7,19.0
000300,2023,23.6,850.0,8.5,37.1,7.7,24.5,15.9
000400,2020,23.9,540.0,14.3,25.3,8.9,34.0,33.7
000400,2021,14.2,300.0,1.6,36.6,9.4,36.1,28.5
000400,2022,20.8,410.0,1.6,28.4,11.3,48.4,29.3
000400,2023,22.8,420.0,4.9,29.3,11.4,48.3,26.5
000500,2020,22.5,770.0,11.0,43.9,18.0,38.5,23.3
000500,2021,17.2,560.0,7.0,47.0,15.8,36.9,20.5
000500,2022,17.3,560.0,0.3,41.3,12.7,40.2,19.2
000500,2023,17.8,570.0,1.5,54.2,8.7,40.7,12.6
000600,2020,19.6,620.0,10.6,28.4,17.9,38.4,12.2
000600,2021,10.2,330.0,0.9,27.1,14.5,43.5,12.5
000600,2022,17.3,580.0,1.9,21.3,24.4,42.5,12.7
000600,2023,15.6,510.0,2.6,25.9,17.8,55.9,11.4
000700,2020,19.9,400.0,8.1,34.0,14.2,44.9,24.9
000700,2021,12.9,260.0,3.2,31.5,15.6,43.7,19.5
000700,2022,19.8,440.0,3.3,30.5,15.2,42.8,22.0
000700,2023,23.5,550.0,3.8,23.8,13.8,34.9,17.3
000800,2020,27.2,530.0,11.7,33.5,18.6,32.1,28.2
000800,2021,28.7,550.0,13.0,36.0,16.6,33.0,26.5
000800,2022,25.4,560.0,9.4,44.9,10.5,36.4,20.8
