name,address,county,state,zip,lat,lon,category,tier,store_type_raw,authorization_date,geocode_source
Sheetz 58,1281 E Main St,CLARION,PA,16214,41.20894,-79.36784,Convenience & Fuel,convenience,Convenience Store,3/28/1979,usda_historical_2005_2025
Sheetz 885,265 Holiday Inn Rd,CLARION,PA,16214,41.19438,-79.39133,Convenience & Fuel,convenience,Convenience Store,6/3/2025,usda_historical_2005_2025
The Sharp Shopper,100 Knox Rd,CLARION,PA,16232,41.21572,-79.53883,Full-Service,standard,Super Store,1/3/2022,usda_historical_2005_2025
Tom s Riverside 773,632 Broad St,CLARION,PA,16242,41.00249,-79.32522,Full-Service,standard,Super Store,4/1/1971,usda_historical_2005_2025
TOM'S RIVERSIDE #775,8868 Route 338,CLARION,PA,16232,41.22951,-79.52847,Full-Service,standard,Supermarket,5/26/1977,usda_historical_2005_2025
TOM'S RIVERSIDE #789,562 Main St,CLARION,PA,16248,41.0419,-79.50269,Full-Service,standard,Large Grocery Store,9/14/1983,usda_historical_2005_2025
University Korner,800 E Main St,CLARION,PA,16214,41.21243,-79.37984,Convenience & Fuel,convenience,Convenience Store,11/16/2016,usda_historical_2005_2025
University Korner N/A,1626 Bald Eagle St,CLARION,PA,16255,41.10819,-79.48985,Convenience & Fuel,convenience,Convenience Store,3/9/2020,usda_historical_2005_2025
University Korner N/A,160 E State St,CLARION,PA,16232,41.23486,-79.52827,Convenience & Fuel,convenience,Convenience Store,3/19/2020,usda_historical_2005_2025
University Korner - Rimersburg N/A,528 Main St,CLARION,PA,16248,41.04146,-79.50304,Convenience & Fuel,convenience,Convenience Store,3/9/2020,usda_historical_2005_2025
Walmart Supercenter 2540,63 Perkins Rd,CLARION,PA,16214,41.18999,-79.39488,Full-Service,standard,Super Store,10/15/1997,usda_historical_2005_2025
ADLERS MKT,1184 Philipsburg Bigler Hwy,CLEARFIELD,PA,16866,40.90517,-78.23486,Full-Service,specialty,Meat/Poultry Specialty,4/1/1971,usda_historical_2005_2025
ALDI 60085 60085,5700 Shaffer Rd,CLEARFIELD,PA,15801,41.12346,-78.72704,Full-Service,standard,Supermarket,12/10/2008,usda_historical_2005_2025
ALETTA'S FARM MARKET,4191 Curwensville Grampian Hwy,CLEARFIELD,PA,16833,40.97673,-78.54981,Full-Service,specialty,Small Grocery Store,9/27/1989,usda_historical_2005_2025
Amish Farmers Market,8908 Clearfield Curwensville Hwy,CLEARFIELD,PA,16830,40.98824,-78.47414,Food & Grocery,farmers_market,Farmers' Market,7/14/2023,usda_historical_2005_2025
BENTON'S MARKET,1272 MARKET STREET,CLEARFIELD,PA,16845,41.12062,-78.11486,Convenience & Fuel,convenience,Convenience Store,9/24/1986,usda_historical_2005_2025
Calliari's Bakery,318 Dubois St,CLEARFIELD,PA,15801,41.12475,-78.76524,Full-Service,specialty,Combination Grocery/Other,12/6/2013,usda_historical_2005_2025
City Market,308 E Market St,CLEARFIELD,PA,16830,41.02244,-78.43592,Convenience & Fuel,convenience,Convenience Store,9/9/2024,usda_historical_2005_2025
Country Butcher Inc.,135 Race St,CLEARFIELD,PA,16830,41.03161,-78.44048,Full-Service,specialty,Meat/Poultry Specialty,7/25/2023,usda_historical_2005_2025
Crick General Store,5789 Glen Hope Blvd,CLEARFIELD,PA,16645,40.79782,-78.50017,Convenience & Fuel,convenience,Convenience Store,11/2/2016,usda_historical_2005_2025
CVS 5709,405 W Dubois Ave,CLEARFIELD,PA,15801,41.12873,-78.76326,Full-Service,specialty,Combination Grocery/Other,1/28/2011,usda_historical_2005_2025
CVS Pharmacy 1919,815 N Front St,CLEARFIELD,PA,16866,40.90215,-78.22947,Full-Service,specialty,Combination Grocery/Other,3/25/2010,usda_historical_2005_2025
CVS Pharmacy 1685,3035 Park Pl,CLEARFIELD,PA,16830,41.02684,-78.43716,Full-Service,specialty,Combination Grocery/Other,2/21/2012,usda_historical_2005_2025
D & G Groceries,5806 Colonel Drake Hwy,CLEARFIELD,PA,15757,40.88742,-78.75213,Convenience & Fuel,convenience,Convenience Store,12/10/2020,usda_historical_2005_2025
DOLLAR GENERAL 3525,705 McAteer St,CLEARFIELD,PA,16651,40.82515,-78.35413,Full-Service,specialty,Combination Grocery/Other,6/29/2004,usda_historical_2005_2025
DOLLAR GENERAL 4123,1677 Dorsey Ave,CLEARFIELD,PA,16656,40.77293,-78.55001,Full-Service,specialty,Combination Grocery/Other,6/29/2004,usda_historical_2005_2025
DOLLAR GENERAL 7737,1120 Bigler Ave,CLEARFIELD,PA,16830,41.02734,-78.42276,Full-Service,specialty,Combination Grocery/Other,6/29/2004,usda_historical_2005_2025
DOLLAR GENERAL 4935,500 State St,CLEARFIELD,PA,16833,40.9757,-78.52748,Full-Service,specialty,Combination Grocery/Other,6/29/2004,usda_historical_2005_2025
Dollar General 9356,1002 S Brady St,CLEARFIELD,PA,15801,41.1054,-78.7713,Full-Service,specialty,Combination Grocery/Other,2/7/2005,usda_historical_2005_2025
