stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,daily_visits,first_service,last_service
825,825,Parade St at E 20th St,,42.1200447083,-80.068451,,,0,,0,14,5:53 AM,4:53 PM
826,826,Parade St at E 21st St,,42.1192512512,-80.067924,,,0,,0,14,5:54 AM,4:54 PM
827,827,Parade St at E 22nd St,,42.1184387207,-80.06736,,,0,,0,14,5:54 AM,4:54 PM
828,828,Parade St at E 23rd St,,42.1176223755,-80.066833,,,0,,0,14,5:54 AM,4:54 PM
829,829,Parade St at E 24th St,,42.1168136597,-80.066322,,,0,,0,14,5:54 AM,4:54 PM
83,83,State St at E 26th St,,42.1118164062,-80.073318,,,0,,0,39,9:08 AM,10:47 PM
830,830,Parade St at E 25th St,,42.1159934998,-80.06575,,,0,,0,14,5:55 AM,4:55 PM
831,831,Parade St at E 27th St,,42.1142349243,-80.064529,,,0,,0,38,4:45 AM,8:17 PM
832,832,Parade St at E 28th St,,42.1134529114,-80.064003,,,0,,0,26,4:45 AM,6:34 PM
833,833,Old French Rd at E 30th St,,42.1115379333,-80.063553,,,0,,0,26,4:46 AM,6:35 PM
834,834,Old French Rd at E 31st St,,42.110584259,-80.0634,,,0,,0,26,4:46 AM,6:35 PM
835,835,Old French Rd at E 32nd St,,42.1095695496,-80.063148,,,0,,0,26,4:46 AM,6:35 PM
836,836,Old French Rd at E 33rd St,,42.108669281,-80.062935,,,0,,0,26,4:46 AM,6:35 PM
837,837,Old French Rd at E 34th St,,42.1072387695,-80.062599,,,0,,0,26,4:47 AM,6:36 PM
838,838,Old French Rd at E 35th St,,42.1064758301,-80.062416,,,0,,0,14,5:58 AM,4:58 PM
839,839,Old French Rd at E 38th St,,42.1042137146,-80.061882,,,0,,0,14,5:59 AM,4:59 PM
84,84,W 10th St at Liberty St,,42.119392395,-80.099556,,,0,,0,58,5:00 AM,11:25 PM
840,840,Old French Rd at VA Hospital,,42.1017112732,-80.061378,,,0,,0,14,5:59 AM,4:59 PM
841,841,Old French Rd at E 41st St,,42.1002082825,-80.060936,,,0,,0,53,5:59 AM,10:19 PM
842,842,Old French Rd at E 42nd St,,42.0986366272,-80.060471,,,0,,0,14,6:00 AM,5:00 PM
843,843,Old French Rd at E 41st St,,42.1000938416,-80.060715,,,0,,0,53,6:31 AM,10:42 PM
844,844,Old French Rd at E 39th St,,42.1023597717,-80.06134,,,0,,0,14,6:31 AM,5:43 PM
845,845,Old French Rd at E 38th St,,42.1039962769,-80.061661,,,0,,0,14,6:32 AM,5:44 PM
846,846,E 38th St at Sunset,,42.104675293,-80.059921,,,0,,0,25,6:32 AM,9:02 PM
847,847,E 38th St at ParadeIB,,42.105178833,-80.05854,,,0,,0,25,6:32 AM,9:03 PM
848,848,E 38th St opp Wallace St IB,,42.1060523987,-80.05619,,,0,,0,25,6:33 AM,9:03 PM
849,849,E 38 St at Briggs Ave,,42.1073684692,-80.052559,,,0,,0,25,6:33 AM,9:03 PM
85,85,W 10th St at Plum St,,42.1188697815,-80.100983,,,0,,0,58,5:01 AM,11:26 PM
850,850,E 38th St at Lewis Ave,,42.1079063416,-80.051064,,,0,,0,25,6:34 AM,9:03 PM
851,851,E 38th St at Pine Ave,,42.108379364,-80.049797,,,0,,0,25,6:34 AM,9:04 PM
852,852,E 38th St at Perry St,,42.1096000671,-80.046478,,,0,,0,25,6:34 AM,9:04 PM
853,853,East Ave at E 37th St,,42.1111335754,-80.044891,,,0,,0,14,6:35 AM,5:47 PM
854,854,East Ave at E 36th St,,42.1118507385,-80.045364,,,0,,0,14,6:35 AM,5:47 PM
855,855,East Ave at E 35th St,,42.1125640869,-80.045837,,,0,,0,14,6:35 AM,5:47 PM
856,856,East Ave at E 34th St,,42.1132736206,-80.046295,,,0,,0,14,6:36 AM,5:48 PM
857,857,East Ave at Perry St,,42.1127662659,-80.049324,,,0,,0,14,6:36 AM,5:48 PM
858,858,E 34th St at Wayne St,,42.1119422913,-80.051559,,,0,,0,14,6:37 AM,5:49 PM
859,859,E 34th St at Reed St,,42.1111106873,-80.053787,,,0,,0,14,6:37 AM,5:49 PM
86,86,W 10th St at at Cascade St,,42.1180152893,-80.103355,,,0,,0,58,5:01 AM,11:26 PM
860,860,E 34th St at Pine Ave,,42.1103553772,-80.055855,,,0,,0,14,6:37 AM,5:49 PM
861,861,Pine Ave at E 32nd St,,42.1112251282,-80.058937,,,0,,0,26,4:50 AM,6:39 PM
