geoid,county,year,NAME,total_households,under_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus
42039110700,Crawford,2021,"Census Tract 1107, Crawford County, Pennsylvania",1382,36,38,47,40,40,88,53,164,114,98,163,184,149,70,55,43
42039110700,Crawford,2022,Census Tract 1107; Crawford County; Pennsylvania,1349,36,29,39,29,37,45,59,53,182,124,164,184,122,131,54,61
42039110700,Crawford,2023,Census Tract 1107; Crawford County; Pennsylvania,1335,34,25,26,34,18,30,51,55,123,201,161,218,112,121,68,58
42039110800,Crawford,2019,"Census Tract 1108, Crawford County, Pennsylvania",1874,73,73,102,82,77,104,107,92,127,156,186,330,171,90,72,32
42039110800,Crawford,2020,"Census Tract 1108, Crawford County, Pennsylvania",1818,63,77,82,89,67,84,97,72,111,156,187,327,182,93,95,36
42039110800,Crawford,2021,"Census Tract 1108, Crawford County, Pennsylvania",1792,49,93,87,57,73,82,76,80,82,155,176,321,193,76,129,63
42039110800,Crawford,2022,Census Tract 1108; Crawford County; Pennsylvania,1842,65,79,66,61,58,73,74,70,89,200,154,287,205,123,161,77
42039110800,Crawford,2023,Census Tract 1108; Crawford County; Pennsylvania,1871,78,87,46,52,65,57,64,56,84,188,176,301,208,142,134,133
42039110900,Crawford,2019,"Census Tract 1109, Crawford County, Pennsylvania",1262,54,80,78,86,105,68,58,72,61,79,199,164,69,30,47,12
42039110900,Crawford,2020,"Census Tract 1109, Crawford County, Pennsylvania",1321,39,64,66,68,91,118,55,54,67,69,187,268,77,20,55,23
42039110900,Crawford,2021,"Census Tract 1109, Crawford County, Pennsylvania",1167,46,40,61,75,84,88,39,56,31,97,151,240,52,56,37,14
42039110900,Crawford,2022,Census Tract 1109; Crawford County; Pennsylvania,1169,40,40,44,55,81,61,56,27,63,84,128,182,154,59,68,27
42039110900,Crawford,2023,Census Tract 1109; Crawford County; Pennsylvania,1171,51,27,24,47,62,44,74,30,53,97,160,168,155,84,59,36
42039111000,Crawford,2019,"Census Tract 1110, Crawford County, Pennsylvania",1115,83,23,50,66,86,81,71,53,65,103,126,167,89,17,22,13
42039111000,Crawford,2020,"Census Tract 1110, Crawford County, Pennsylvania",1161,104,35,57,60,62,104,79,57,58,82,152,194,80,6,18,13
42039111000,Crawford,2021,"Census Tract 1110, Crawford County, Pennsylvania",1074,85,26,64,67,74,73,62,32,62,92,127,132,107,18,24,29
42039111000,Crawford,2022,Census Tract 1110; Crawford County; Pennsylvania,1028,48,33,49,70,55,86,44,59,28,101,122,110,124,48,14,37
42039111000,Crawford,2023,Census Tract 1110; Crawford County; Pennsylvania,1008,47,38,41,73,28,57,81,52,38,88,136,92,127,46,27,37
42039111100,Crawford,2019,"Census Tract 1111, Crawford County, Pennsylvania",1281,180,143,109,83,83,74,90,61,92,53,150,83,57,13,0,10
42039111100,Crawford,2020,"Census Tract 1111, Crawford County, Pennsylvania",1352,219,146,112,121,42,44,85,44,73,38,190,133,79,17,0,9
42039111100,Crawford,2021,"Census Tract 1111, Crawford County, Pennsylvania",1411,160,237,108,195,71,40,111,30,41,23,202,91,68,26,0,8
42039111100,Crawford,2022,Census Tract 1111; Crawford County; Pennsylvania,1445,66,294,149,211,65,60,49,122,23,67,81,148,50,54,6,0
42039111100,Crawford,2023,Census Tract 1111; Crawford County; Pennsylvania,1463,65,240,181,261,49,91,53,83,22,86,57,127,62,52,25,9
42039111200,Crawford,2019,"Census Tract 1112, Crawford County, Pennsylvania",1035,80,45,71,107,75,88,48,75,35,85,85,128,31,24,38,20
42039111200,Crawford,2020,"Census Tract 1112, Crawford County, Pennsylvania",856,73,28,22,71,67,76,69,44,30,95,67,121,24,28,25,16
42039111200,Crawford,2021,"Census Tract 1112, Crawford County, Pennsylvania",903,66,35,29,64,59,53,79,73,39,102,107,110,14,42,31,0
42039111200,Crawford,2022,Census Tract 1112; Crawford County; Pennsylvania,895,40,92,53,24,47,45,59,59,60,53,128,98,50,45,37,5
42039111200,Crawford,2023,Census Tract 1112; Crawford County; Pennsylvania,932,36,79,59,29,39,55,34,46,70,82,145,129,33,32,43,21
42039111300,Crawford,2019,"Census Tract 1113, Crawford County, Pennsylvania",2206,54,70,90,125,113,108,129,87,101,217,340,345,232,114,52,29
42039111300,Crawford,2020,"Census Tract 1113, Crawford County, Pennsylvania",2255,60,52,68,113,132,184,129,78,116,226,295,393,235,97,47,30
42039111300,Crawford,2021,"Census Tract 1113, Crawford County, Pennsylvania",2119,53,40,54,90,104,185,123,76,71,220,277,355,228,139,66,38
42039111300,Crawford,2022,Census Tract 1113; Crawford County; Pennsylvania,2169,55,38,57,63,104,148,161,73,75,220,242,378,251,123,131,50
42039111300,Crawford,2023,Census Tract 1113; Crawford County; Pennsylvania,2227,64,44,72,79,85,137,193,86,71,157,248,375,239,150,129,98
42039111400,Crawford,2019,"Census Tract 1114, Crawford County, Pennsylvania",1951,47,76,58,180,89,0,155,69,93,201,147,397,133,134,96,76
42039111400,Crawford,2020,"Census Tract 1114, Crawford County, Pennsylvania",2079,52,70,60,280,98,13,101,177,68,96,200,360,232,133,64,75
42039111400,Crawford,2021,"Census Tract 1114, Crawford County, Pennsylvania",1943,36,65,57,179,161,17,71,15,139,122,99,392,274,96,74,146
42039111400,Crawford,2022,Census Tract 1114; Crawford County; Pennsylvania,1967,41,60,36,178,135,37,36,83,24,190,139,415,185,156,136,116
42039111400,Crawford,2023,Census Tract 1114; Crawford County; Pennsylvania,1999,75,40,73,28,222,59,33,58,83,194,183,397,177,149,113,115
42039111500,Crawford,2019,"Census Tract 1115, Crawford County, Pennsylvania",2367,208,223,147,230,146,126,72,107,74,149,210,380,107,88,71,29
42039111500,Crawford,2020,"Census Tract 1115, Crawford County, Pennsylvania",2335,136,169,161,156,91,181,83,144,92,195,173,352,203,81,88,30
42039111500,Crawford,2021,"Census Tract 1115, Crawford County, Pennsylvania",2178,221,193,127,175,78,143,58,112,62,198,170,286,163,75,57,60
42039111500,Crawford,2022,Census Tract 1115; Crawford County; Pennsylvania,2144,146,138,110,134,200,112,54,73,123,207,202,175,254,42,107,67
42039111500,Crawford,2023,Census Tract 1115; Crawford County; Pennsylvania,2059,56,182,182,137,177,125,112,67,44,276,184,148,161,92,63,53
42039111600,Crawford,2019,"Census Tract 1116, Crawford County, Pennsylvania",1842,347,223,301,121,122,87,114,107,102,120,61,69,60,0,0,8
42039111600,Crawford,2020,"Census Tract 1116, Crawford County, Pennsylvania",1741,320,216,228,162,100,138,79,108,126,90,71,63,24,0,7,9
