geoid,county,year,NAME,total_households,under_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus
42049001500,Erie,2020,"Census Tract 15, Erie County, Pennsylvania",1058,196,84,86,185,29,109,52,98,109,35,31,27,9,1,0,7
42049001500,Erie,2021,"Census Tract 15, Erie County, Pennsylvania",1016,259,72,50,121,78,91,37,48,132,40,49,14,12,13,0,0
42049001500,Erie,2022,Census Tract 15; Erie County; Pennsylvania,1061,215,90,78,163,101,53,67,0,85,105,51,45,0,8,0,0
42049001500,Erie,2023,Census Tract 15; Erie County; Pennsylvania,1072,185,117,86,80,153,83,108,15,0,144,64,30,0,7,0,0
42049001600,Erie,2019,"Census Tract 16, Erie County, Pennsylvania",1669,107,20,192,103,145,50,75,69,151,200,139,150,109,49,100,10
42049001600,Erie,2020,"Census Tract 16, Erie County, Pennsylvania",1774,252,14,205,87,174,65,66,71,97,185,157,132,152,44,65,8
42049001600,Erie,2021,"Census Tract 16, Erie County, Pennsylvania",1767,294,11,154,121,163,110,90,89,62,95,166,154,126,53,73,6
42049001600,Erie,2022,Census Tract 16; Erie County; Pennsylvania,1780,290,10,40,154,115,90,152,99,54,131,148,108,196,60,78,55
42049001600,Erie,2023,Census Tract 16; Erie County; Pennsylvania,1864,328,59,0,149,69,243,91,64,113,65,154,161,191,93,32,52
42049001700,Erie,2019,"Census Tract 17, Erie County, Pennsylvania",943,66,76,120,93,68,82,54,62,67,54,103,66,17,6,0,9
42049001700,Erie,2020,"Census Tract 17, Erie County, Pennsylvania",971,55,49,99,73,66,72,49,75,68,156,117,51,26,7,0,8
42049001700,Erie,2021,"Census Tract 17, Erie County, Pennsylvania",964,77,42,86,61,64,40,48,57,27,196,80,129,39,0,6,12
42049001700,Erie,2022,Census Tract 17; Erie County; Pennsylvania,1001,45,98,79,64,71,27,62,44,75,217,36,148,0,15,10,10
42049001700,Erie,2023,Census Tract 17; Erie County; Pennsylvania,931,48,150,50,73,41,6,23,83,44,234,43,67,8,11,44,6
42049001800,Erie,2019,"Census Tract 18, Erie County, Pennsylvania",645,94,88,43,106,66,5,46,42,55,14,36,29,19,2,0,0
42049001800,Erie,2020,"Census Tract 18, Erie County, Pennsylvania",663,83,107,26,101,106,21,33,13,39,24,21,18,35,36,0,0
42049001800,Erie,2021,"Census Tract 18, Erie County, Pennsylvania",690,107,96,38,97,104,30,20,20,36,27,14,39,28,34,0,0
42049001800,Erie,2022,Census Tract 18; Erie County; Pennsylvania,701,62,62,96,11,133,44,0,37,11,57,25,88,14,50,3,8
42049001800,Erie,2023,Census Tract 18; Erie County; Pennsylvania,722,97,117,115,11,55,15,12,73,7,24,12,80,46,52,0,6
42049001900,Erie,2019,"Census Tract 19, Erie County, Pennsylvania",853,159,115,155,62,63,125,19,8,10,43,62,23,5,0,0,4
42049001900,Erie,2020,"Census Tract 19, Erie County, Pennsylvania",873,108,158,171,74,118,38,66,8,3,40,54,17,10,0,0,8
42049001900,Erie,2021,"Census Tract 19, Erie County, Pennsylvania",859,74,167,163,68,49,103,75,6,12,62,58,10,5,0,0,7
42049001900,Erie,2022,Census Tract 19; Erie County; Pennsylvania,869,51,175,165,83,51,107,27,36,9,61,35,30,15,8,8,8
42049001900,Erie,2023,Census Tract 19; Erie County; Pennsylvania,869,46,186,182,85,47,65,100,5,11,31,12,56,12,12,0,19
42049002000,Erie,2019,"Census Tract 20, Erie County, Pennsylvania",1365,56,38,170,67,118,19,73,129,16,189,204,156,54,7,64,5
42049002000,Erie,2020,"Census Tract 20, Erie County, Pennsylvania",1408,71,25,207,56,120,34,61,103,17,229,183,157,61,7,77,0
42049002000,Erie,2021,"Census Tract 20, Erie County, Pennsylvania",1330,96,50,192,66,87,41,14,87,68,128,177,232,67,12,13,0
42049002000,Erie,2022,Census Tract 20; Erie County; Pennsylvania,1315,92,59,42,190,57,16,66,30,95,135,206,242,77,0,8,0
42049002000,Erie,2023,Census Tract 20; Erie County; Pennsylvania,1331,90,79,30,182,38,35,83,60,44,193,193,228,44,23,9,0
42049002100,Erie,2019,"Census Tract 21, Erie County, Pennsylvania",1696,83,47,63,93,71,73,84,87,189,155,262,295,90,0,73,31
42049002100,Erie,2020,"Census Tract 21, Erie County, Pennsylvania",1762,69,32,53,111,68,78,55,105,144,223,247,281,112,56,90,38
42049002100,Erie,2021,"Census Tract 21, Erie County, Pennsylvania",1702,74,34,74,68,90,39,74,107,96,179,196,387,80,16,132,56
42049002100,Erie,2022,Census Tract 21; Erie County; Pennsylvania,1691,26,42,33,110,68,57,76,90,55,223,248,305,152,75,101,30
42049002100,Erie,2023,Census Tract 21; Erie County; Pennsylvania,1714,35,43,8,97,33,92,146,110,57,130,318,256,151,84,138,16
42049002200,Erie,2019,"Census Tract 22, Erie County, Pennsylvania",1725,61,103,43,89,118,90,107,44,101,109,322,296,145,59,23,15
42049002200,Erie,2020,"Census Tract 22, Erie County, Pennsylvania",1646,39,53,30,73,105,82,70,73,51,153,279,368,170,37,63,0
42049002200,Erie,2021,"Census Tract 22, Erie County, Pennsylvania",1642,58,130,28,36,83,35,111,41,85,173,226,306,243,73,0,14
42049002200,Erie,2022,Census Tract 22; Erie County; Pennsylvania,1543,85,82,51,52,46,63,45,51,80,130,103,384,238,99,10,24
42049002200,Erie,2023,Census Tract 22; Erie County; Pennsylvania,1549,120,72,90,54,27,81,25,36,42,88,146,390,230,106,7,35
42049002300,Erie,2019,"Census Tract 23, Erie County, Pennsylvania",1085,31,73,59,88,42,116,71,101,41,138,124,96,54,31,20,0
42049002300,Erie,2020,"Census Tract 23, Erie County, Pennsylvania",1160,25,110,72,39,241,66,60,108,25,158,91,98,46,0,21,0
42049002300,Erie,2021,"Census Tract 23, Erie County, Pennsylvania",1109,22,76,79,53,214,91,54,99,19,99,73,128,102,0,0,0
42049002300,Erie,2022,Census Tract 23; Erie County; Pennsylvania,1118,22,45,117,38,75,232,52,80,73,86,42,110,102,8,10,26
42049002300,Erie,2023,Census Tract 23; Erie County; Pennsylvania,1194,18,35,64,80,97,285,76,88,43,118,39,117,98,9,12,15
42049002400,Erie,2019,"Census Tract 24, Erie County, Pennsylvania",1278,94,121,26,36,94,82,94,122,74,90,158,136,111,28,12,0
42049002400,Erie,2020,"Census Tract 24, Erie County, Pennsylvania",1247,61,40,107,32,94,49,100,74,183,72,163,124,120,28,0,0
42049002400,Erie,2021,"Census Tract 24, Erie County, Pennsylvania",1250,80,43,118,51,120,35,66,72,110,162,139,102,134,18,0,0
42049002400,Erie,2022,Census Tract 24; Erie County; Pennsylvania,1300,51,74,90,65,93,51,40,114,47,226,105,146,151,47,0,0
42049002400,Erie,2023,Census Tract 24; Erie County; Pennsylvania,1328,56,142,42,85,73,78,7,110,68,235,115,170,45,94,8,0
42049002500,Erie,2019,"Census Tract 25, Erie County, Pennsylvania",979,107,25,72,43,139,108,46,65,61,109,91,41,56,5,6,5
42049002500,Erie,2020,"Census Tract 25, Erie County, Pennsylvania",1016,100,68,62,25,129,113,70,0,57,152,120,46,56,12,6,0
42049002500,Erie,2021,"Census Tract 25, Erie County, Pennsylvania",962,46,90,72,24,115,70,57,29,10,141,126,88,53,27,14,0
42049002500,Erie,2022,Census Tract 25; Erie County; Pennsylvania,949,51,77,88,50,63,111,108,36,18,97,83,84,49,22,12,0
42049002500,Erie,2023,Census Tract 25; Erie County; Pennsylvania,894,72,60,46,92,3,42,72,29,75,71,152,96,27,39,18,0
42049002600,Erie,2019,"Census Tract 26, Erie County, Pennsylvania",1498,133,89,98,141,144,64,124,34,74,172,185,82,107,22,17,12
42049002600,Erie,2020,"Census Tract 26, Erie County, Pennsylvania",1540,159,80,72,95,130,61,134,17,59,116,217,129,87,34,142,8
42049002600,Erie,2021,"Census Tract 26, Erie County, Pennsylvania",1516,153,109,95,147,89,95,130,12,65,108,117,121,74,67,124,10
42049002600,Erie,2022,Census Tract 26; Erie County; Pennsylvania,1470,69,108,27,106,53,197,107,57,14,131,145,105,138,41,164,8
42049002600,Erie,2023,Census Tract 26; Erie County; Pennsylvania,1488,62,75,35,74,16,72,163,177,6,148,148,117,142,76,167,10
42049002700,Erie,2019,"Census Tract 27, Erie County, Pennsylvania",2971,143,249,112,146,130,241,178,125,213,150,375,415,298,109,87,0
42049002700,Erie,2020,"Census Tract 27, Erie County, Pennsylvania",3000,95,187,207,131,220,202,149,292,111,213,286,480,213,100,114,0
42049002700,Erie,2021,"Census Tract 27, Erie County, Pennsylvania",2942,76,124,108,152,204,121,153,247,187,186,267,411,299,225,162,20
42049002700,Erie,2022,Census Tract 27; Erie County; Pennsylvania,2874,94,74,43,201,227,98,151,169,253,292,368,389,206,218,46,45
42049002700,Erie,2023,Census Tract 27; Erie County; Pennsylvania,2915,116,64,30,163,105,157,105,224,208,330,265,486,289,212,53,108
42049002800,Erie,2019,"Census Tract 28, Erie County, Pennsylvania",2296,298,64,28,121,141,125,175,138,129,115,313,266,162,117,52,52
42049002800,Erie,2020,"Census Tract 28, Erie County, Pennsylvania",2535,268,60,116,147,161,143,168,159,127,95,409,324,186,62,26,84
42049002800,Erie,2021,"Census Tract 28, Erie County, Pennsylvania",2381,252,65,108,74,112,96,190,249,51,139,213,488,155,62,41,86
42049002800,Erie,2022,Census Tract 28; Erie County; Pennsylvania,2454,199,29,121,61,157,101,145,160,164,177,188,552,98,164,26,112
42049002800,Erie,2023,Census Tract 28; Erie County; Pennsylvania,2394,164,27,104,87,91,143,31,218,73,217,214,501,194,115,136,79
42049002900,Erie,2019,"Census Tract 29, Erie County, Pennsylvania",1272,43,20,47,45,80,9,60,57,62,99,132,138,236,119,76,49
42049002900,Erie,2020,"Census Tract 29, Erie County, Pennsylvania",1274,40,18,42,43,58,95,46,28,35,105,103,143,206,122,149,41
42049002900,Erie,2021,"Census Tract 29, Erie County, Pennsylvania",1241,46,10,9,73,82,49,52,61,12,140,56,164,203,104,136,44
42049002900,Erie,2022,Census Tract 29; Erie County; Pennsylvania,1221,53,19,10,29,89,44,42,42,73,109,73,113,114,160,151,100
42049002900,Erie,2023,Census Tract 29; Erie County; Pennsylvania,1232,32,23,12,36,53,51,40,61,30,129,100,106,116,126,178,139
42049003000,Erie,2019,"Census Tract 30, Erie County, Pennsylvania",1921,203,83,167,99,158,89,184,43,126,130,170,243,104,72,33,17
42049003000,Erie,2020,"Census Tract 30, Erie County, Pennsylvania",1835,159,85,130,98,141,68,199,53,94,134,296,206,83,23,21,45
42049003000,Erie,2021,"Census Tract 30, Erie County, Pennsylvania",1790,111,79,88,137,143,85,107,117,82,89,279,219,123,47,18,66
42049003000,Erie,2022,Census Tract 30; Erie County; Pennsylvania,1775,82,81,57,104,126,97,102,98,60,138,250,200,193,68,39,80
42049003000,Erie,2023,Census Tract 30; Erie County; Pennsylvania,1817,122,127,76,87,101,156,43,77,79,106,285,226,145,74,48,65
42049010101,Erie,2019,"Census Tract 101.01, Erie County, Pennsylvania",1353,76,30,99,55,55,70,81,89,39,118,97,244,122,76,60,42
42049010101,Erie,2020,"Census Tract 101.01, Erie County, Pennsylvania",1316,85,15,91,33,27,32,52,97,43,110,122,283,150,79,48,49
42049010101,Erie,2021,"Census Tract 101.01, Erie County, Pennsylvania",1237,92,0,68,58,39,10,69,9,32,114,216,233,123,95,40,39
42049010101,Erie,2022,Census Tract 101.01; Erie County; Pennsylvania,1225,117,10,17,22,28,12,41,73,8,84,182,311,147,92,63,18
42049010101,Erie,2023,Census Tract 101.01; Erie County; Pennsylvania,1216,69,17,10,29,20,0,36,56,44,54,171,283,226,90,72,39
42049010103,Erie,2019,"Census Tract 101.03, Erie County, Pennsylvania",709,41,27,51,30,41,26,34,34,43,49,83,90,63,44,22,31
42049010103,Erie,2020,"Census Tract 101.03, Erie County, Pennsylvania",736,25,46,55,22,36,11,43,23,40,55,143,79,43,55,25,35
42049010103,Erie,2021,"Census Tract 101.03, Erie County, Pennsylvania",741,13,42,25,15,44,28,13,24,35,67,77,191,37,60,33,37
42049010103,Erie,2022,Census Tract 101.03; Erie County; Pennsylvania,739,36,30,10,24,31,33,17,19,28,85,43,209,37,28,57,52
42049010103,Erie,2023,Census Tract 101.03; Erie County; Pennsylvania,755,44,23,16,29,16,36,18,20,27,51,109,186,53,28,59,40
42049010104,Erie,2019,"Census Tract 101.04, Erie County, Pennsylvania",888,45,21,31,30,31,44,44,58,32,42,120,152,106,54,57,21
42049010104,Erie,2020,"Census Tract 101.04, Erie County, Pennsylvania",905,43,20,26,18,44,39,41,55,48,58,114,123,128,43,49,56
42049010104,Erie,2021,"Census Tract 101.04, Erie County, Pennsylvania",877,29,12,25,33,37,26,24,55,47,70,90,148,124,57,35,65
42049010104,Erie,2022,Census Tract 101.04; Erie County; Pennsylvania,886,24,13,30,19,24,38,28,35,34,107,82,137,108,88,35,84
42049010104,Erie,2023,Census Tract 101.04; Erie County; Pennsylvania,870,34,6,21,23,18,48,16,39,39,67,88,133,107,99,41,91
42049010107,Erie,2019,"Census Tract 101.07, Erie County, Pennsylvania",681,69,37,57,52,32,73,36,10,21,85,59,89,34,14,13,0
42049010107,Erie,2020,"Census Tract 101.07, Erie County, Pennsylvania",609,61,26,51,38,26,47,52,11,20,74,59,67,55,12,10,0
42049010107,Erie,2021,"Census Tract 101.07, Erie County, Pennsylvania",572,46,40,38,26,27,24,69,10,10,50,46,77,73,19,13,4
42049010107,Erie,2022,Census Tract 101.07; Erie County; Pennsylvania,583,35,58,25,46,19,19,35,44,10,40,48,55,43,93,4,9
42049010107,Erie,2023,Census Tract 101.07; Erie County; Pennsylvania,591,39,68,31,40,22,10,15,44,17,29,71,54,40,89,13,9
42049010108,Erie,2020,"Census Tract 101.08, Erie County, Pennsylvania",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
42049010201,Erie,2019,"Census Tract 102.01, Erie County, Pennsylvania",2279,72,100,134,149,73,149,167,159,84,232,298,300,172,88,50,52
42049010201,Erie,2020,"Census Tract 102.01, Erie County, Pennsylvania",2388,49,113,110,206,75,129,93,121,83,202,289,314,187,181,187,49
42049010201,Erie,2021,"Census Tract 102.01, Erie County, Pennsylvania",2442,30,119,58,161,170,87,133,44,165,139,322,348,187,227,213,39
42049010201,Erie,2022,Census Tract 102.01; Erie County; Pennsylvania,2496,32,89,23,112,216,51,164,76,114,172,274,340,322,130,301,80
42049010201,Erie,2023,Census Tract 102.01; Erie County; Pennsylvania,2601,59,77,39,84,226,87,95,129,54,212,241,460,323,139,127,249
42049010202,Erie,2019,"Census Tract 102.02, Erie County, Pennsylvania",2228,142,93,49,166,125,216,145,48,143,147,250,313,189,91,70,41
42049010202,Erie,2020,"Census Tract 102.02, Erie County, Pennsylvania",2368,69,39,40,167,190,121,168,103,137,186,285,293,156,266,86,62
42049010202,Erie,2021,"Census Tract 102.02, Erie County, Pennsylvania",2329,108,84,39,140,187,46,126,104,67,215,218,500,102,265,76,52
42049010202,Erie,2022,Census Tract 102.02; Erie County; Pennsylvania,2367,73,67,71,96,115,116,55,109,126,195,193,442,248,132,220,109
42049010202,Erie,2023,Census Tract 102.02; Erie County; Pennsylvania,2411,68,49,111,33,120,157,45,80,46,197,293,371,218,223,277,123
42049010301,Erie,2019,"Census Tract 103.01, Erie County, Pennsylvania",1887,43,62,84,81,98,82,43,82,55,133,182,464,221,112,100,45
42049010301,Erie,2020,"Census Tract 103.01, Erie County, Pennsylvania",1866,55,68,73,74,85,107,43,123,47,122,173,364,274,133,84,41
42049010301,Erie,2021,"Census Tract 103.01, Erie County, Pennsylvania",1972,61,71,36,61,107,85,68,104,72,91,172,394,313,149,137,51
42049010301,Erie,2022,Census Tract 103.01; Erie County; Pennsylvania,1953,47,86,50,50,94,86,105,16,99,39,165,308,392,135,209,72
42049010301,Erie,2023,Census Tract 103.01; Erie County; Pennsylvania,1979,20,58,62,51,18,75,155,27,42,131,174,268,364,165,230,139
42049010303,Erie,2019,"Census Tract 103.03, Erie County, Pennsylvania",2033,36,57,145,86,33,46,31,14,131,100,138,364,408,95,150,199
42049010303,Erie,2020,"Census Tract 103.03, Erie County, Pennsylvania",1826,9,41,135,97,33,57,31,23,79,95,115,281,322,153,163,192
42049010303,Erie,2021,"Census Tract 103.03, Erie County, Pennsylvania",2051,58,0,196,129,9,0,47,52,60,136,118,311,323,174,174,264
42049010303,Erie,2022,Census Tract 103.03; Erie County; Pennsylvania,2091,63,20,128,69,73,0,42,25,74,102,162,346,281,133,179,394
42049010303,Erie,2023,Census Tract 103.03; Erie County; Pennsylvania,2205,121,34,73,89,94,24,58,0,45,77,213,370,190,242,86,489
42049010304,Erie,2019,"Census Tract 103.04, Erie County, Pennsylvania",1630,64,36,29,41,44,35,68,25,52,128,74,216,279,89,149,301
42049010304,Erie,2020,"Census Tract 103.04, Erie County, Pennsylvania",1695,29,9,20,9,66,28,58,21,114,110,186,228,229,137,215,236
42049010304,Erie,2021,"Census Tract 103.04, Erie County, Pennsylvania",1803,34,55,19,9,64,22,34,0,105,108,198,222,232,183,254,264
42049010304,Erie,2022,Census Tract 103.04; Erie County; Pennsylvania,1844,77,53,8,9,16,60,14,14,32,142,196,242,223,103,253,402
42049010304,Erie,2023,Census Tract 103.04; Erie County; Pennsylvania,1819,80,40,0,16,8,38,8,19,0,147,183,216,220,133,292,419
42049010400,Erie,2019,"Census Tract 104, Erie County, Pennsylvania",2045,100,119,35,112,85,111,51,145,21,132,238,261,180,221,111,123
42049010400,Erie,2020,"Census Tract 104, Erie County, Pennsylvania",2147,79,101,63,178,119,49,74,134,76,127,252,209,151,244,140,151
42049010400,Erie,2021,"Census Tract 104, Erie County, Pennsylvania",2154,86,47,63,75,241,0,52,176,62,148,99,291,171,262,148,233
42049010400,Erie,2022,Census Tract 104; Erie County; Pennsylvania,2056,48,48,37,106,205,36,15,65,126,136,121,305,201,249,82,276
42049010400,Erie,2023,Census Tract 104; Erie County; Pennsylvania,1960,16,50,65,92,284,59,26,14,114,88,134,270,187,178,167,216
42049010500,Erie,2019,"Census Tract 105, Erie County, Pennsylvania",1851,103,64,140,34,152,59,71,106,144,171,254,177,102,175,70,29
42049010500,Erie,2020,"Census Tract 105, Erie County, Pennsylvania",1944,70,184,86,36,121,55,149,59,89,226,317,180,108,59,160,45
42049010500,Erie,2021,"Census Tract 105, Erie County, Pennsylvania",2103,88,160,147,67,26,67,137,109,27,271,265,242,133,122,175,67
42049010500,Erie,2022,Census Tract 105; Erie County; Pennsylvania,2168,96,123,160,65,86,60,43,133,52,126,417,214,63,176,156,198
42049010500,Erie,2023,Census Tract 105; Erie County; Pennsylvania,2080,84,112,260,28,106,60,35,123,78,63,226,338,67,92,196,212
42049010700,Erie,2019,"Census Tract 107, Erie County, Pennsylvania",1733,149,34,34,90,67,127,55,109,108,242,258,237,109,58,56,0
42049010700,Erie,2020,"Census Tract 107, Erie County, Pennsylvania",1711,95,24,38,86,41,98,62,67,118,250,213,286,158,135,40,0
42049010700,Erie,2021,"Census Tract 107, Erie County, Pennsylvania",1740,63,48,20,79,35,104,56,87,63,250,192,300,231,92,120,0
42049010700,Erie,2022,Census Tract 107; Erie County; Pennsylvania,1788,85,62,63,43,42,96,55,73,66,128,213,363,227,55,198,19
42049010700,Erie,2023,Census Tract 107; Erie County; Pennsylvania,1761,72,84,66,29,44,46,58,49,59,97,256,281,226,109,266,19
42049010800,Erie,2019,"Census Tract 108, Erie County, Pennsylvania",1435,32,29,30,89,137,72,73,90,57,71,333,205,117,54,46,0
42049010800,Erie,2020,"Census Tract 108, Erie County, Pennsylvania",1280,34,30,70,34,186,22,52,68,39,91,315,198,50,34,23,34
42049010800,Erie,2021,"Census Tract 108, Erie County, Pennsylvania",1350,39,35,49,39,112,77,70,52,61,49,281,224,100,77,56,29
42049010800,Erie,2022,Census Tract 108; Erie County; Pennsylvania,1331,11,44,40,69,74,43,72,30,47,101,179,280,135,104,64,38
42049010800,Erie,2023,Census Tract 108; Erie County; Pennsylvania,1329,12,7,46,48,76,26,65,62,39,154,154,242,143,75,134,46
42049010902,Erie,2019,"Census Tract 109.02, Erie County, Pennsylvania",1831,107,102,131,50,84,55,71,68,52,127,222,257,114,103,177,111
42049010902,Erie,2020,"Census Tract 109.02, Erie County, Pennsylvania",1707,119,89,95,73,47,65,71,58,25,146,248,230,106,74,171,90
42049010902,Erie,2021,"Census Tract 109.02, Erie County, Pennsylvania",1743,135,85,118,74,42,63,72,56,42,81,227,225,94,95,193,141
42049010902,Erie,2022,Census Tract 109.02; Erie County; Pennsylvania,1699,82,129,104,104,52,50,75,61,68,36,141,222,144,89,186,156
42049010902,Erie,2023,Census Tract 109.02; Erie County; Pennsylvania,1706,48,151,58,101,77,53,40,89,13,101,205,146,179,57,193,195
42049010903,Erie,2019,"Census Tract 109.03, Erie County, Pennsylvania",2745,110,108,84,59,109,185,82,77,108,290,203,475,375,121,189,170
42049010903,Erie,2020,"Census Tract 109.03, Erie County, Pennsylvania",2822,93,130,100,119,178,101,67,37,58,274,242,527,396,138,181,181
42049010903,Erie,2021,"Census Tract 109.03, Erie County, Pennsylvania",2829,105,133,120,43,128,142,73,43,43,167,219,463,512,250,139,249
42049010903,Erie,2022,Census Tract 109.03; Erie County; Pennsylvania,2859,102,60,153,61,95,85,141,101,34,99,183,490,382,350,218,305
42049010903,Erie,2023,Census Tract 109.03; Erie County; Pennsylvania,2928,81,117,82,46,67,61,217,154,68,108,227,387,458,281,320,254
42049010904,Erie,2019,"Census Tract 109.04, Erie County, Pennsylvania",1825,17,8,17,8,20,22,22,38,55,57,153,158,362,250,228,410
42049010904,Erie,2020,"Census Tract 109.04, Erie County, Pennsylvania",1950,34,7,16,14,22,10,23,41,32,64,124,223,280,245,302,513
42049010904,Erie,2021,"Census Tract 109.04, Erie County, Pennsylvania",1943,34,6,6,14,20,10,19,19,24,64,78,250,256,234,357,552
42049010904,Erie,2022,Census Tract 109.04; Erie County; Pennsylvania,1868,35,6,0,0,7,19,23,10,20,69,92,225,206,211,372,573
42049010904,Erie,2023,Census Tract 109.04; Erie County; Pennsylvania,1868,38,0,0,0,8,20,9,44,63,32,97,186,245,142,434,550
42049011001,Erie,2019,"Census Tract 110.01, Erie County, Pennsylvania",2807,224,26,59,95,72,190,198,228,118,210,244,209,333,326,104,171
42049011001,Erie,2020,"Census Tract 110.01, Erie County, Pennsylvania",2826,185,17,54,189,41,194,166,169,306,121,223,210,347,300,134,170
42049011001,Erie,2021,"Census Tract 110.01, Erie County, Pennsylvania",2861,131,51,38,177,82,193,191,87,104,334,233,287,245,336,122,250
42049011001,Erie,2022,Census Tract 110.01; Erie County; Pennsylvania,2902,65,82,0,59,200,147,187,227,133,351,193,291,291,274,176,226
42049011001,Erie,2023,Census Tract 110.01; Erie County; Pennsylvania,2993,85,85,0,40,137,174,220,173,110,435,231,344,320,239,177,223
42049011002,Erie,2019,"Census Tract 110.02, Erie County, Pennsylvania",2329,308,40,116,179,224,137,59,172,75,125,237,346,151,61,85,14
42049011002,Erie,2020,"Census Tract 110.02, Erie County, Pennsylvania",2175,247,12,135,168,138,112,102,126,91,96,174,391,155,102,112,14
42049011002,Erie,2021,"Census Tract 110.02, Erie County, Pennsylvania",2159,280,13,123,183,74,129,124,132,45,136,150,287,167,88,215,13
42049011002,Erie,2022,Census Tract 110.02; Erie County; Pennsylvania,2077,185,71,65,143,63,155,21,156,54,156,95,343,102,183,258,27
42049011002,Erie,2023,Census Tract 110.02; Erie County; Pennsylvania,2010,203,97,47,132,64,131,75,168,129,117,110,260,133,103,192,49
42049011101,Erie,2019,"Census Tract 111.01, Erie County, Pennsylvania",2338,151,69,85,188,0,126,64,15,35,239,338,412,365,99,83,69
42049011101,Erie,2020,"Census Tract 111.01, Erie County, Pennsylvania",2162,131,57,59,166,29,94,81,30,12,126,350,414,349,75,87,102
42049011101,Erie,2021,"Census Tract 111.01, Erie County, Pennsylvania",2209,109,46,130,185,153,92,28,73,26,162,132,516,242,91,156,68
42049011101,Erie,2022,Census Tract 111.01; Erie County; Pennsylvania,2206,136,31,140,97,125,93,45,146,28,61,277,357,275,129,151,115
42049011101,Erie,2023,Census Tract 111.01; Erie County; Pennsylvania,2176,102,30,71,178,30,123,68,59,100,135,179,307,268,215,184,127
42049011102,Erie,2019,"Census Tract 111.02, Erie County, Pennsylvania",1353,63,45,37,50,58,65,113,12,41,99,162,169,147,54,84,154
42049011102,Erie,2020,"Census Tract 111.02, Erie County, Pennsylvania",1353,62,31,39,97,25,61,84,0,33,89,270,154,135,54,90,129
42049011102,Erie,2021,"Census Tract 111.02, Erie County, Pennsylvania",1332,89,25,41,105,30,23,77,22,18,54,164,228,138,98,81,139
42049011102,Erie,2022,Census Tract 111.02; Erie County; Pennsylvania,1296,106,37,40,20,97,23,38,38,24,53,65,199,208,116,72,160
42049011102,Erie,2023,Census Tract 111.02; Erie County; Pennsylvania,1308,94,11,23,41,73,65,35,70,50,41,95,133,205,92,94,186
42049011201,Erie,2019,"Census Tract 112.01, Erie County, Pennsylvania",1783,10,28,108,46,75,92,105,46,42,176,211,267,251,57,182,87
42049011201,Erie,2020,"Census Tract 112.01, Erie County, Pennsylvania",1694,8,24,98,53,165,69,138,8,68,146,216,178,250,89,111,73
42049011201,Erie,2021,"Census Tract 112.01, Erie County, Pennsylvania",1605,8,33,65,41,131,85,86,50,62,99,182,226,193,159,106,79
42049011201,Erie,2022,Census Tract 112.01; Erie County; Pennsylvania,1614,12,25,15,94,61,134,53,96,37,155,184,216,124,196,162,50
42049011201,Erie,2023,Census Tract 112.01; Erie County; Pennsylvania,1623,28,35,16,85,52,106,74,61,26,109,189,250,164,135,183,110
42049011202,Erie,2019,"Census Tract 112.02, Erie County, Pennsylvania",3048,89,160,27,81,95,194,99,205,135,290,300,260,332,310,245,226
42049011202,Erie,2020,"Census Tract 112.02, Erie County, Pennsylvania",3089,113,152,30,64,127,124,90,249,148,322,419,279,320,274,237,141
42049011202,Erie,2021,"Census Tract 112.02, Erie County, Pennsylvania",2987,79,164,29,59,143,127,35,74,204,238,529,335,284,246,282,159
42049011202,Erie,2022,Census Tract 112.02; Erie County; Pennsylvania,3192,88,145,41,120,122,97,140,77,129,292,531,412,322,187,281,208
42049011202,Erie,2023,Census Tract 112.02; Erie County; Pennsylvania,3356,89,158,40,91,133,254,93,99,78,249,637,507,281,159,206,282
42049011300,Erie,2019,"Census Tract 113, Erie County, Pennsylvania",1379,77,77,104,140,65,110,85,42,8,128,87,203,94,104,0,55
42049011300,Erie,2020,"Census Tract 113, Erie County, Pennsylvania",1367,92,60,97,121,48,112,113,65,0,143,86,262,53,61,0,54
42049011300,Erie,2021,"Census Tract 113, Erie County, Pennsylvania",1361,80,66,97,54,99,94,79,98,11,157,131,187,90,64,0,54
42049011300,Erie,2022,Census Tract 113; Erie County; Pennsylvania,1336,94,60,60,143,66,109,81,69,43,178,110,135,106,52,0,30
42049011300,Erie,2023,Census Tract 113; Erie County; Pennsylvania,1343,96,12,85,96,144,110,58,47,68,177,155,130,69,73,0,23
42049011400,Erie,2019,"Census Tract 114, Erie County, Pennsylvania",1532,31,27,16,69,104,120,56,84,78,212,251,243,144,12,42,43
42049011400,Erie,2020,"Census Tract 114, Erie County, Pennsylvania",1502,49,116,16,66,66,137,76,51,71,150,209,282,102,41,38,32
42049011400,Erie,2021,"Census Tract 114, Erie County, Pennsylvania",1484,44,112,8,76,42,105,96,28,86,111,266,273,67,91,47,32
42049011400,Erie,2022,Census Tract 114; Erie County; Pennsylvania,1497,70,80,36,66,18,40,101,74,26,185,237,157,152,116,110,29
42049011400,Erie,2023,Census Tract 114; Erie County; Pennsylvania,1548,66,88,20,37,61,20,97,45,20,155,297,193,173,95,136,45
