tract_geoid,tract_name,county,name,address,lat,lon,primary_category,type,subtype,snap_eligible
42039110202,Census Tract 1102.02,Crawford,First Church of God,,41.800741,-80.0664849,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,First United Methodist Church,,41.8022211,-80.0593181,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,Jehovah's Witnesses,,41.8089697,-80.061324,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,Jervis Church,,41.766196,-79.963504,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,Mackey Hill Church,,41.8386675,-79.9475532,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,Presbyterian Church,,41.8019529,-80.0596777,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,St. Anthony's Catholic Church,,41.8009615,-80.059749,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,Cambridge Springs Elementary School,,41.7989596,-80.0652897,Education & Civic,School,K-12 School,No
42039110202,Census Tract 1102.02,Crawford,Cambridge Springs High School,,41.7984079,-80.0662222,Education & Civic,School,K-12 School,No
42039110202,Census Tract 1102.02,Crawford,Cambridge Springs Junior Senior High School,,41.7997238,-80.0667089,Education & Civic,School,K-12 School,No
42039110202,Census Tract 1102.02,Crawford,Cambridge Springs Junior/Senior High School,"641, Venango Avenue, Cambridge Springs, PA, 16403",41.7980999,-80.0671722,Education & Civic,School,K-12 School,No
42039110202,Census Tract 1102.02,Crawford,Cambridge Springs Public Library,"158, McClellan Street, Cambridge Springs, PA, 16403-1018",41.8062371,-80.0544566,Education & Civic,Library,Public Library,No
42039110202,Census Tract 1102.02,Crawford,Mohawk School,,41.782279,-80.0047765,Education & Civic,School,K-12 School,No
42039110202,Census Tract 1102.02,Crawford,Rockdale Center High School,,41.8045011,-79.9750538,Education & Civic,School,K-12 School,No
42039110202,Census Tract 1102.02,Crawford,Cambridge Grocery,"110 Railroad St, Cambridge Springs, PA 16403",41.80413,-80.05833,Food & Grocery,Convenience Store,Convenience Store,Yes
42039110202,Census Tract 1102.02,Crawford,Dollar General 6289,"742 Venango Ave, Cambridge Springs, PA 16403",41.79871,-80.07064,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110202,Census Tract 1102.02,Crawford,Kwik Fill 174,"135 N Main St, Cambridge Springs, PA 16403",41.80548,-80.05533,Food & Grocery,Convenience Store,Convenience Store,Yes
42039110300,Census Tract 1103,Crawford,Conneautville Church of Christ,"1308, Main Street, Conneautville, PA, 16406",41.7552872,-80.366889,Civic & Social,Faith Community,Place of Worship,No
42039110300,Census Tract 1103,Crawford,Living Hope Community Church,,41.7563021,-80.3667593,Civic & Social,Faith Community,Place of Worship,No
42039110300,Census Tract 1103,Crawford,Springboro Volunteer Fire Department,"176, North Main Street, Springboro, PA, 16435",41.806287,-80.3710727,Civic & Social,Emergency Services,Fire Station,No
42039110300,Census Tract 1103,Crawford,The Valley Church,"1118, Main Street, Conneautville, PA, 16406",41.7568174,-80.3677432,Civic & Social,Faith Community,Place of Worship,No
42039110300,Census Tract 1103,Crawford,Unionville Post Office,,41.7806108,-80.5025701,Civic & Social,Government,Post Office,No
42039110300,Census Tract 1103,Crawford,Big Road School,,41.7042216,-80.3306191,Education & Civic,School,K-12 School,No
42039110300,Census Tract 1103,Crawford,Conneaut Valley Elementary School,,41.7801197,-80.3654788,Education & Civic,School,K-12 School,No
42039110300,Census Tract 1103,Crawford,Conneaut Valley High School,,41.7754807,-80.3612177,Education & Civic,School,K-12 School,No
42039110300,Census Tract 1103,Crawford,Dollar General 13022,"1901 Main St, Conneautville, PA 16404",41.75024,-80.36174,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110300,Census Tract 1103,Crawford,Dollar General 22124,"155 N Main St, Springboro, PA 16435",41.80456,-80.37083,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110300,Census Tract 1103,Crawford,Family Dollar 12929,"800 Main St, Conneautville, PA 16406",41.75878,-80.37051,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110300,Census Tract 1103,Crawford,Hill Top Processing,"4908 Fisher Rd, Conneautville, PA 16406",41.78513,-80.43423,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110400,Census Tract 1104,Crawford,Calvary Church,,41.7128327,-80.398955,Civic & Social,Faith Community,Place of Worship,No
42039110400,Census Tract 1104,Crawford,Linesville Conneaut Summit High School,,41.6544504,-80.4167314,Education & Civic,School,K-12 School,No
42039110400,Census Tract 1104,Crawford,Country Fair 45,"122 Penn ST, Linesville, PA 16424",41.65646,-80.42518,Food & Grocery,Convenience Store,Convenience Store,Yes
42039110400,Census Tract 1104,Crawford,"Crawford County Liquidation Depot, Llc","6164 US Highway 6, Linesville, PA 16424",41.6566,-80.40707,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Yes
42039110400,Census Tract 1104,Crawford,Dollar General 23409,"2050 W Center Rd, Linesville, PA 16424",41.71315,-80.49007,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110400,Census Tract 1104,Crawford,Dollar General 9470,"6304 US Highway 6, Linesville, PA 16424",41.65598,-80.40401,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110400,Census Tract 1104,Crawford,Ray S Marketplace,"6131 Highway 6, Linesville, PA 16424",41.65498,-80.40763,Food & Grocery,Large Grocery Store,Large Grocery Store,Yes
42039110501,Census Tract 1105.01,Crawford,Conneaut Lake Middle School,,41.6058875,-80.3239533,Education & Civic,School,K-12 School,No
42039110501,Census Tract 1105.01,Crawford,Quarry School,,41.5844985,-80.3303426,Education & Civic,School,K-12 School,No
42039110501,Census Tract 1105.01,Crawford,Ward School,,41.5850541,-80.3497876,Education & Civic,School,K-12 School,No
42039110501,Census Tract 1105.01,Crawford,Dollar General 19674,"12543 Reed Ave, Conneaut Lake, PA 16316",41.63724,-80.31937,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110502,Census Tract 1105.02,Crawford,Sunnyside Church,,41.6222766,-80.2720069,Civic & Social,Faith Community,Place of Worship,No
42039110502,Census Tract 1105.02,Crawford,United States Post Office,,41.6042289,-80.3055636,Civic & Social,Government,Post Office,No
42039110502,Census Tract 1105.02,Crawford,Putnam School,,41.6539435,-80.2847847,Education & Civic,School,K-12 School,No
42039110502,Census Tract 1105.02,Crawford,Smith School,,41.6839437,-80.3042295,Education & Civic,School,K-12 School,No
42039110502,Census Tract 1105.02,Crawford,Dollar General 6560,"12853 Conneaut Lake Rd, Conneaut Lake, PA 16316",41.60825,-80.28086,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110502,Census Tract 1105.02,Crawford,Golden Dawn,"450 State St, Conneaut Lake, PA 16316",41.60191,-80.30711,Food & Grocery,Supermarket,Supermarket,Yes
42039110502,Census Tract 1105.02,Crawford,Lakeside Meats Inc,"11025 State Highway 18, Conneaut Lake, PA 16316",41.61549,-80.28886,Food & Grocery,Small Grocery Store,Small Grocery Store,Yes
42039110502,Census Tract 1105.02,Crawford,Livingston Quality Meats,"85 WATER ST., BOX 5181, CONNEAUT LAKE, PA 16316",41.60317,-80.30141,Food & Grocery,Small Grocery Store,Small Grocery Store,Yes
42039110502,Census Tract 1105.02,Crawford,Sh Food Mart,"12211 Lakeside Dr, Conneaut Lake, PA 16316",41.61502,-80.2884,Food & Grocery,Convenience Store,Convenience Store,Yes
42039110502,Census Tract 1105.02,Crawford,Sheetz 159,"315 Water St, Conneaut Lake, PA 16316",41.60294,-80.30516,Food & Grocery,Convenience Store,Convenience Store,Yes
42039110600,Census Tract 1106,Crawford,Christ Evangelical Free Church,"19682, Hill Road, Saegertown, PA, 16433",41.7447341,-80.1298898,Civic & Social,Faith Community,Place of Worship,No
42039110600,Census Tract 1106,Crawford,Hayfield Central Hose Company,,41.712685,-80.2304691,Civic & Social,Emergency Services,Fire Station,No
42039110600,Census Tract 1106,Crawford,Hayfield Township Municipal Building,,41.7172879,-80.193032,Civic & Social,Government,Government Office,No
42039110600,Census Tract 1106,Crawford,Broadford School,,41.7467229,-80.1364465,Education & Civic,School,K-12 School,No
42039110600,Census Tract 1106,Crawford,Brookhouser Elementary School,,41.7239446,-80.1661697,Education & Civic,School,K-12 School,No
42039110600,Census Tract 1106,Crawford,Curtis School,,41.7395,-80.2064482,Education & Civic,School,K-12 School,No
42039110600,Census Tract 1106,Crawford,Rockwall School,,41.6792215,-80.2706172,Education & Civic,School,K-12 School,No
42039110600,Census Tract 1106,Crawford,Saegertown High School,,41.7206113,-80.1656141,Education & Civic,School,K-12 School,No
42039110700,Census Tract 1107,Crawford,Bethesda Home,,41.6848482,-80.1302759,Civic & Social,Social Services,Social Services,No
42039110700,Census Tract 1107,Crawford,Gravel Run Church,,41.7564454,-80.0833897,Civic & Social,Faith Community,Place of Worship,No
42039110700,Census Tract 1107,Crawford,One Federal Credit Union,,41.725699,-80.1480926,Civic & Social,Financial,Bank/Credit Union,No
42039110700,Census Tract 1107,Crawford,PNC Bank,,41.7186757,-80.1487943,Civic & Social,Financial,Bank/Credit Union,No
42039110700,Census Tract 1107,Crawford,Pleasantville Alliance Church,,41.6949478,-80.1204833,Civic & Social,Faith Community,Place of Worship,No
42039110700,Census Tract 1107,Crawford,Saegertown Community Church,,41.7221794,-80.1493604,Civic & Social,Faith Community,Place of Worship,No
42039110700,Census Tract 1107,Crawford,Saegertown Post Office,,41.7212368,-80.1482184,Civic & Social,Government,Post Office,No
42039110700,Census Tract 1107,Crawford,Saegertown Volunteer Fire Department,"601, Erie Street, Saegertown, PA, 16433",41.7178446,-80.1431252,Civic & Social,Emergency Services,Fire Station,No
42039110700,Census Tract 1107,Crawford,Beech School,,41.7186673,-80.0736678,Education & Civic,School,K-12 School,No
42039110700,Census Tract 1107,Crawford,French Creek Valley Christian School and Day Care,,41.7259043,-80.1462389,Education & Civic,School,K-12 School,No
42039110700,Census Tract 1107,Crawford,Gibson School,,41.6808888,-80.1131137,Education & Civic,School,K-12 School,No
42039110700,Census Tract 1107,Crawford,Grubb School,,41.7192226,-80.1225577,Education & Civic,School,K-12 School,No
42039110700,Census Tract 1107,Crawford,Lang School,,41.7445011,-80.0539447,Education & Civic,School,K-12 School,No
42039110700,Census Tract 1107,Crawford,McCullough School,,41.695056,-80.0514455,Education & Civic,School,K-12 School,No
42039110700,Census Tract 1107,Crawford,Saegertown Library,"325, Broad Street, Saegertown, PA, 16433",41.7203031,-80.1478211,Education & Civic,Library,Public Library,No
42039110700,Census Tract 1107,Crawford,Shutz School,,41.6814445,-80.0897799,Education & Civic,School,K-12 School,No
