ZCTA5CE20,zcta,year,area_name,county_name,median_household_income,total_population,median_age,state,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,snap_participation_rate
16501,16501,2020,Erie Downtown,Erie,11516.0,1569,56.5,PA,66.7,9.7,30.7,56.7,68.3,23.3,6.1,0.3,2.0,23.3,1.2,63.7
16502,16502,2020,Erie West,Erie,30902.0,15818,36.4,PA,32.8,14.0,29.1,22.9,68.4,11.6,10.8,1.7,7.5,8.3,37.0,31.0
16503,16503,2020,Erie East,Erie,26540.0,15855,30.0,PA,39.7,7.2,30.4,33.6,43.8,32.3,15.1,3.5,5.3,15.2,33.0,56.8
16504,16504,2020,Erie South East,Erie,43289.0,16571,36.2,PA,20.7,16.7,27.8,10.3,79.4,11.9,3.0,3.2,2.5,6.7,66.8,16.2
16505,16505,2020,Erie Frontier/West,Erie,61924.0,15615,49.4,PA,10.7,26.2,26.9,8.4,92.9,2.0,1.2,1.7,2.2,4.4,75.6,9.5
16506,16506,2020,Erie Millcreek/West,Erie,70856.0,24163,45.0,PA,6.1,23.0,26.2,6.2,91.7,2.1,1.7,2.2,2.3,3.2,71.4,8.2
16507,16507,2020,Erie Downtown,Erie,34145.0,9512,30.2,PA,26.7,12.3,31.1,23.2,64.3,16.8,6.4,3.2,9.3,7.6,33.3,30.9
16508,16508,2020,Erie South Central,Erie,50747.0,16021,36.6,PA,11.9,19.5,20.3,9.0,82.8,5.9,4.0,1.7,5.6,4.6,66.6,18.0
16509,16509,2020,Erie Millcreek/South,Erie,60561.0,26838,42.7,PA,9.6,25.2,20.2,5.6,89.5,3.0,2.4,2.3,2.8,3.2,69.6,10.4
16510,16510,2020,Erie Harborcreek,Erie,56463.0,25299,39.8,PA,16.2,17.5,20.1,8.0,80.6,7.5,6.0,3.3,2.6,5.5,79.7,16.7
16511,16511,2020,Erie Lawrence Park,Erie,51443.0,11439,37.4,PA,16.9,18.9,22.7,11.8,81.1,9.7,5.7,1.4,2.1,4.9,62.3,20.7
16546,16546,2020,Erie,Erie,,715,19.6,PA,,100.0,,,85.3,1.8,5.5,5.2,2.2,9.5,,
16563,16563,2020,Erie Penn State Behrend,Erie,,1596,19.5,PA,,0.0,,,77.6,4.8,1.2,12.9,3.5,7.4,,
16616,16616,2020,Beccaria,Clearfield,32292.0,164,54.3,PA,22.6,3.2,26.7,4.3,100.0,0.0,0.0,0.0,0.0,0.0,78.3,39.1
16620,16620,2020,Brisbin,Clearfield,48750.0,323,53.1,PA,10.8,14.2,31.6,6.6,91.6,0.6,5.6,1.2,1.0,7.2,86.0,8.1
16627,16627,2020,Coalport,Clearfield,45000.0,2118,44.6,PA,15.5,8.7,5.3,5.8,93.5,0.4,0.2,0.0,5.9,11.2,89.2,17.2
16639,16639,2020,Fallentimber,Clearfield,60083.0,1592,46.0,PA,7.6,8.6,0.0,2.3,97.7,1.2,0.2,0.0,0.9,7.0,91.6,12.8
16640,16640,2020,Flinton,Clearfield,55982.0,707,48.6,PA,23.6,14.6,29.6,0.7,98.4,0.4,0.7,0.4,0.1,4.3,91.0,15.1
16645,16645,2020,Glen Hope,Clearfield,58036.0,189,52.0,PA,2.6,3.5,0.0,2.4,98.9,0.0,1.1,0.0,-0.0,0.0,97.6,13.3
16646,16646,2020,Hastings,Clearfield,49000.0,2159,47.5,PA,9.4,8.2,5.0,5.2,98.9,0.0,0.4,0.0,0.7,3.9,87.2,18.4
16651,16651,2020,Houtzdale,Clearfield,52870.0,5818,42.3,PA,11.5,5.0,9.6,7.1,70.8,19.4,5.2,0.5,4.1,6.5,80.1,19.7
16656,16656,2020,Irvona,Clearfield,39770.0,1259,46.8,PA,15.9,8.2,17.3,11.2,95.9,0.0,1.6,0.0,2.5,7.4,89.2,16.8
16661,16661,2020,Madera,Clearfield,46053.0,834,48.1,PA,18.8,5.0,29.3,4.0,98.9,0.2,0.0,0.5,0.4,10.5,88.2,30.1
16666,16666,2020,Osceola Mills,Clearfield,42145.0,3043,51.8,PA,20.8,9.7,6.1,1.1,97.1,0.1,2.4,0.1,0.3,2.5,93.3,22.1
16668,16668,2020,Patton,Clearfield,58500.0,3381,43.4,PA,8.4,13.1,15.9,8.0,98.2,0.0,0.8,0.0,1.0,5.4,82.1,16.2
16671,16671,2020,Ramey,Clearfield,53056.0,472,45.0,PA,7.1,11.5,18.6,3.8,98.1,0.0,0.4,0.0,1.5,3.7,76.9,15.1
16680,16680,2020,Smithmill,Clearfield,49107.0,303,50.2,PA,1.3,11.4,0.0,8.0,100.0,0.0,0.0,0.0,0.0,5.1,90.6,8.7
16686,16686,2020,Tyrone,Clearfield,52721.0,12879,40.6,PA,10.2,14.9,11.6,6.1,95.8,0.7,1.3,0.1,2.1,6.3,69.3,14.5
16692,16692,2020,Westover,Clearfield,53375.0,811,44.3,PA,17.3,13.9,1.4,6.3,94.7,0.0,5.2,0.1,-0.0,11.6,80.7,23.7
16701,16701,2020,Bradford,McKean,45963.0,17072,40.9,PA,20.9,13.6,24.0,13.2,94.5,0.6,2.1,0.8,2.0,6.5,69.5,23.2
16720,16720,2020,Austin,Cameron,49063.0,1238,49.5,PA,4.7,7.9,9.5,6.5,98.1,0.0,0.0,0.3,1.6,2.2,87.2,10.3
16724,16724,2020,Crosby,McKean,43750.0,122,47.5,PA,0.0,8.2,0.0,4.0,100.0,0.0,0.0,0.0,0.0,1.9,88.0,24.0
16725,16725,2020,Custer City,McKean,67656.0,179,32.1,PA,0.0,25.2,0.0,0.0,96.6,0.0,0.0,0.0,3.4,0.0,66.1,10.2
16726,16726,2020,Cyclone,McKean,60357.0,572,45.2,PA,9.3,11.2,8.5,2.1,96.2,0.0,0.0,0.0,3.8,7.3,80.4,10.0
16727,16727,2020,Derrick City,McKean,74792.0,196,25.5,PA,13.3,26.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,14.3,29.6,20.4
16729,16729,2020,Duke Center,McKean,47798.0,707,42.6,PA,21.6,11.7,21.1,3.4,100.0,0.0,0.0,0.0,0.0,8.2,75.9,14.6
16730,16730,2020,East Smethport,McKean,36429.0,68,62.0,PA,0.0,20.6,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,87.5,10.4
16731,16731,2020,Eldred,McKean,53050.0,2342,49.9,PA,8.2,10.7,6.9,3.0,99.1,0.2,0.0,0.1,0.6,7.5,82.8,11.2
16732,16732,2020,Gifford,McKean,53971.0,189,59.9,PA,2.6,16.8,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,89.8,0.0
16733,16733,2020,Hazel Hurst,McKean,34750.0,208,65.4,PA,9.1,7.9,42.1,21.1,50.0,0.0,0.0,0.0,50.0,5.0,66.7,36.8
16734,16734,2020,James City,Elk,47500.0,250,46.0,PA,4.9,4.2,0.0,0.0,98.4,0.0,0.0,0.0,1.6,11.3,73.7,12.7
16735,16735,2020,Kane,Elk,46214.0,5952,45.9,PA,12.3,13.4,9.3,6.9,95.0,0.9,1.8,0.3,2.0,7.9,73.3,17.0
16738,16738,2020,Lewis Run,McKean,65202.0,2476,41.7,PA,9.7,6.0,20.6,2.2,55.6,28.6,12.3,0.0,3.5,3.6,88.7,10.8
16740,16740,2020,Mount Jewett,Elk,44079.0,1036,36.6,PA,15.4,8.4,6.0,9.8,92.4,0.2,0.8,0.0,6.6,2.7,69.5,29.1
16743,16743,2020,Port Allegany,McKean,57153.0,3898,42.4,PA,16.9,12.8,28.2,4.8,96.9,0.1,1.5,0.5,1.0,7.4,78.3,17.8
16744,16744,2020,Rew,McKean,46538.0,245,44.3,PA,20.8,6.6,0.0,0.0,100.0,0.0,0.0,0.0,0.0,14.6,73.0,0.0
16745,16745,2020,Rixford,McKean,46731.0,642,50.9,PA,2.6,7.7,0.0,3.6,98.6,0.0,0.0,0.0,1.4,4.1,98.2,8.3
16746,16746,2020,Roulette,McKean,52277.0,1156,48.2,PA,10.9,10.0,31.6,2.7,94.0,0.0,3.1,0.2,2.7,3.7,83.4,15.2
16748,16748,2020,Shinglehouse,McKean,42857.0,2824,46.3,PA,14.2,7.1,14.1,6.7,98.1,0.0,1.7,0.0,0.2,8.0,75.9,20.0
16749,16749,2020,Smethport,Cameron,49353.0,4039,45.7,PA,15.6,12.9,16.7,4.5,97.4,1.0,1.2,0.0,0.4,3.3,77.7,10.8
16750,16750,2020,Turtlepoint,McKean,81563.0,371,52.5,PA,13.5,11.4,20.8,5.3,80.3,2.7,0.0,0.0,17.0,6.2,87.3,6.9
16821,16821,2020,Allport,Clearfield,54167.0,301,56.2,PA,0.0,5.0,,17.5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,49.2
16825,16825,2020,Bigler,Clearfield,60619.0,246,26.5,PA,0.0,53.6,,12.3,58.1,0.0,41.9,0.0,0.0,0.0,100.0,12.3
16830,16830,2020,Clearfield,Clearfield,47294.0,13551,43.6,PA,18.2,11.2,24.0,11.8,98.2,0.1,0.9,0.4,0.4,8.8,65.6,23.9
16833,16833,2020,Curwensville,Clearfield,48285.0,5265,45.0,PA,11.1,14.3,17.7,6.8,95.4,0.8,0.7,0.1,3.0,8.6,78.4,16.8
16834,16834,2020,Drifting,Clearfield,93302.0,616,45.7,PA,2.1,31.3,100.0,5.4,100.0,0.0,0.0,0.0,0.0,0.0,94.6,5.4
16836,16836,2020,Frenchville,Clearfield,53750.0,1034,52.1,PA,8.0,6.1,27.5,0.7,99.6,0.1,0.0,0.0,0.3,6.0,88.9,17.6
16837,16837,2020,Glen Richey,Clearfield,33750.0,203,25.9,PA,13.8,0.0,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,37.0
16838,16838,2020,Grampian,Clearfield,49674.0,1825,48.1,PA,18.9,8.8,47.7,3.7,94.2,0.2,5.2,0.1,0.3,9.1,77.1,19.3
16839,16839,2020,Grassflat,Clearfield,57031.0,601,35.5,PA,25.6,12.5,64.7,0.0,100.0,0.0,0.0,0.0,0.0,15.2,91.5,21.4
16840,16840,2020,Hawk Run,Clearfield,72054.0,494,33.7,PA,0.0,15.0,0.0,6.8,100.0,0.0,0.0,0.0,0.0,3.3,85.3,28.8
16843,16843,2020,Hyde,Clearfield,38500.0,408,55.6,PA,27.7,5.2,22.0,3.8,98.8,1.2,0.0,0.0,0.0,0.0,82.8,24.4
16845,16845,2020,Karthaus,Clearfield,58333.0,984,44.4,PA,8.5,6.0,16.7,1.8,87.9,4.9,1.6,0.0,5.6,7.0,92.8,7.5
16847,16847,2020,Kylertown,Clearfield,63409.0,317,50.8,PA,12.0,8.3,0.0,3.8,66.6,0.0,29.0,0.0,4.4,6.9,78.3,10.4
16849,16849,2020,Lanse,Clearfield,29868.0,166,59.4,PA,4.2,7.4,0.0,3.3,100.0,0.0,0.0,0.0,0.0,0.0,96.7,4.3
16855,16855,2020,Mineral Springs,Clearfield,,103,73.7,PA,0.0,19.4,,75.9,100.0,0.0,0.0,0.0,0.0,50.0,100.0,56.6
16858,16858,2020,Morrisdale,Clearfield,60797.0,3538,51.9,PA,9.1,7.8,1.2,2.9,99.2,0.0,0.7,0.0,0.1,6.5,83.9,12.7
16859,16859,2020,Moshannon,Clearfield,59464.0,465,48.5,PA,4.9,9.7,16.7,5.5,94.4,0.0,5.6,0.0,-0.0,4.1,87.9,10.6
16860,16860,2020,Munson,Clearfield,63246.0,308,52.5,PA,4.2,0.0,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,9.5
16861,16861,2020,New Millport,Clearfield,22500.0,335,51.3,PA,25.3,10.0,0.0,8.1,97.6,0.0,0.0,2.4,0.0,1.6,97.5,26.2
16863,16863,2020,Olanta,Clearfield,43984.0,443,50.9,PA,13.8,9.0,22.5,10.2,97.3,0.0,1.1,0.9,0.7,10.0,80.5,15.6
16866,16866,2020,Philipsburg,Clearfield,45319.0,10362,46.6,PA,13.0,11.1,22.7,15.2,82.3,5.5,9.1,1.4,1.7,5.0,68.3,17.2
16871,16871,2020,Pottersdale,Clearfield,61528.0,64,31.6,PA,0.0,35.9,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,94.1,0.0
16876,16876,2020,Wallaceton,Clearfield,40417.0,268,34.1,PA,21.6,7.4,11.5,13.3,100.0,0.0,0.0,0.0,0.0,0.0,75.2,28.6
16878,16878,2020,West Decatur,Clearfield,53583.0,1658,42.5,PA,12.4,11.8,37.7,6.6,98.3,0.2,0.8,0.2,0.5,6.4,84.1,19.7
16879,16879,2020,Winburne,Clearfield,41696.0,460,53.5,PA,14.6,6.4,0.0,9.6,98.7,0.0,0.0,0.0,1.3,7.1,75.3,21.2
16881,16881,2020,Woodland,Clearfield,38939.0,2446,46.4,PA,22.8,5.1,0.0,1.8,92.6,0.0,6.1,0.0,1.3,12.8,85.1,28.1
17764,17764,2020,Renovo,Cameron,36422.0,2341,52.3,PA,23.2,6.3,18.9,15.5,93.1,0.7,2.2,0.0,4.0,10.9,66.0,24.9
17778,17778,2020,Westport,Clearfield,,165,34.6,PA,9.7,1.9,9.1,4.8,98.2,0.0,1.8,0.0,-0.0,0.0,82.3,1.6
15711,15711,2021,Anita,Jefferson,43750.0,315,40.2,PA,12.7,8.2,19.4,4.4,100.0,0.0,0.0,0.0,0.0,2.9,77.2,9.6
15715,15715,2021,Big Run,Jefferson,43750.0,505,44.8,PA,21.0,5.6,9.3,2.7,97.0,0.0,0.8,0.0,2.2,6.2,75.5,12.3
15721,15721,2021,Burnside,Clearfield,51875.0,168,50.8,PA,12.5,0.0,0.0,6.4,100.0,0.0,0.0,0.0,0.0,21.6,82.1,11.5
15724,15724,2021,Cherry Tree,Clearfield,52396.0,2176,52.5,PA,7.4,3.2,5.3,6.3,98.7,0.0,0.7,0.0,0.6,6.0,86.8,13.9
15730,15730,2021,Coolspring,Jefferson,55893.0,172,37.1,PA,27.3,15.6,0.0,0.0,81.4,0.0,0.0,0.0,18.6,0.0,85.0,13.3
15733,15733,2021,De Lancey,Jefferson,14926.0,130,45.1,PA,42.3,0.0,0.0,54.1,100.0,0.0,0.0,0.0,0.0,0.0,93.4,68.9
15742,15742,2021,Glen Campbell,Clearfield,54844.0,989,40.3,PA,7.2,10.3,4.5,7.0,99.7,0.0,0.0,0.0,0.3,3.6,80.8,14.6
15744,15744,2021,Hamilton,Jefferson,96250.0,36,41.0,PA,0.0,17.4,0.0,0.0,94.4,0.0,5.6,0.0,-0.0,0.0,63.6,0.0
15753,15753,2021,La Jose,Clearfield,44375.0,458,43.2,PA,17.0,5.6,14.3,3.4,99.3,0.0,0.0,0.0,0.7,12.6,84.1,22.2
15757,15757,2021,Mahaffey,Clearfield,40417.0,1350,51.4,PA,17.4,4.5,3.7,3.9,96.2,0.0,3.4,0.0,0.4,6.0,85.6,20.6
15763,15763,2021,Northpoint,Jefferson,107857.0,15,68.2,PA,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,41.7,0.0
15764,15764,2021,Oliveburg,Jefferson,34000.0,93,62.5,PA,22.6,17.3,100.0,0.0,94.6,0.0,0.0,0.0,5.4,0.0,90.5,4.8
15767,15767,2021,Punxsutawney,Clearfield,46563.0,14259,44.0,PA,18.6,12.3,16.4,10.5,96.9,0.3,0.6,0.6,1.6,4.6,72.7,15.6
15770,15770,2021,Ringgold,Jefferson,56250.0,192,63.4,PA,20.3,4.7,11.1,1.2,93.8,0.0,6.2,0.0,0.0,5.4,89.5,4.7
15772,15772,2021,Rossiter,Jefferson,42000.0,1658,38.7,PA,15.4,5.8,12.9,13.7,97.7,0.0,0.0,0.0,2.3,8.0,75.5,18.5
15776,15776,2021,Sprankle Mills,Jefferson,24750.0,46,41.8,PA,4.3,18.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,92.3,7.7
15778,15778,2021,Timblin,Jefferson,93500.0,368,43.8,PA,3.0,5.8,0.0,7.8,93.2,0.0,6.8,0.0,-0.0,1.6,98.4,12.5
15780,15780,2021,Valier,Jefferson,62917.0,109,55.2,PA,12.8,9.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,93.9,22.4
15781,15781,2021,Walston,Jefferson,45938.0,94,61.7,PA,0.0,11.1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12.9,97.8,2.2
15784,15784,2021,Worthville,Jefferson,70000.0,63,57.2,PA,1.6,10.5,33.3,0.0,98.4,0.0,1.6,0.0,-0.0,0.0,90.6,6.2
15801,15801,2021,Du Bois,Clearfield,56197.0,20275,45.3,PA,11.2,19.3,22.7,7.8,95.6,0.9,2.3,0.7,0.5,4.4,71.5,16.9
15821,15821,2021,Benezett,Elk,47625.0,91,57.3,PA,2.2,9.0,0.0,0.0,96.7,0.0,0.0,0.0,3.3,9.1,87.8,0.0
15823,15823,2021,Brockport,Clearfield,56932.0,1246,45.4,PA,8.7,9.2,5.9,4.5,98.7,0.1,0.0,0.0,1.2,4.1,87.3,9.0
15824,15824,2021,Brockway,Clearfield,54579.0,5132,45.8,PA,11.8,9.4,8.1,6.0,96.6,0.7,0.3,0.0,2.4,3.7,77.5,14.7
15825,15825,2021,Brookville,Jefferson,58534.0,9652,42.6,PA,12.0,12.0,15.2,4.9,95.6,0.5,2.2,0.0,1.7,5.4,74.1,13.1
15827,15827,2021,Byrnedale,Elk,71250.0,334,50.1,PA,9.6,12.0,,8.3,100.0,0.0,0.0,0.0,0.0,2.6,100.0,7.5
15828,15828,2021,Clarington,Jefferson,34000.0,211,61.1,PA,11.4,7.1,13.3,6.5,93.8,0.0,6.2,0.0,0.0,5.1,86.1,9.3
15829,15829,2021,Corsica,Jefferson,64896.0,1201,44.4,PA,8.4,15.1,14.5,3.2,96.6,0.2,0.2,0.0,3.0,4.3,85.2,16.1
15831,15831,2021,Dagus Mines,Elk,,49,49.3,PA,0.0,0.0,,0.0,75.5,0.0,0.0,0.0,24.5,0.0,100.0,61.3
15832,15832,2021,Driftwood,Clearfield,35893.0,247,63.7,PA,10.9,5.2,0.0,3.1,91.5,0.0,0.4,0.0,8.1,26.0,82.9,20.2
15834,15834,2021,Emporium,Elk,43816.0,4221,50.7,PA,16.2,8.3,18.1,11.1,93.7,0.1,1.4,0.1,4.7,8.4,69.7,24.9
15840,15840,2021,Falls Creek,Clearfield,49946.0,1753,48.0,PA,15.9,12.8,28.2,4.6,97.0,0.9,0.0,0.6,1.5,6.6,79.9,15.8
15841,15841,2021,Force,Elk,,211,43.8,PA,1.5,0.0,0.0,24.2,100.0,0.0,0.0,0.0,0.0,0.0,84.6,7.7
15845,15845,2021,Johnsonburg,Elk,50800.0,2922,46.1,PA,12.8,12.2,5.5,7.7,96.2,0.0,2.7,0.0,1.1,6.1,75.5,15.5
15846,15846,2021,Kersey,Clearfield,71890.0,3309,49.0,PA,3.5,11.0,0.0,0.0,96.8,1.7,0.0,1.5,0.0,4.4,87.7,6.4
15847,15847,2021,Knox Dale,Jefferson,30625.0,45,31.9,PA,28.9,0.0,63.6,0.0,100.0,0.0,0.0,0.0,0.0,9.7,47.6,33.3
15848,15848,2021,Luthersburg,Clearfield,54083.0,835,46.4,PA,5.6,13.2,0.0,7.5,97.2,0.0,1.2,1.3,0.3,9.5,91.3,13.7
15849,15849,2021,Penfield,Clearfield,47442.0,1259,49.5,PA,12.8,5.4,24.1,3.2,98.4,0.1,0.0,1.0,0.5,2.1,84.3,17.2
15851,15851,2021,Reynoldsville,Clearfield,53887.0,7074,40.3,PA,14.0,8.0,19.8,10.2,95.9,0.7,0.6,0.3,2.5,7.1,76.8,16.3
15853,15853,2021,Ridgway,Jefferson,58314.0,6400,44.6,PA,11.0,13.9,15.3,9.6,96.5,1.4,0.7,0.0,1.4,5.7,75.5,17.2
15856,15856,2021,Rockton,Clearfield,53203.0,842,55.0,PA,8.3,11.1,8.1,3.6,98.1,0.0,1.0,0.2,0.7,0.8,90.4,12.2
15857,15857,2021,Saint Marys,Elk,58472.0,13029,49.3,PA,8.6,14.0,16.3,8.6,96.0,0.4,1.1,0.3,2.2,7.8,77.5,14.8
15860,15860,2021,Sigel,Jefferson,59420.0,1155,53.5,PA,8.8,6.7,1.3,4.7,99.2,0.0,0.2,0.2,0.4,4.2,85.2,10.3
15861,15861,2021,Sinnamahoning,Clearfield,43750.0,111,62.1,PA,16.2,14.7,0.0,3.3,94.6,0.0,0.0,0.0,5.4,4.2,90.0,6.7
15863,15863,2021,Stump Creek,Jefferson,29821.0,134,53.8,PA,17.6,0.0,100.0,0.0,97.8,0.0,2.2,0.0,0.0,0.0,97.1,27.5
15864,15864,2021,Summerville,Jefferson,56071.0,1795,44.1,PA,10.6,11.9,3.9,3.4,98.7,0.0,1.2,0.0,0.1,5.2,78.3,11.0
15865,15865,2021,Sykesville,Clearfield,38750.0,1066,44.8,PA,19.0,9.8,7.8,6.6,99.2,0.0,0.8,0.0,-0.0,5.8,61.7,23.5
15866,15866,2021,Troutville,Clearfield,66250.0,218,29.0,PA,4.6,4.2,0.0,24.1,94.0,0.0,0.0,0.0,6.0,2.3,87.9,12.1
15868,15868,2021,Weedville,Clearfield,54331.0,1838,46.7,PA,14.2,14.8,18.6,1.1,96.6,0.0,0.0,0.0,3.4,6.8,86.6,19.0
15870,15870,2021,Wilcox,Elk,48287.0,1249,46.6,PA,13.6,10.5,0.0,1.9,95.4,0.0,0.0,0.7,3.9,3.5,92.2,8.8
16020,16020,2021,Boyers,Venango,71161.0,1201,44.1,PA,8.2,12.6,0.0,1.6,98.3,0.3,0.3,0.3,0.8,6.6,87.6,11.3
16028,16028,2021,East Brady,Clarion,49410.0,2040,46.5,PA,10.8,12.2,10.0,8.5,92.2,0.2,1.4,0.4,5.8,4.0,71.1,20.6
16036,16036,2021,Foxburg,Clarion,50536.0,316,50.8,PA,8.5,23.7,9.8,3.9,95.9,0.0,2.2,0.0,1.9,14.2,68.0,20.3
16038,16038,2021,Harrisville,Venango,69063.0,3404,45.4,PA,7.2,12.3,6.3,6.6,97.8,0.4,0.2,0.0,1.6,5.6,81.5,7.0
16041,16041,2021,Karns City,Clarion,59550.0,2060,47.0,PA,11.4,12.3,25.7,4.5,98.0,0.0,0.0,0.0,2.0,3.6,85.6,17.2
16049,16049,2021,Parker,Clarion,55568.0,3092,45.5,PA,10.9,7.9,12.9,4.4,96.5,0.6,0.5,0.0,2.4,7.0,78.3,20.6
16054,16054,2021,Saint Petersburg,Clarion,52500.0,344,56.0,PA,7.0,9.6,23.3,4.1,98.8,0.0,0.0,0.0,1.2,6.8,82.4,6.5
16110,16110,2021,Adamsville,Crawford,73938.0,456,45.8,PA,3.9,9.4,0.0,12.6,100.0,0.0,0.0,0.0,0.0,0.0,94.6,9.0
16111,16111,2021,Atlantic,Crawford,50556.0,1206,34.4,PA,15.8,3.2,13.7,23.3,95.6,0.5,0.0,0.2,3.7,5.1,87.4,7.2
16125,16125,2021,Greenville,Crawford,52646.0,17627,44.6,PA,10.8,15.0,12.9,8.5,94.2,1.0,1.3,0.5,3.0,6.8,69.0,19.7
16127,16127,2021,Grove City,Venango,65538.0,15466,35.9,PA,9.3,18.4,15.5,5.8,92.5,2.3,2.0,0.5,2.7,3.9,72.1,13.1
16130,16130,2021,Hadley,Crawford,51607.0,2110,45.1,PA,14.3,10.8,13.7,8.5,96.7,0.0,0.8,0.1,2.4,5.5,82.5,9.4
16131,16131,2021,Hartstown,Crawford,53393.0,909,47.3,PA,10.6,5.4,24.7,7.4,97.7,0.0,1.7,0.0,0.6,4.5,77.5,15.1
16134,16134,2021,Jamestown,Crawford,49714.0,3804,51.0,PA,11.5,8.4,13.0,5.4,97.8,0.1,1.0,0.2,0.9,5.3,85.4,17.1
16145,16145,2021,Sandy Lake,Venango,56250.0,2616,46.5,PA,9.5,17.8,8.6,2.1,93.8,0.1,1.8,0.0,4.3,4.5,84.0,11.8
16153,16153,2021,Stoneboro,Venango,58071.0,2228,43.3,PA,14.2,14.7,12.6,5.3,95.8,0.0,1.2,0.5,2.5,1.8,79.4,15.0
16213,16213,2021,Callensburg,Clarion,43125.0,125,44.8,PA,16.0,2.2,0.0,16.1,99.2,0.0,0.0,0.0,0.8,2.1,73.2,10.7
16214,16214,2021,Clarion,Clarion,47321.0,8744,28.5,PA,24.5,23.0,31.8,9.2,90.4,4.8,2.7,1.1,1.0,10.4,49.4,18.4
16217,16217,2021,Cooksburg,Jefferson,45125.0,99,64.8,PA,0.0,22.2,0.0,15.1,100.0,0.0,0.0,0.0,0.0,0.0,83.0,13.2
16218,16218,2021,Cowansville,Clarion,66250.0,1241,39.1,PA,9.8,13.9,39.3,1.2,90.2,7.6,0.0,0.0,2.2,9.7,93.3,14.1
16220,16220,2021,Crown,Clarion,,99,50.0,PA,15.2,4.0,,34.9,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
16222,16222,2021,Dayton,Jefferson,51994.0,2866,37.8,PA,9.5,12.4,25.9,15.0,98.7,0.0,0.0,0.7,0.6,8.0,86.8,12.5
16224,16224,2021,Fairmount City,Clarion,62961.0,969,50.8,PA,9.2,8.4,0.0,5.7,98.0,0.0,0.8,0.0,1.2,3.1,84.9,11.2
16230,16230,2021,Hawthorn,Clarion,42083.0,526,40.7,PA,7.8,9.6,22.7,3.1,98.9,1.0,0.2,0.0,0.0,11.0,77.0,16.2
16232,16232,2021,Knox,Clarion,48558.0,4316,42.1,PA,14.8,12.8,16.4,9.1,97.5,0.0,0.5,0.0,2.0,5.7,72.8,20.5
16233,16233,2021,Leeper,Jefferson,78684.0,1087,48.8,PA,11.8,12.1,13.8,2.1,98.9,0.0,0.7,0.0,0.4,5.9,85.1,14.2
16235,16235,2021,Lucinda,Clarion,70250.0,1253,43.5,PA,4.9,18.3,9.6,1.0,91.4,0.0,0.7,0.4,7.5,2.0,90.0,4.2
16239,16239,2021,Marienville,Elk,42411.0,4321,37.4,PA,15.7,7.1,0.0,3.7,56.7,29.2,6.5,2.3,5.3,4.6,83.3,21.7
16240,16240,2021,Mayport,Jefferson,56250.0,1655,41.4,PA,12.8,8.4,19.4,8.2,99.2,0.7,0.0,0.2,0.0,3.7,78.4,18.9
16242,16242,2021,New Bethlehem,Clarion,52500.0,4401,44.8,PA,13.6,10.1,15.4,9.1,97.9,0.3,0.4,0.6,0.8,4.8,73.3,13.9
16245,16245,2021,Oak Ridge,Clarion,43929.0,305,45.6,PA,7.9,14.2,9.5,10.5,95.4,0.0,3.3,1.3,-0.0,11.7,66.1,32.3
16248,16248,2021,Rimersburg,Clarion,52368.0,3127,49.5,PA,16.5,8.5,20.4,4.9,94.0,1.0,1.5,1.0,2.5,7.1,75.4,16.7
16254,16254,2021,Shippenville,Clarion,52917.0,3642,43.4,PA,10.9,15.5,7.6,4.7,95.9,1.4,0.3,0.3,2.1,5.1,81.5,12.2
16255,16255,2021,Sligo,Clarion,53125.0,1821,47.1,PA,13.8,10.5,27.2,9.8,95.9,0.1,0.1,0.1,3.8,4.1,76.7,14.8
16256,16256,2021,Smicksburg,Jefferson,52902.0,2136,18.8,PA,24.4,7.1,0.0,46.2,99.3,0.0,0.4,0.0,0.3,3.3,92.7,7.3
16258,16258,2021,Strattanville,Jefferson,47891.0,1652,44.7,PA,12.2,10.8,12.3,8.3,94.1,0.2,0.0,0.0,5.7,1.7,62.5,19.3
16259,16259,2021,Templeton,Clarion,49667.0,2089,46.9,PA,11.3,4.0,8.6,3.7,97.4,0.0,1.8,0.0,0.8,8.1,82.5,18.3
16260,16260,2021,Vowinckel,Clarion,45547.0,312,57.5,PA,10.9,8.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,91.5,13.4
16301,16301,2021,Oil City,Venango,51680.0,15063,44.8,PA,14.6,14.7,14.3,9.8,93.7,1.1,1.4,0.1,3.7,8.5,70.3,25.4
