ZCTA5CE20,zcta,year,area_name,county_name,median_household_income,total_population,median_age,state,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,snap_participation_rate
15851,15851,2020,Reynoldsville,Clearfield,50308.0,6478,39.8,PA,12.7,9.2,18.9,8.4,97.5,0.7,0.5,0.2,1.1,7.1,76.0,19.1
15853,15853,2020,Ridgway,Jefferson,54081.0,6379,44.7,PA,15.3,14.2,20.7,8.6,94.9,1.3,2.4,0.0,1.4,7.4,77.4,17.9
15856,15856,2020,Rockton,Clearfield,51053.0,804,56.9,PA,6.3,10.5,8.7,1.3,99.0,0.0,0.4,0.4,0.2,4.6,93.8,7.5
15857,15857,2020,Saint Marys,Elk,54970.0,12433,49.1,PA,9.1,14.1,14.1,9.1,97.9,0.2,0.6,0.3,1.0,6.3,73.5,13.2
15860,15860,2020,Sigel,Jefferson,56118.0,1075,54.2,PA,9.0,7.0,2.5,1.8,99.3,0.0,0.2,0.2,0.3,3.0,84.3,9.0
15861,15861,2020,Sinnamahoning,Clearfield,35625.0,135,61.4,PA,14.8,14.4,12.5,0.0,95.6,0.0,0.0,0.0,4.4,4.6,89.5,10.5
15863,15863,2020,Stump Creek,Jefferson,41607.0,184,53.4,PA,7.7,0.0,25.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,95.6,22.0
15864,15864,2020,Summerville,Jefferson,48958.0,1489,46.7,PA,12.5,8.9,5.3,3.2,99.5,0.0,0.2,0.0,0.3,5.7,81.8,13.0
15865,15865,2020,Sykesville,Clearfield,40560.0,1272,43.7,PA,14.9,7.9,8.3,8.0,99.5,0.0,0.5,0.0,0.0,4.9,63.3,17.6
15866,15866,2020,Troutville,Clearfield,54583.0,259,28.2,PA,15.1,2.9,0.0,28.4,100.0,0.0,0.0,0.0,0.0,2.1,87.7,11.1
15868,15868,2020,Weedville,Clearfield,55417.0,1448,49.4,PA,10.0,15.4,0.0,0.3,98.3,0.0,0.0,1.2,0.5,6.7,86.8,17.6
15870,15870,2020,Wilcox,Elk,48816.0,1151,48.1,PA,12.7,11.5,30.9,2.6,97.8,0.0,0.0,0.4,1.8,4.2,89.9,8.6
16020,16020,2020,Boyers,Venango,54821.0,1006,43.8,PA,7.4,10.2,3.3,2.0,97.6,0.1,0.4,0.7,1.2,7.0,84.8,9.0
16028,16028,2020,East Brady,Clarion,47125.0,1692,46.0,PA,13.1,10.9,10.7,8.8,93.0,0.0,0.2,0.4,6.4,5.0,72.8,20.3
16036,16036,2020,Foxburg,Clarion,49583.0,322,54.0,PA,6.5,25.7,7.9,2.9,93.5,0.0,4.3,0.0,2.2,11.4,72.3,19.0
16038,16038,2020,Harrisville,Venango,69931.0,3656,43.4,PA,6.7,15.7,7.7,6.9,98.3,0.5,0.1,0.0,1.1,5.4,82.0,7.3
