agency_name,agency_ref,county,program_type,first_month,last_month,total_individuals_served,months_reported
Tuesday Group - SHFB MOBILE,10703-A,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,4090.0,12
Union City - FP,01340,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,3576.0,12
Union City - SHFB MOBILE,10702,Erie,Produce Express,2024-07-31,2025-06-30,1816.0,11
Union City Full Gospel Church - FP,01599,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,276.0,12
Waterford - FP,01139,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,2678.0,12
Wednesday Group - SHFB MOBILE,10703-B,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,5964.0,12
Wesleyville Interfaith - FP,01163,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,2303.0,12
West Millcreek - FP,01126,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,5341.0,12
Wilson Middle School - SCHOOL PANTRY,09752,Erie,School Pantry,2024-07-31,2025-05-31,0.0,10
Women's Care Center- Downtown Office,05245,Erie,Non-Emerg. Meal/Snack,2025-01-31,2025-06-30,166.0,6
Women's Care Center- Peach Street,05246,Erie,Non-Emerg. Meal/Snack,2024-09-30,2024-09-30,12.0,1
Womens Care Center Education Program,05016,Erie,Non-Emerg. Meal/Snack,2024-07-31,2025-06-30,284.0,7
Zem Zem - SHFB MOBILE,10703-D,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,2994.0,12
