geoid,county,year,NAME,total_households,hh_bottom,hh_middle,hh_top,share_bottom,share_middle,share_top,under_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus,share_under_10k,share_10k_15k,share_15k_20k,share_20k_25k,share_25k_30k,share_30k_35k,share_35k_40k,share_40k_45k,share_45k_50k,share_50k_60k,share_60k_75k,share_75k_100k,share_100k_125k,share_125k_150k,share_150k_200k,share_200k_plus
42039110300,Crawford,2022,Census Tract 1103; Crawford County; Pennsylvania,1717,507,616,594,29.53,35.88,34.6,65,88,116,120,68,50,39,86,119,168,204,289,149,44,55,57,3.79,5.13,6.76,6.99,3.96,2.91,2.27,5.01,6.93,9.78,11.88,16.83,8.68,2.56,3.2,3.32
42039110300,Crawford,2023,Census Tract 1103; Crawford County; Pennsylvania,1741,532,590,619,30.56,33.89,35.55,82,90,117,111,92,40,41,45,127,171,206,256,174,61,50,78,4.71,5.17,6.72,6.38,5.28,2.3,2.35,2.58,7.29,9.82,11.83,14.7,9.99,3.5,2.87,4.48
42039110400,Crawford,2019,"Census Tract 1104, Crawford County, Pennsylvania",1224,528,363,333,43.14,29.66,27.21,87,95,75,108,77,86,74,25,45,84,135,153,65,37,43,35,7.11,7.76,6.13,8.82,6.29,7.03,6.05,2.04,3.68,6.86,11.03,12.5,5.31,3.02,3.51,2.86
42039110400,Crawford,2020,"Census Tract 1104, Crawford County, Pennsylvania",1186,487,370,329,41.06,31.2,27.74,67,83,55,91,74,117,48,23,56,96,147,161,53,27,41,47,5.65,7.0,4.64,7.67,6.24,9.87,4.05,1.94,4.72,8.09,12.39,13.58,4.47,2.28,3.46,3.96
42039110400,Crawford,2021,"Census Tract 1104, Crawford County, Pennsylvania",1110,409,385,316,36.85,34.68,28.47,68,82,43,81,47,88,71,44,52,71,147,120,83,32,39,42,6.13,7.39,3.87,7.3,4.23,7.93,6.4,3.96,4.68,6.4,13.24,10.81,7.48,2.88,3.51,3.78
42039110400,Crawford,2022,Census Tract 1104; Crawford County; Pennsylvania,1095,394,379,322,35.98,34.61,29.41,47,46,73,74,61,93,61,55,25,97,141,136,41,54,52,39,4.29,4.2,6.67,6.76,5.57,8.49,5.57,5.02,2.28,8.86,12.88,12.42,3.74,4.93,4.75,3.56
42039110400,Crawford,2023,Census Tract 1104; Crawford County; Pennsylvania,1111,328,407,376,29.52,36.63,33.84,47,45,52,81,57,46,55,51,39,108,154,134,95,45,61,41,4.23,4.05,4.68,7.29,5.13,4.14,4.95,4.59,3.51,9.72,13.86,12.06,8.55,4.05,5.49,3.69
42039110501,Crawford,2019,"Census Tract 1105.01, Crawford County, Pennsylvania",772,189,282,301,24.48,36.53,38.99,38,14,28,44,25,40,19,28,21,79,135,121,57,56,30,37,4.92,1.81,3.63,5.7,3.24,5.18,2.46,3.63,2.72,10.23,17.49,15.67,7.38,7.25,3.89,4.79
42039110501,Crawford,2020,"Census Tract 1105.01, Crawford County, Pennsylvania",800,206,275,319,25.75,34.38,39.88,38,21,39,45,43,20,22,33,20,89,111,198,48,38,10,25,4.75,2.62,4.88,5.62,5.38,2.5,2.75,4.12,2.5,11.12,13.88,24.75,6.0,4.75,1.25,3.12
42039110501,Crawford,2021,"Census Tract 1105.01, Crawford County, Pennsylvania",749,141,273,335,18.83,36.45,44.73,16,15,42,21,26,21,13,55,33,83,89,155,98,31,28,23,2.14,2.0,5.61,2.8,3.47,2.8,1.74,7.34,4.41,11.08,11.88,20.69,13.08,4.14,3.74,3.07
42039110501,Crawford,2022,Census Tract 1105.01; Crawford County; Pennsylvania,749,145,259,345,19.36,34.58,46.06,6,28,31,15,25,40,24,26,45,71,93,161,89,57,19,19,0.8,3.74,4.14,2.0,3.34,5.34,3.2,3.47,6.01,9.48,12.42,21.5,11.88,7.61,2.54,2.54
42039110501,Crawford,2023,Census Tract 1105.01; Crawford County; Pennsylvania,761,167,284,310,21.94,37.32,40.74,13,29,5,27,44,49,41,24,50,66,103,133,80,64,21,12,1.71,3.81,0.66,3.55,5.78,6.44,5.39,3.15,6.57,8.67,13.53,17.48,10.51,8.41,2.76,1.58
42039110502,Crawford,2019,"Census Tract 1105.02, Crawford County, Pennsylvania",1725,508,523,694,29.45,30.32,40.23,127,45,62,94,87,93,42,78,55,182,166,285,188,78,96,47,7.36,2.61,3.59,5.45,5.04,5.39,2.43,4.52,3.19,10.55,9.62,16.52,10.9,4.52,5.57,2.72
42039110502,Crawford,2020,"Census Tract 1105.02, Crawford County, Pennsylvania",1555,482,522,551,31.0,33.57,35.43,110,28,80,129,57,78,61,72,26,169,194,244,138,73,60,36,7.07,1.8,5.14,8.3,3.67,5.02,3.92,4.63,1.67,10.87,12.48,15.69,8.87,4.69,3.86,2.32
42039110502,Crawford,2021,"Census Tract 1105.02, Crawford County, Pennsylvania",1389,425,466,498,30.6,33.55,35.85,111,23,66,96,73,56,59,63,37,101,206,264,97,45,56,36,7.99,1.66,4.75,6.91,5.26,4.03,4.25,4.54,2.66,7.27,14.83,19.01,6.98,3.24,4.03,2.59
42039110502,Crawford,2022,Census Tract 1105.02; Crawford County; Pennsylvania,1414,435,392,587,30.76,27.72,41.51,94,57,54,60,76,94,38,58,49,131,116,260,120,56,51,100,6.65,4.03,3.82,4.24,5.37,6.65,2.69,4.1,3.47,9.26,8.2,18.39,8.49,3.96,3.61,7.07
42039110502,Crawford,2023,Census Tract 1105.02; Crawford County; Pennsylvania,1434,424,377,633,29.57,26.29,44.14,77,38,83,72,88,66,53,65,56,124,79,268,142,45,60,118,5.37,2.65,5.79,5.02,6.14,4.6,3.7,4.53,3.91,8.65,5.51,18.69,9.9,3.14,4.18,8.23
42039110600,Crawford,2019,"Census Tract 1106, Crawford County, Pennsylvania",1223,262,453,508,21.42,37.04,41.54,33,33,36,49,56,55,56,77,21,116,183,220,96,99,54,39,2.7,2.7,2.94,4.01,4.58,4.5,4.58,6.3,1.72,9.48,14.96,17.99,7.85,8.09,4.42,3.19
42039110600,Crawford,2020,"Census Tract 1106, Crawford County, Pennsylvania",1300,263,485,552,20.23,37.31,42.46,60,27,30,35,49,62,29,39,12,251,154,274,119,59,74,26,4.62,2.08,2.31,2.69,3.77,4.77,2.23,3.0,0.92,19.31,11.85,21.08,9.15,4.54,5.69,2.0
42039110600,Crawford,2021,"Census Tract 1106, Crawford County, Pennsylvania",1238,272,476,490,21.97,38.45,39.58,55,25,51,21,59,61,32,38,5,154,247,204,129,38,94,25,4.44,2.02,4.12,1.7,4.77,4.93,2.58,3.07,0.4,12.44,19.95,16.48,10.42,3.07,7.59,2.02
42039110600,Crawford,2022,Census Tract 1106; Crawford County; Pennsylvania,1200,194,480,526,16.17,40.0,43.83,48,19,25,29,55,18,87,5,36,37,315,99,226,58,112,31,4.0,1.58,2.08,2.42,4.58,1.5,7.25,0.42,3.0,3.08,26.25,8.25,18.83,4.83,9.33,2.58
42039110600,Crawford,2023,Census Tract 1106; Crawford County; Pennsylvania,1227,208,415,604,16.95,33.82,49.23,84,29,19,24,8,44,78,10,39,41,247,134,209,118,124,19,6.85,2.36,1.55,1.96,0.65,3.59,6.36,0.81,3.18,3.34,20.13,10.92,17.03,9.62,10.11,1.55
42039110700,Crawford,2019,"Census Tract 1107, Crawford County, Pennsylvania",1606,442,628,536,27.52,39.1,33.37,40,53,62,82,103,102,86,162,61,125,194,219,103,72,96,46,2.49,3.3,3.86,5.11,6.41,6.35,5.35,10.09,3.8,7.78,12.08,13.64,6.41,4.48,5.98,2.86
42039110700,Crawford,2020,"Census Tract 1107, Crawford County, Pennsylvania",1543,411,630,502,26.64,40.83,32.53,23,39,58,93,69,129,65,224,46,91,204,230,113,53,59,47,1.49,2.53,3.76,6.03,4.47,8.36,4.21,14.52,2.98,5.9,13.22,14.91,7.32,3.43,3.82,3.05
42039110700,Crawford,2021,"Census Tract 1107, Crawford County, Pennsylvania",1382,289,592,501,20.91,42.84,36.25,36,38,47,40,40,88,53,164,114,98,163,184,149,70,55,43,2.6,2.75,3.4,2.89,2.89,6.37,3.84,11.87,8.25,7.09,11.79,13.31,10.78,5.07,3.98,3.11
42039110700,Crawford,2022,Census Tract 1107; Crawford County; Pennsylvania,1349,215,582,552,15.94,43.14,40.92,36,29,39,29,37,45,59,53,182,124,164,184,122,131,54,61,2.67,2.15,2.89,2.15,2.74,3.34,4.37,3.93,13.49,9.19,12.16,13.64,9.04,9.71,4.0,4.52
42039110700,Crawford,2023,Census Tract 1107; Crawford County; Pennsylvania,1335,167,591,577,12.51,44.27,43.22,34,25,26,34,18,30,51,55,123,201,161,218,112,121,68,58,2.55,1.87,1.95,2.55,1.35,2.25,3.82,4.12,9.21,15.06,12.06,16.33,8.39,9.06,5.09,4.34
42039110800,Crawford,2019,"Census Tract 1108, Crawford County, Pennsylvania",1874,511,668,695,27.27,35.65,37.09,73,73,102,82,77,104,107,92,127,156,186,330,171,90,72,32,3.9,3.9,5.44,4.38,4.11,5.55,5.71,4.91,6.78,8.32,9.93,17.61,9.12,4.8,3.84,1.71
42039110800,Crawford,2020,"Census Tract 1108, Crawford County, Pennsylvania",1818,462,623,733,25.41,34.27,40.32,63,77,82,89,67,84,97,72,111,156,187,327,182,93,95,36,3.47,4.24,4.51,4.9,3.69,4.62,5.34,3.96,6.11,8.58,10.29,17.99,10.01,5.12,5.23,1.98
42039110800,Crawford,2021,"Census Tract 1108, Crawford County, Pennsylvania",1792,441,569,782,24.61,31.75,43.64,49,93,87,57,73,82,76,80,82,155,176,321,193,76,129,63,2.73,5.19,4.85,3.18,4.07,4.58,4.24,4.46,4.58,8.65,9.82,17.91,10.77,4.24,7.2,3.52
42039110800,Crawford,2022,Census Tract 1108; Crawford County; Pennsylvania,1842,402,587,853,21.82,31.87,46.31,65,79,66,61,58,73,74,70,89,200,154,287,205,123,161,77,3.53,4.29,3.58,3.31,3.15,3.96,4.02,3.8,4.83,10.86,8.36,15.58,11.13,6.68,8.74,4.18
42039110800,Crawford,2023,Census Tract 1108; Crawford County; Pennsylvania,1871,385,568,918,20.58,30.36,49.06,78,87,46,52,65,57,64,56,84,188,176,301,208,142,134,133,4.17,4.65,2.46,2.78,3.47,3.05,3.42,2.99,4.49,10.05,9.41,16.09,11.12,7.59,7.16,7.11
42039110900,Crawford,2019,"Census Tract 1109, Crawford County, Pennsylvania",1262,471,469,322,37.32,37.16,25.52,54,80,78,86,105,68,58,72,61,79,199,164,69,30,47,12,4.28,6.34,6.18,6.81,8.32,5.39,4.6,5.71,4.83,6.26,15.77,13.0,5.47,2.38,3.72,0.95
42039110900,Crawford,2020,"Census Tract 1109, Crawford County, Pennsylvania",1321,446,432,443,33.76,32.7,33.54,39,64,66,68,91,118,55,54,67,69,187,268,77,20,55,23,2.95,4.84,5.0,5.15,6.89,8.93,4.16,4.09,5.07,5.22,14.16,20.29,5.83,1.51,4.16,1.74
42039110900,Crawford,2021,"Census Tract 1109, Crawford County, Pennsylvania",1167,394,374,399,33.76,32.05,34.19,46,40,61,75,84,88,39,56,31,97,151,240,52,56,37,14,3.94,3.43,5.23,6.43,7.2,7.54,3.34,4.8,2.66,8.31,12.94,20.57,4.46,4.8,3.17,1.2
42039110900,Crawford,2022,Census Tract 1109; Crawford County; Pennsylvania,1169,321,358,490,27.46,30.62,41.92,40,40,44,55,81,61,56,27,63,84,128,182,154,59,68,27,3.42,3.42,3.76,4.7,6.93,5.22,4.79,2.31,5.39,7.19,10.95,15.57,13.17,5.05,5.82,2.31
42039110900,Crawford,2023,Census Tract 1109; Crawford County; Pennsylvania,1171,255,414,502,21.78,35.35,42.87,51,27,24,47,62,44,74,30,53,97,160,168,155,84,59,36,4.36,2.31,2.05,4.01,5.29,3.76,6.32,2.56,4.53,8.28,13.66,14.35,13.24,7.17,5.04,3.07
