ZCTA5CE20,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles,nearest_pantry_miles,nearest_snap_miles,no_vehicle_rate,poverty_rate,median_household_income,total_population,area_name,county_name,unemployment_rate,no_insurance_rate
16322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,35005.31237511028,21.75,24823.13377953407,15.42,26095.06154872812,16.21,50235.1767561839,31.21,32021.401405857152,19.9,25018.56190974964,15.55,8.7,1.85,6.0,43.6,23500.0,117,Endeavor,Forest,6.0,8.2
16217,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,6.52,67585.57304319435,42.0,52294.824515091415,32.49,53316.38406292092,33.13,82318.02500198763,51.15,61400.78653984216,38.15,52662.2536798886,32.72,8.96,1.87,0.0,4.6,54219.0,87,Cooksburg,Jefferson,0.0,8.7
16503,5,0,15,26,15,0,0,29,1,0,3,0,4,1,3,61,97,140,0.24,936.11048653452,0.58,2242.941203318004,1.39,1077.0390291347348,0.67,2253.9606638862333,1.4,1335.597542447842,0.83,1169.0040500392738,0.73,0.42,0.25,30.0,39.7,29108.0,15204,Erie East,Erie,12.4,18.4
16127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,39127.252162175086,24.31,52291.685526492016,32.49,49548.47966003818,30.79,52105.07128792,32.38,51238.3486737642,31.84,43087.58635304047,26.77,19.72,5.15,6.3,9.3,69842.0,15295,Grove City,Venango,3.4,6.7
16546,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,8,0.37,549.6311794466936,0.34,862.5682874951444,0.54,193.29561173662677,0.12,202.28419829836,0.13,2188.577733635643,1.36,889.4405210480334,0.55,1.0,0.37,,,,1138,Erie,Erie,6.1,6.6
16686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97,176385.5222755468,109.6,161330.19875229598,100.25,162290.61889370403,100.84,191398.21003855605,118.93,170560.86756154988,105.98,161714.01354694096,100.48,15.55,11.98,7.9,10.7,65641.0,13000,Tyrone,Clearfield,4.9,7.4
16646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.71,146277.3531699905,90.89,133020.91349112548,82.66,133799.62855957917,83.14,160529.6820672938,99.75,142483.94617056442,88.54,133441.1394075214,82.92,22.15,5.27,6.0,5.9,61929.0,2124,Hastings,Clearfield,3.6,7.3
16427,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.75,7530.421684830178,4.68,24241.71762578249,15.06,8601.313266267689,5.34,7604.682605945536,4.73,10677.204326204292,6.63,12614.331359969348,7.84,4.93,1.76,2.3,10.1,58636.0,228,Mill Village,Erie,4.2,7.3
15847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,98702.0808420396,61.33,81608.35593416284,50.71,82462.3101503628,51.24,112087.92870668406,69.65,91025.56026466704,56.56,82016.64151048743,50.96,6.18,5.31,0.0,0.0,84583.0,80,Knox Dale,Jefferson,0.0,7.4
16563,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1.48,5368.357094969468,3.34,6644.102566602006,4.13,2694.118090302962,1.67,418.25784140523456,0.26,729.0132569695586,0.45,2859.503372718837,1.78,1.97,0.66,,,,1561,Erie Penn State Behrend,Erie,7.6,7.1
15724,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.19,135953.39683187284,84.48,123224.41727465442,76.57,123975.7768769457,77.04,150243.5905321787,93.36,132692.90564263784,82.45,123648.4546760433,76.83,16.26,1.0,5.7,9.6,65625.0,2069,Cherry Tree,Clearfield,4.0,8.4
16038,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,3,3,2.8,41631.24760629633,25.87,55965.05823141707,34.78,53664.62969253961,33.35,55848.64586563839,34.7,55183.353386840354,34.29,45554.20605075375,28.31,17.51,2.81,5.2,6.8,74868.0,3213,Harrisville,Venango,5.0,7.8
16373,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,3,6,6,2.25,46221.19092782829,28.72,47317.062074278525,29.4,47279.28397824265,29.38,61042.85934125766,37.93,55129.1024146952,34.26,47734.95069079185,29.66,8.1,2.17,9.5,14.2,65529.0,3217,Emlenton,Clarion,2.2,7.7
15823,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1.09,102920.09983514994,63.95,91108.06204723104,56.61,92248.09039491678,57.32,118333.29511508525,73.53,99607.39979784364,61.89,91425.16664017543,56.81,9.09,1.09,4.9,10.6,62695.0,1289,Brockport,Clearfield,4.0,6.8
16240,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,4,4,2.64,88456.91256672263,54.96,76821.77159644113,47.73,77457.3291470532,48.13,102646.40534718592,63.78,86247.69427145469,53.59,77258.1887995557,48.01,3.64,1.79,3.4,12.0,59722.0,1436,Mayport,Jefferson,0.9,8.5
16259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,83261.25857828082,51.74,80671.33399745428,50.13,80965.94111905829,50.31,98142.43559186684,60.98,89508.0245039553,55.62,81114.9007291289,50.4,8.16,6.39,4.4,9.7,60326.0,2111,Templeton,Clarion,5.0,8.0
16224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.81,81909.13809168272,50.9,71175.32520267858,44.23,71758.88903307861,44.59,96155.70916713034,59.75,80553.02327201447,50.05,71615.3866161314,44.5,3.58,2.43,6.9,9.2,77853.0,827,Fairmount City,Clarion,2.9,8.4
15715,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,3,5,5,0.22,116384.18128103964,72.32,99778.04200335096,62.0,100641.54684727322,62.54,129982.95650094388,80.77,109183.11344341347,67.84,100184.2947741903,62.25,4.83,0.21,2.2,20.8,54722.0,498,Big Run,Jefferson,2.7,11.5
15778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,94773.52512773228,58.89,84246.06757885536,52.35,84857.44037913624,52.73,109143.39680332976,67.82,93651.66333606667,58.19,84684.23333491966,52.62,5.55,1.97,7.7,8.2,85417.0,364,Timblin,Jefferson,1.7,8.6
15781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,109068.2302869454,67.77,94358.25345277504,58.63,95145.74472069586,59.12,122955.5881067556,76.4,103819.00043366155,64.51,94777.4594962802,58.89,1.89,0.91,0.0,0.0,43750.0,76,Walston,Jefferson,0.0,7.1
16365,4,0,0,0,10,0,0,11,0,0,0,0,0,0,0,14,28,28,0.47,44385.94325318517,27.58,49400.7439903793,30.7,44452.78928958342,27.62,57401.369364320126,35.67,44556.87772939245,27.69,49330.9619110288,30.65,0.41,0.36,6.1,11.2,57694.0,17303,Warren,McKean,3.0,7.0
16230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,85843.98170725616,53.34,75898.34682961038,47.16,76465.50891736611,47.51,100216.7582944332,62.27,85257.3734082196,52.98,76339.30026322827,47.44,0.81,1.69,6.2,7.8,46696.0,485,Hawthorn,Clarion,9.0,8.2
16232,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,3,11,11,1.2,54061.399814865305,33.59,47012.657409047526,29.21,47314.50417137014,29.4,68349.45928301227,42.47,55893.43798949519,34.73,47456.241861123264,29.49,2.31,0.65,8.0,11.6,58583.0,4091,Knox,Clarion,4.8,7.8
16319,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,2,9,9,3.36,42118.12987199533,26.17,34918.233195739034,21.7,35082.679280556295,21.8,56006.379090521055,34.8,43459.66456902788,27.0,35354.65413167649,21.97,5.46,3.36,1.9,5.5,62679.0,1050,Cranberry,Clarion,0.0,7.2
16360,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0,2,3,10,1.13,21851.70241380569,13.58,18308.619754449577,11.38,17089.818011435716,10.62,19435.02433999441,12.08,12217.979113064112,7.59,18054.38924537441,11.22,11.83,0.85,3.3,18.4,70833.0,1328,Townville,Crawford,2.6,8.3
16364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.42,48473.20884188486,30.12,32982.229424177975,20.49,33526.01438425785,20.83,61207.63416766682,38.03,42315.90157084429,26.29,33424.858508918514,20.77,9.34,1.42,4.6,9.7,76953.0,1278,Venus,Clarion,1.2,7.3
16406,0,1,0,2,2,0,0,1,0,0,0,0,4,0,0,5,6,15,0.05,21443.687950217307,13.32,21723.528757252527,13.5,15569.154999972974,9.67,15708.06507169935,9.76,15616.069073896131,9.7,15532.695176325811,9.65,3.45,0.06,8.4,14.0,65559.0,3412,Conneautville,Crawford,5.4,8.8
