TRACTCE,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_full_m,nearest_grocery_full_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles
010800,0,0,0,0,1,0,0,3,0,0,7,0,3,0,0,1,4,20,835.8667816443116,0.52,1519.3697726357661,0.94,1102.1479868060783,0.68,423.3629531914001,0.26,3237.1203876443947,2.01,4566.195549742744,2.84,1439.5409231995582,0.89
012100,1,0,0,0,2,0,1,2,1,0,2,1,5,0,0,3,6,24,1279.5317984773944,0.8,2025.1249744385757,1.26,19157.320560027987,11.9,3153.3753082380763,1.96,2047.6421377080112,1.27,11085.702379655586,6.89,13240.518356775901,8.23
002900,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,7,764.6067469766548,0.48,737.8253774784681,0.46,1087.30483553009,0.68,530.239721602627,0.33,1979.1144304892252,1.23,1949.0155130096127,1.21,971.6565589749553,0.6
011300,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,3,4,9,431.8603724947242,0.27,2773.5360762648615,1.72,5731.308320304688,3.56,1571.6797333619445,0.98,1761.4442559970646,1.09,1664.529839043516,1.03,564.6002598769849,0.35
010304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,3181.7697827080683,1.98,7762.017678814061,4.82,8776.171888336266,5.45,2540.5758538495247,1.58,2515.8762735819814,1.56,13152.494269667743,8.17,2045.8157891585004,1.27
010400,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,10,1587.1007263143583,0.99,3239.831704307588,2.01,3904.7700085155625,2.43,1623.8179754983885,1.01,3464.802263731736,2.15,7342.857035273208,4.56,402.94063044008976,0.25
010500,0,0,0,0,2,0,0,2,0,0,4,0,0,0,1,2,4,10,1109.4197714242584,0.69,1138.5467567632284,0.71,1876.0519869088205,1.17,410.599683384546,0.26,4409.246007638261,2.74,4750.229198728781,2.95,366.433733321103,0.23
010700,0,0,0,0,1,0,0,1,0,0,4,0,1,0,2,1,2,16,208.76123846180204,0.13,1924.450280923157,1.2,1860.887161078293,1.16,149.82693026828514,0.09,1627.9942468499407,1.01,2721.7474788046466,1.69,432.77603704521954,0.27
010902,2,0,1,0,2,0,0,1,0,0,2,0,0,0,2,5,6,16,759.3062329625312,0.47,1807.2141301193942,1.12,2786.6607160471517,1.73,439.478933076249,0.27,3606.945834869242,2.24,7307.0538878467205,4.54,324.9971376970449,0.2
011400,0,0,0,0,0,0,0,1,0,0,2,1,2,0,1,0,1,15,1466.4593425464013,0.91,1750.747492961297,1.09,5525.006931622489,3.43,947.5131852856942,0.59,939.025468726145,0.58,1414.4489112287024,0.88,922.892003310884,0.57
012202,1,0,1,1,2,0,0,1,2,0,3,2,0,1,1,5,6,24,560.3709457060248,0.35,539.0541817028943,0.33,21724.57313581234,13.5,411.5715858250868,0.26,670.9662500016024,0.42,1180.5311500731593,0.73,1534.9594876461906,0.95
000400,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,13,1278.5522668164622,0.79,1716.6800355774799,1.07,1174.3758216531137,0.73,444.2853904538288,0.28,918.7161965770543,0.57,1581.9741289586264,0.98,568.7088499869102,0.35
003000,0,0,2,0,1,0,0,2,0,0,7,1,1,0,0,3,5,19,423.5534246359202,0.26,1831.1664392051193,1.14,1540.4832986423492,0.96,844.2249690048142,0.52,957.073544490676,0.59,1680.7450957300325,1.04,818.0317808019788,0.51
010104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5039.427353044247,3.13,12596.81743719824,7.83,23563.338022005973,14.64,5902.885091174273,3.67,5888.816586535558,3.66,6239.005981471551,3.88,6111.471571133293,3.8
010201,0,0,0,0,2,0,0,5,1,0,1,1,3,0,2,2,7,27,1348.311615023605,0.84,1839.7699927507197,1.14,16870.74536913629,10.48,1842.9578587782037,1.15,905.9456610522602,0.56,13692.243788293212,8.51,2037.5338011973688,1.27
010303,0,0,0,0,2,0,0,2,0,0,6,0,4,0,3,2,4,28,1940.6596615448398,1.21,7332.6530623719045,4.56,9449.403226330516,5.87,2645.6595643887604,1.64,5946.407365442453,3.69,12361.9159863783,7.68,1578.603724901259,0.98
010904,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,5,2762.096633520665,1.72,2280.972460832287,1.42,3050.691895804751,1.9,2843.057106162839,1.77,5040.897452637114,3.13,6660.195757420121,4.14,2119.5470437540835,1.32
011001,1,0,0,0,1,0,0,0,0,1,3,0,3,0,2,2,2,19,1008.8021644029787,0.63,1181.7666097925892,0.73,932.7006921101288,0.58,1001.8782903433006,0.62,2035.3941920641844,1.26,3420.595020689251,2.13,692.4993885738807,0.43
011101,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,2,11,1210.8297989884898,0.75,2950.234966120421,1.83,3969.1366283913508,2.47,1807.3940180159484,1.12,3187.857893143118,1.98,3938.9587680062186,2.45,2958.9481979542284,1.84
